understat_player_id,player_name,team_name,competition,season,source
10078,Hugo Álvarez,Celta Vigo,La Liga,2025_2026,understat
10095,Abdessamad Ezzalzouli,Real Betis,La Liga,2025_2026,understat
10101,Carlos Martín,Rayo Vallecano,La Liga,2025_2026,understat
10107,César Tárrega,Valencia,La Liga,2025_2026,understat
10189,Marc Pubill,Atletico Madrid,La Liga,2025_2026,understat
10209,Jofre Carreras,Espanyol,La Liga,2025_2026,understat
10319,Adrián De la Fuente,Levante,La Liga,2025_2026,understat
10322,Javier Guerra,Valencia,La Liga,2025_2026,understat
10334,Kike Salas,Sevilla,La Liga,2025_2026,understat
10364,Nahuel Tenaglia,Alaves,La Liga,2025_2026,understat
10380,Zito,Mallorca,La Liga,2025_2026,understat
10382,Eray Cömert,Valencia,La Liga,2025_2026,understat
10576,Álvaro Fernández,Real Madrid,La Liga,2025_2026,understat
10857,Pablo Ibáñez,Alaves,La Liga,2025_2026,understat
10870,Williot Swedberg,Celta Vigo,La Liga,2025_2026,understat
10930,Etta Eyong,Levante,La Liga,2025_2026,understat
10936,Charles Pickel,Espanyol,La Liga,2025_2026,understat
10944,Fran Pérez,Rayo Vallecano,La Liga,2025_2026,understat
10947,Ramón Terrats,Espanyol,La Liga,2025_2026,understat
10949,Arnau Martinez,Girona,La Liga,2025_2026,understat
10952,Joel Roca,Girona,La Liga,2025_2026,understat
10974,Samú Costa,Mallorca,La Liga,2025_2026,understat
10975,Largie Ramazani,Valencia,La Liga,2025_2026,understat
11025,Pablo Torre,Mallorca,La Liga,2025_2026,understat
11094,Antony,Real Betis,La Liga,2025_2026,understat
11154,Pablo Durán,Celta Vigo,La Liga,2025_2026,understat
11186,Alvaro Rodríguez,Elche,La Liga,2025_2026,understat
11322,Viktor Tsygankov,Girona,La Liga,2025_2026,understat
11395,Iker Muñoz,Osasuna,La Liga,2025_2026,understat
11401,Haissem Hassan,Real Oviedo,La Liga,2025_2026,understat
11402,Carlos Romero,Espanyol,La Liga,2025_2026,understat
11531,Unai Gómez,Athletic Club,La Liga,2025_2026,understat
11744,Sergi Cardona,Villarreal,La Liga,2025_2026,understat
11783,Akor Adams,Sevilla,La Liga,2025_2026,understat
11822,Fermín López,Barcelona,La Liga,2025_2026,understat
11825,Abderrahmane Rebbach,Alaves,La Liga,2025_2026,understat
1189,Lucas Boyé,Alaves,La Liga,2025_2026,understat
12035,Gonzalo García,Real Madrid,La Liga,2025_2026,understat
12160,Alberto Moleiro,Villarreal,La Liga,2025_2026,understat
12180,Javier Rodríguez,Celta Vigo,La Liga,2025_2026,understat
12182,Jon Aramburu,Real Sociedad,La Liga,2025_2026,understat
12207,Victor Parada,Alaves,La Liga,2025_2026,understat
12263,Mikel Jauregizar,Athletic Club,La Liga,2025_2026,understat
12305,Isaac Romero,Sevilla,La Liga,2025_2026,understat
1235,Ante Budimir,Osasuna,La Liga,2025_2026,understat
12353,Jon Martín,Real Sociedad,La Liga,2025_2026,understat
12537,Asier Osambela,Osasuna,La Liga,2025_2026,understat
12642,Yoel Lago,Celta Vigo,La Liga,2025_2026,understat
12723,Alejandro Francés,Girona,La Liga,2025_2026,understat
12724,Adama Boiro,Athletic Club,La Liga,2025_2026,understat
12742,Peque,Sevilla,La Liga,2025_2026,understat
12821,Gerard Martín,Barcelona,La Liga,2025_2026,understat
12862,Luka Sucic,Real Sociedad,La Liga,2025_2026,understat
12863,Pedro Díaz,Rayo Vallecano,La Liga,2025_2026,understat
12893,Enzo Boyomo,Osasuna,La Liga,2025_2026,understat
12901,Antoniu Roca,Espanyol,La Liga,2025_2026,understat
13003,Santiago Mouriño,Villarreal,La Liga,2025_2026,understat
13048,Orri Óskarsson,Real Sociedad,La Liga,2025_2026,understat
13200,Fernando López,Celta Vigo,La Liga,2025_2026,understat
13279,Víctor Muñoz,Osasuna,La Liga,2025_2026,understat
13350,Roberto Fernández,Espanyol,La Liga,2025_2026,understat
13380,Vitor Reis,Girona,La Liga,2025_2026,understat
13600,Andrés Castrín,Sevilla,La Liga,2025_2026,understat
13615,Oso,Sevilla,La Liga,2025_2026,understat
13649,Claudio Echeverri,Girona,La Liga,2025_2026,understat
13700,Alberto Reina,Real Oviedo,La Liga,2025_2026,understat
13701,Ilyas Chaira,Real Oviedo,La Liga,2025_2026,understat
13705,Federico Viñas,Real Oviedo,La Liga,2025_2026,understat
13761,Filip Ugrinic,Valencia,La Liga,2025_2026,understat
13767,Roger Brugué,Levante,La Liga,2025_2026,understat
13769,Carlos Espí,Levante,La Liga,2025_2026,understat
13821,Urko Izeta,Athletic Club,La Liga,2025_2026,understat
13829,Tyrhys Dolan,Espanyol,La Liga,2025_2026,understat
13847,Franco Mastantuono,Real Madrid,La Liga,2025_2026,understat
13848,Thiago Pitarch,Real Madrid,La Liga,2025_2026,understat
13953,Santiago Colombatto,Real Oviedo,La Liga,2025_2026,understat
13996,Tani Oluwaseyi,Villarreal,La Liga,2025_2026,understat
14001,Nelson Deossa,Real Betis,La Liga,2025_2026,understat
14018,Lucas Ahijado,Real Oviedo,La Liga,2025_2026,understat
14050,Kervin Arriaga,Levante,La Liga,2025_2026,understat
14059,Alemão,Rayo Vallecano,La Liga,2025_2026,understat
14064,Roony Bardghji,Barcelona,La Liga,2025_2026,understat
14129,Xavi Espart,Barcelona,La Liga,2025_2026,understat
14258,Kareem Tunde,Levante,La Liga,2025_2026,understat
14316,Nicolás Fonseca,Real Oviedo,La Liga,2025_2026,understat
14364,Job Ochieng,Real Sociedad,La Liga,2025_2026,understat
14387,Zaid Romero,Getafe,La Liga,2025_2026,understat
14388,Luis Vázquez,Getafe,La Liga,2025_2026,understat
14392,Ángel Pérez,Alaves,La Liga,2025_2026,understat
14393,Thiago Fernández,Real Oviedo,La Liga,2025_2026,understat
14397,Tai Abed,Levante,La Liga,2025_2026,understat
14439,Obed Vargas,Atletico Madrid,La Liga,2025_2026,understat
14465,Ibrahim Diabate,Alaves,La Liga,2025_2026,understat
1450,Umar Sadiq,Valencia,La Liga,2025_2026,understat
14519,Ville Koski,Alaves,La Liga,2025_2026,understat
1621,Marcos Alonso,Celta Vigo,La Liga,2025_2026,understat
1709,Cristhian Stuani,Girona,La Liga,2025_2026,understat
1739,Eric Bailly,Real Oviedo,La Liga,2025_2026,understat
1791,Trent Alexander-Arnold,Real Madrid,La Liga,2025_2026,understat
1822,Antonio Rüdiger,Real Madrid,La Liga,2025_2026,understat
200,Andreas Christensen,Barcelona,La Liga,2025_2026,understat
2163,Diego Llorente,Real Betis,La Liga,2025_2026,understat
2183,Rubén García,Osasuna,La Liga,2025_2026,understat
2228,Aritz Elustondo,Real Sociedad,La Liga,2025_2026,understat
2229,Yuri,Athletic Club,La Liga,2025_2026,understat
2234,Mikel Oyarzabal,Real Sociedad,La Liga,2025_2026,understat
2255,Isco,Real Betis,La Liga,2025_2026,understat
2269,Koke,Atletico Madrid,La Liga,2025_2026,understat
227,Robert Lewandowski,Barcelona,La Liga,2025_2026,understat
2270,Antoine Griezmann,Atletico Madrid,La Liga,2025_2026,understat
2308,Denis Suárez,Alaves,La Liga,2025_2026,understat
2328,Thomas Partey,Villarreal,La Liga,2025_2026,understat
2335,Pablo Fornals,Real Betis,La Liga,2025_2026,understat
2378,Daniel Parejo,Villarreal,La Liga,2025_2026,understat
2379,João Cancelo,Barcelona,La Liga,2025_2026,understat
2399,Iñaki Williams,Athletic Club,La Liga,2025_2026,understat
2478,Carlos Soler,Real Sociedad,La Liga,2025_2026,understat
2551,Pepelu,Valencia,La Liga,2025_2026,understat
2597,Dani Calvo,Real Oviedo,La Liga,2025_2026,understat
2609,Gerard Gumbau,Rayo Vallecano,La Liga,2025_2026,understat
2621,Sergi Darder,Mallorca,La Liga,2025_2026,understat
3423,Kylian Mbappe-Lottin,Real Madrid,La Liga,2025_2026,understat
3425,Thomas Lemar,Girona,La Liga,2025_2026,understat
3621,Neal Maupay,Sevilla,La Liga,2025_2026,understat
391,David Alaba,Real Madrid,La Liga,2025_2026,understat
4120,Álex Moreno,Girona,La Liga,2025_2026,understat
4160,David Costas,Real Oviedo,La Liga,2025_2026,understat
4175,Pere Milla,Espanyol,La Liga,2025_2026,understat
492,Héctor Bellerín,Real Betis,La Liga,2025_2026,understat
498,Alexis Sánchez,Sevilla,La Liga,2025_2026,understat
5050,Clement Lenglet,Atletico Madrid,La Liga,2025_2026,understat
5062,Yeray Álvarez,Athletic Club,La Liga,2025_2026,understat
5073,Florian Lejeune,Rayo Vallecano,La Liga,2025_2026,understat
5074,Kike García,Espanyol,La Liga,2025_2026,understat
