whoscored_match_id,season,match_date,attendance,competition
1913882,2025/26,2025-08-24,29758,La Liga
1913883,2025/26,2025-08-18,28585,La Liga
1913884,2025/26,2025-08-30,18042,La Liga
1913885,2025/26,2025-08-22,54646,La Liga
1913886,2025/26,2025-08-19,68407,La Liga
1913887,2025/26,2025-08-31,20172,La Liga
1913888,2025/26,2025-08-23,23415,La Liga
1913889,2025/26,2025-08-16,45333,La Liga
1913890,2025/26,2025-08-29,26935,La Liga
1913891,2025/26,2025-08-23,16274,La Liga
1913892,2025/26,2025-08-15,18333,La Liga
1913893,2025/26,2025-08-31,29780,La Liga
1913894,2025/26,2025-08-24,31616,La Liga
1913895,2025/26,2025-08-25,48703,La Liga
1913896,2025/26,2025-08-30,11305,La Liga
1913897,2025/26,2025-08-25,36697,La Liga
1913898,2025/26,2025-08-23,59369,La Liga
1913899,2025/26,2025-08-30,25688,La Liga
1913900,2025/26,2025-08-24,21226,La Liga
1913901,2025/26,2025-08-24,18195,La Liga
1913902,2025/26,2025-08-31,65222,La Liga
1913903,2025/26,2025-09-21,5711,La Liga
1913904,2025/26,2025-08-31,14438,La Liga
1913905,2025/26,2025-09-19,59773,La Liga
1913906,2025/26,2025-09-21,27235,La Liga
1913907,2025/26,2025-09-20,11048,La Liga
1913908,2025/26,2025-09-20,46004,La Liga
1913909,2025/26,2025-09-21,21027,La Liga
1913910,2025/26,2025-09-21,13028,La Liga
1913911,2025/26,2025-09-20,73466,La Liga
1913912,2025/26,2025-09-20,17542,La Liga
1913913,2025/26,2025-08-16,12837,La Liga
1913914,2025/26,2025-08-17,49134,La Liga
1913915,2025/26,2025-08-17,20530,La Liga
1913916,2025/26,2025-08-15,12403,La Liga
1913917,2025/26,2025-08-17,29612,La Liga
1913918,2025/26,2025-08-16,23318,La Liga
1913919,2025/26,2025-08-29,45449,La Liga
1913920,2025/26,2025-08-30,72699,La Liga
1913921,2025/26,2025-09-13,63312,La Liga
1913922,2025/26,2025-09-14,5862,La Liga
1913923,2025/26,2025-09-14,18862,La Liga
1913924,2025/26,2025-09-15,26082,La Liga
1913925,2025/26,2025-09-13,8657,La Liga
1913926,2025/26,2025-09-14,20511,La Liga
1913927,2025/26,2025-09-13,49136,La Liga
1913928,2025/26,2025-09-14,21938,La Liga
1913929,2025/26,2025-09-12,37331,La Liga
1913930,2025/26,2025-09-13,36958,La Liga
1913931,2025/26,2025-09-20,17525,La Liga
1913932,2025/26,2025-09-23,26802,La Liga
1913933,2025/26,2025-09-23,23361,La Liga
1913934,2025/26,2025-09-23,38145,La Liga
1913935,2025/26,2025-09-24,8005,La Liga
1913936,2025/26,2025-09-25,29850,La Liga
1913937,2025/26,2025-08-27,20302,La Liga
1913938,2025/26,2025-09-25,19475,La Liga
1913939,2025/26,2025-09-27,18908,La Liga
1913940,2025/26,2025-09-28,26708,La Liga
1913941,2025/26,2025-09-26,11488,La Liga
1913942,2025/26,2025-09-23,45739,La Liga
1913943,2025/26,2025-09-30,40364,La Liga
1913944,2025/26,2025-09-24,22442,La Liga
1913945,2025/26,2025-09-24,54098,La Liga
1913946,2025/26,2025-10-05,16203,La Liga
1913947,2025/26,2025-09-27,69167,La Liga
1913948,2025/26,2025-10-04,47098,La Liga
1913949,2025/26,2025-09-28,50103,La Liga
1913950,2025/26,2025-10-04,10867,La Liga
1913951,2025/26,2025-09-28,50034,La Liga
1913952,2025/26,2025-10-04,75216,La Liga
1913953,2025/26,2025-09-27,7749,La Liga
1913954,2025/26,2025-10-05,20877,La Liga
1913955,2025/26,2025-09-28,13080,La Liga
1913956,2025/26,2025-10-05,41040,La Liga
1913957,2025/26,2025-09-27,16275,La Liga
1913958,2025/26,2025-10-05,32778,La Liga
1913959,2025/26,2025-11-02,17149,La Liga
1913960,2025/26,2025-10-03,19895,La Liga
1913961,2025/26,2025-11-01,66119,La Liga
1913962,2025/26,2025-10-04,23878,La Liga
1913963,2025/26,2025-11-02,44370,La Liga
1913964,2025/26,2025-10-05,31189,La Liga
1913965,2025/26,2025-10-20,15564,La Liga
1913966,2025/26,2025-11-02,54747,La Liga
1913967,2025/26,2025-10-31,7223,La Liga
1913968,2025/26,2025-10-18,62884,La Liga
1913969,2025/26,2025-10-18,43172,La Liga
1913970,2025/26,2025-11-01,74796,La Liga
1913971,2025/26,2025-10-19,19102,La Liga
1913972,2025/26,2025-11-01,37685,La Liga
1913973,2025/26,2025-10-19,10090,La Liga
1913974,2025/26,2025-11-02,19513,La Liga
1913975,2025/26,2025-10-19,20312,La Liga
1913976,2025/26,2025-11-03,23795,La Liga
1913977,2025/26,2025-10-19,29043,La Liga
1913978,2025/26,2025-11-01,17022,La Liga
1913979,2025/26,2025-10-18,19238,La Liga
1913980,2025/26,2025-11-09,47209,La Liga
1913981,2025/26,2025-10-17,25625,La Liga
1913982,2025/26,2025-11-08,60119,La Liga
1913983,2025/26,2025-10-18,37008,La Liga
1913984,2025/26,2025-11-07,26242,La Liga
1913985,2025/26,2025-10-25,47749,La Liga
1913986,2025/26,2025-11-08,29540,La Liga
1913987,2025/26,2025-11-09,14468,La Liga
1913988,2025/26,2025-10-25,11120,La Liga
1913989,2025/26,2025-11-08,10050,La Liga
1913990,2025/26,2025-10-24,30965,La Liga
1913991,2025/26,2025-11-09,21887,La Liga
1913992,2025/26,2025-10-25,45560,La Liga
1913993,2025/26,2025-11-09,45820,La Liga
