whoscored_player_id,name,whoscored_team_id,position,shirt_no,season,source,competition
141073,Aarón Escandell,61,GK,13,2025/26,whoscored,La Liga
448447,Oier Luengo,61,DC,15,2025/26,whoscored,La Liga
300918,Dani Calvo,61,DC,12,2025/26,whoscored,La Liga
135404,David Costas,61,DC,4,2025/26,whoscored,La Liga
335790,Nacho Vidal,61,DMR,22,2025/26,whoscored,La Liga
456006,Rahim Alhassane,61,DML,3,2025/26,whoscored,La Liga
124106,Leander Dendoncker,61,MC,20,2025/26,whoscored,La Liga
463426,Kwasi Sibo,61,MC,6,2025/26,whoscored,La Liga
361898,Luka Ilic,61,FWR,21,2025/26,whoscored,La Liga
25964,Salomón Rondón,61,FW,23,2025/26,whoscored,La Liga
495542,Ilyas Chaira,61,FWL,7,2025/26,whoscored,La Liga
298792,Josip Brekalo,61,Sub,18,2025/26,whoscored,La Liga
475046,Haissem Hassan,61,Sub,10,2025/26,whoscored,La Liga
4522,Santi Cazorla,61,Sub,8,2025/26,whoscored,La Liga
484254,Federico Viñas,61,Sub,9,2025/26,whoscored,La Liga
327852,Ovie Ejaria,61,Sub,14,2025/26,whoscored,La Liga
298175,Santiago Colombatto,61,Sub,11,2025/26,whoscored,La Liga
409401,Horatiu Moldovan,61,Sub,1,2025/26,whoscored,La Liga
568292,Lamine Gueye,61,Sub,28,2025/26,whoscored,La Liga
506112,Marco Esteban,61,Sub,30,2025/26,whoscored,La Liga
513640,Álex Forés,61,Sub,19,2025/26,whoscored,La Liga
557844,Omar Falah,61,Sub,29,2025/26,whoscored,La Liga
243814,Eric Bailly,61,Sub,2,2025/26,whoscored,La Liga
73798,Thibaut Courtois,52,GK,1,2025/26,whoscored,La Liga
106883,Dani Carvajal,52,DR,2,2025/26,whoscored,La Liga
104010,Antonio Rüdiger,52,DC,22,2025/26,whoscored,La Liga
468852,Dean Huijsen,52,DC,24,2025/26,whoscored,La Liga
437583,Álvaro Carreras,52,DL,18,2025/26,whoscored,La Liga
353423,Aurélien Tchouaméni,52,DMC,14,2025/26,whoscored,La Liga
344644,Federico Valverde,52,DMC,8,2025/26,whoscored,La Liga
514810,Franco Mastantuono,52,AMR,30,2025/26,whoscored,La Liga
415181,Arda Güler,52,AMC,15,2025/26,whoscored,La Liga
347862,Rodrygo,52,AML,11,2025/26,whoscored,La Liga
300713,Kylian Mbappé,52,FW,10,2025/26,whoscored,La Liga
337782,Vinícius Júnior,52,Sub,7,2025/26,whoscored,La Liga
317541,Brahim Díaz,52,Sub,21,2025/26,whoscored,La Liga
144890,Dani Ceballos,52,Sub,19,2025/26,whoscored,La Liga
498798,Gonzalo García,52,Sub,16,2025/26,whoscored,La Liga
318871,Trent Alexander-Arnold,52,Sub,12,2025/26,whoscored,La Liga
39722,David Alaba,52,Sub,4,2025/26,whoscored,La Liga
337879,Éder Militão,52,Sub,3,2025/26,whoscored,La Liga
534899,Raúl Asencio,52,Sub,17,2025/26,whoscored,La Liga
345031,Andrii Lunin,52,Sub,13,2025/26,whoscored,La Liga
422957,Fran García,52,Sub,20,2025/26,whoscored,La Liga
456502,Sergio Mestre,52,Sub,43,2025/26,whoscored,La Liga
577403,Thiago Pitarch,52,Sub,45,2025/26,whoscored,La Liga
422916,Matías Dituro,833,GK,1,2025/26,whoscored,La Liga
509876,Álvaro Núñez,833,DR,15,2025/26,whoscored,La Liga
423282,David Affengruber,833,DC,22,2025/26,whoscored,La Liga
108100,Pedro Bigas,833,DC,6,2025/26,whoscored,La Liga
301330,Léo Pétrot,833,DL,21,2025/26,whoscored,La Liga
508339,Ali Houary,833,MC,35,2025/26,whoscored,La Liga
448050,Marc Aguado,833,MC,8,2025/26,whoscored,La Liga
381643,Aleix Febas,833,MC,14,2025/26,whoscored,La Liga
390240,Germán Valera,833,FWR,11,2025/26,whoscored,La Liga
460772,Álvaro Rodríguez,833,FW,20,2025/26,whoscored,La Liga
463938,Rodrigo Mendoza,833,FWL,30,2025/26,whoscored,La Liga
438351,Martim Neto,833,Sub,16,2025/26,whoscored,La Liga
300369,Rafa Mir,833,Sub,10,2025/26,whoscored,La Liga
403808,Jairo Izquierdo,833,Sub,3,2025/26,whoscored,La Liga
408347,John Donald,833,Sub,18,2025/26,whoscored,La Liga
402630,Mourad El Ghezouani,833,Sub,19,2025/26,whoscored,La Liga
419616,Federico Redondo,833,Sub,5,2025/26,whoscored,La Liga
299460,André Silva,833,Sub,9,2025/26,whoscored,La Liga
544978,Albert Niculaesei,833,Sub,27,2025/26,whoscored,La Liga
578652,Antonio Martínez,833,Sub,37,2025/26,whoscored,La Liga
427475,Alejandro Iturbe,833,Sub,45,2025/26,whoscored,La Liga
402862,Victor Chust,833,Sub,23,2025/26,whoscored,La Liga
379633,Bambo Diaby,833,Sub,4,2025/26,whoscored,La Liga
145427,Pau López,54,GK,25,2025/26,whoscored,La Liga
125211,Héctor Bellerín,54,DR,2,2025/26,whoscored,La Liga
402206,Natan,54,DC,4,2025/26,whoscored,La Liga
83686,Marc Bartra,54,DC,5,2025/26,whoscored,La Liga
61610,Ricardo Rodríguez,54,DL,12,2025/26,whoscored,La Liga
297203,Pablo Fornals,54,DMC,8,2025/26,whoscored,La Liga
489232,Sergi Altimira,54,DMC,6,2025/26,whoscored,La Liga
