id_whoscored,canonical_name,data_source
169,Ricardo de Burgos Bengoetxea,whoscored
2976,Victor García Verdura,whoscored
266,Miguel Ángel Ortiz Arias,whoscored
3244,Adrián Cordero Vega,whoscored
6624,Alejandro Quintero González,whoscored
229,Alejandro José Hernández Hernández,whoscored
233,José María Sánchez Martínez,whoscored
251,Iosu Galech Apezteguía,whoscored
3105,José Luis Guzmán Mansilla,whoscored
296,Alejandro Muñiz Ruiz,whoscored
3262,Miguel Sesma Espinosa,whoscored
206,Juan Martínez Munuera,whoscored
307,Isidro Díaz de Mera Escuderos,whoscored
222,César Soto Grado,whoscored
189,Jesús Gil Manzano,whoscored
3234,Guillermo Cuadra Fernández,whoscored
3362,Mateo Busquets Ferrer,whoscored
246,Francisco José Hernández Maeso,whoscored
2912,Javier Alberola Rojas,whoscored
2404,José Luis Munuera Montero,whoscored
239,José María Sánchez Santos,whoscored
