whoscored_team_id,name,season,source,competition
61,Real Oviedo,2025/26,whoscored,La Liga
52,Real Madrid,2025/26,whoscored,La Liga
833,Elche,2025/26,whoscored,La Liga
54,Real Betis,2025/26,whoscored,La Liga
60,Deportivo Alaves,2025/26,whoscored,La Liga
63,Atletico,2025/26,whoscored,La Liga
131,Osasuna,2025/26,whoscored,La Liga
62,Celta Vigo,2025/26,whoscored,La Liga
839,Villarreal,2025/26,whoscored,La Liga
832,Levante,2025/26,whoscored,La Liga
65,Barcelona,2025/26,whoscored,La Liga
55,Valencia,2025/26,whoscored,La Liga
68,Real Sociedad,2025/26,whoscored,La Liga
51,Mallorca,2025/26,whoscored,La Liga
70,Espanyol,2025/26,whoscored,La Liga
53,Athletic Club,2025/26,whoscored,La Liga
64,Rayo Vallecano,2025/26,whoscored,La Liga
2783,Girona,2025/26,whoscored,La Liga
67,Sevilla,2025/26,whoscored,La Liga
819,Getafe,2025/26,whoscored,La Liga
