match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
8738494,,,,period,90,,,,,,,sofascore
8738494,827804.0,Yusuf Yazıcı,1643.0,substitution,90,,,,,,injury,sofascore
8738494,,,,injuryTime,90,,,,,,,sofascore
8738494,312388.0,Flavien Tait,1658.0,card,88,,,,,,yellow,sofascore
8738494,840451.0,Luiz Araújo,1643.0,substitution,83,,,,,,regular,sofascore
8738494,887581.0,Boubakary Soumaré,1643.0,substitution,82,,,,,,regular,sofascore
8738494,74083.0,Damien Da Silva,1658.0,goal,74,,,,,,regular,sofascore
8738494,18864.0,Burak Yılmaz,1643.0,substitution,64,,,,,,regular,sofascore
8738494,825681.0,Romain Del Castillo,1658.0,substitution,64,,,,,,regular,sofascore
8738494,973887.0,Eduardo Camavinga,1658.0,substitution,64,,,,,,regular,sofascore
8738494,312388.0,Flavien Tait,1658.0,substitution,64,,,,,,regular,sofascore
8738494,897594.0,Domagoj Bradarić,1643.0,substitution,46,,,,,,regular,sofascore
8738494,,,,period,45,,,,,,,sofascore
8738494,,,,injuryTime,45,,,,,,,sofascore
8738494,831424.0,Reinildo Mandava,1643.0,card,43,,,,,,red,sofascore
8738494,963211.0,Brandon Soppy,1658.0,substitution,41,,,,,,regular,sofascore
8738494,595576.0,Jonathan Bamba,1643.0,goal,40,,,,,,regular,sofascore
8738494,980418.0,Sacha Boey,1658.0,card,35,,,,,,red,sofascore
8738497,,,,period,90,,,,,,,sofascore
8738497,,,,injuryTime,90,,,,,,,sofascore
8738497,796085.0,Moussa Koné,1663.0,goal,84,,,,,,regular,sofascore
8738497,796082.0,Sidy Sarr,1663.0,substitution,82,,,,,,regular,sofascore
8738497,777067.0,Florian Miguel,1663.0,substitution,79,,,,,,regular,sofascore
8738497,990820.0,Hianga'a M'Bock,1715.0,substitution,79,,,,,,regular,sofascore
8738497,328035.0,Brendan Chardonnet,1715.0,card,77,,,,,,red,sofascore
8738497,328035.0,Brendan Chardonnet,1715.0,varDecision,77,,,,,,cardUpgrade,sofascore
8738497,307096.0,Romain Philippoteaux,1663.0,goal,69,,,,,,regular,sofascore
8738497,845789.0,Heriberto Tavares,1715.0,substitution,67,,,,,,regular,sofascore
8738497,148196.0,Cristian Battocchio,1715.0,substitution,67,,,,,,regular,sofascore
8738497,826293.0,Ronaël Pierre-Gabriel,1715.0,card,65,,,,,,yellow,sofascore
8738497,796085.0,Moussa Koné,1663.0,substitution,56,,,,,,regular,sofascore
8738497,822878.0,Lamine Fomba,1663.0,substitution,56,,,,,,regular,sofascore
8738497,845930.0,Jean-Kévin Duverne,1715.0,card,50,,,,,,yellow,sofascore
8738497,44213.0,Gaëtan Charbonnier,1715.0,substitution,46,,,,,,regular,sofascore
8738497,,,,period,45,,,,,,,sofascore
8738497,,,,injuryTime,45,,,,,,,sofascore
8738497,944142.0,Yassine Benrahou,1663.0,card,42,,,,,,yellow,sofascore
8738497,51349.0,Lucas Deaux,1663.0,card,37,,,,,,yellow,sofascore
8738497,51471.0,Julien Faussurier,1715.0,card,35,,,,,,yellow,sofascore
8738497,606530.0,Birger Meling,1663.0,goal,31,,,,,,regular,sofascore
8738497,862470.0,Kévin Denkey,1663.0,goal,8,,,,,,regular,sofascore
8738499,,,,period,90,,,,,,,sofascore
8738499,245615.0,Thomas Foket,1682.0,card,90,,,,,,yellow,sofascore
8738499,827243.0,Axel Disasi,1653.0,card,90,,,,,,yellow,sofascore
8738499,,,,injuryTime,90,,,,,,,sofascore
8738499,156004.0,Jean-Eudes Aholou,1653.0,substitution,87,,,,,,regular,sofascore
8738499,877979.0,Willem Geubbels,1653.0,substitution,81,,,,,,regular,sofascore
8738499,845750.0,Moreto Cassama,1682.0,substitution,78,,,,,,regular,sofascore
8738499,361696.0,Wout Faes,1682.0,card,76,,,,,,yellow,sofascore
8738499,227892.0,Arbër Zeneli,1682.0,substitution,60,,,,,,regular,sofascore
8738499,855847.0,Kaj Sierhuis,1682.0,substitution,60,,,,,,regular,sofascore
8738499,98197.0,Valon Berisha,1682.0,substitution,56,,,,,,regular,sofascore
8738499,904827.0,Benoît Badiashile,1653.0,goal,55,,,,,,regular,sofascore
8738499,944164.0,Sofiane Diop,1653.0,substitution,46,,,,,,regular,sofascore
8738499,,,,period,45,,,,,,,sofascore
8738499,827243.0,Axel Disasi,1653.0,goal,45,,,,,,regular,sofascore
8738499,,,,injuryTime,45,,,,,,,sofascore
