id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,attendance,referee_id_ss,referee_name,referee_country,data_source
8738846,2021-05-09,Ligue 1,Ligue 1 20/21,1684,1686,Angers,Dijon,3,0,,,,,sofascore
8738805,2021-05-09,Ligue 1,Ligue 1 20/21,1651,1663,Metz,Nîmes Olympique,0,3,,,,,sofascore
8738801,2021-05-09,Ligue 1,Ligue 1 20/21,1659,1642,RC Strasbourg,Montpellier,2,3,,,,,sofascore
8738812,2021-05-09,Ligue 1,Ligue 1 20/21,1661,1715,Nice,Stade Brestois,3,2,,,,,sofascore
8738807,2021-05-09,Ligue 1,Ligue 1 20/21,1682,1653,Stade de Reims,AS Monaco,0,1,,,,,sofascore
8738850,2021-05-09,Ligue 1,Ligue 1 20/21,1658,1644,Stade Rennais,Paris Saint-Germain,1,1,,,,,sofascore
8738831,2021-05-16,Ligue 1,Ligue 1 20/21,1656,1651,Lorient,Metz,2,1,,,,,sofascore
8738833,2021-05-16,Ligue 1,Ligue 1 20/21,1686,1647,Dijon,Nantes,0,4,,,,,sofascore
8738828,2021-05-16,Ligue 1,Ligue 1 20/21,1642,1715,Montpellier,Stade Brestois,0,0,,,,,sofascore
8738847,2021-05-16,Ligue 1,Ligue 1 20/21,1661,1659,Nice,RC Strasbourg,0,2,,,,,sofascore
8738832,2021-05-16,Ligue 1,Ligue 1 20/21,1645,1648,Bordeaux,RC Lens,3,0,,,,,sofascore
8738845,2021-05-16,Ligue 1,Ligue 1 20/21,1641,1684,Olympique de Marseille,Angers,3,2,,,,,sofascore
8738849,2021-05-16,Ligue 1,Ligue 1 20/21,1653,1658,AS Monaco,Stade Rennais,2,1,,,,,sofascore
8738836,2021-05-16,Ligue 1,Ligue 1 20/21,1643,1678,Lille,Saint-Étienne,0,0,,,,,sofascore
8738841,2021-05-16,Ligue 1,Ligue 1 20/21,1663,1649,Nîmes Olympique,Olympique Lyonnais,2,5,,,,,sofascore
8738824,2021-05-16,Ligue 1,Ligue 1 20/21,1644,1682,Paris Saint-Germain,Stade de Reims,4,0,,,,,sofascore
9524306,2021-05-18,"Ligue 1, Relegation/Promotion Playoffs",Ligue 1 20/21,1671,6070,Grenoble Foot 38,Paris FC,2,0,,,,,sofascore
9529401,2021-05-21,"Ligue 1, Relegation/Promotion Playoffs",Ligue 1 20/21,1681,1671,Toulouse,Grenoble Foot 38,3,0,,,,,sofascore
8738783,2021-05-23,Ligue 1,Ligue 1 20/21,1659,1656,RC Strasbourg,Lorient,1,1,,,,,sofascore
