whoscored_team_id,team_name,season,competition,data_source
315,Bordeaux,2020/21,Ligue 1,whoscored
302,Nantes,2020/21,Ligue 1,whoscored
1364,Dijon,2020/21,Ligue 1,whoscored
614,Angers,2020/21,Ligue 1,whoscored
607,Lille,2020/21,Ligue 1,whoscored
313,Rennes,2020/21,Ligue 1,whoscored
146,Lorient,2020/21,Ligue 1,whoscored
148,Strasbourg,2020/21,Ligue 1,whoscored
249,Marseille,2020/21,Ligue 1,whoscored
145,Saint-Etienne,2020/21,Ligue 1,whoscored
248,Monaco,2020/21,Ligue 1,whoscored
950,Reims,2020/21,Ligue 1,whoscored
311,Montpellier,2020/21,Ligue 1,whoscored
228,Lyon,2020/21,Ligue 1,whoscored
613,Nice,2020/21,Ligue 1,whoscored
309,Lens,2020/21,Ligue 1,whoscored
245,Nimes,2020/21,Ligue 1,whoscored
2332,Brest,2020/21,Ligue 1,whoscored
304,PSG,2020/21,Ligue 1,whoscored
314,Metz,2020/21,Ligue 1,whoscored
