team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
244,olympique-marseille,2024,Olympique de Marsella,67394,67394,,,,,,,,Olympique de Marseille,,Orange Vélodrome,,,,Césped natural,,https://www.transfermarkt.es/olympique-marseille/stadion/verein/244/saison_id/2024
273,fc-stade-rennes,2024,Stade Rennais FC,29778,29778,,,,,,,,Stade Rennes,,Roazhon Park,,,"37,30 mill. €",Césped natural,,https://www.transfermarkt.es/fc-stade-rennes/stadion/verein/273/saison_id/2024
290,aj-auxerre,2024,AJ Auxerre,18541,18541,,,16,,,,,AJ Auxerre,,Stade de l'Abbé-Deschamps,,,,Césped híbrido,,https://www.transfermarkt.es/aj-auxerre/stadion/verein/290/saison_id/2024
415,fc-toulouse,2024,Toulouse FC,33150,33150,,,,,,,,Stadt Toulouse,,Stadium Municipal,,,,Césped híbrido,,https://www.transfermarkt.es/fc-toulouse/stadion/verein/415/saison_id/2024
618,as-saint-etienne,2024,AS Saint-Étienne,41965,42000,,,,,,,,Saint-Étienne Métropole,,Stade Geoffroy-Guichard,,,,Césped natural,,https://www.transfermarkt.es/as-saint-etienne/stadion/verein/618/saison_id/2024
667,rc-strassburg-alsace,2024,Racing Club de Estrasburgo,32000,22000,,,26,,,,,Eurométropole de Strasbourg,,Stade de la Meinau,,,,Césped natural,,https://www.transfermarkt.es/rc-strassburg-alsace/stadion/verein/667/saison_id/2024
738,ac-le-havre,2024,Le Havre AC,25178,,,,,,,,,Communauté de l’agglomération havraise,,Stade Océane,,,"101,00 mill. €",Césped natural,,https://www.transfermarkt.es/ac-le-havre/stadion/verein/738/saison_id/2024
826,rc-lens,2024,RC Lens,38223,38223,,,,,,,,Stadt Lens,,Stade Bollaert-Delelis,,,,Césped natural,,https://www.transfermarkt.es/rc-lens/stadion/verein/826/saison_id/2024
969,montpellier-hsc,2024,Montpellier HSC,22000,22000,,,,,,,,Stadt Montpellier,,Stade de la Mosson,,,,Césped híbrido,,https://www.transfermarkt.es/montpellier-hsc/stadion/verein/969/saison_id/2024
995,fc-nantes,2024,FC Nantes,35322,,,,,,,,,Ville de Nantes,,Stade de la Beaujoire,,,,Césped natural,,https://www.transfermarkt.es/fc-nantes/stadion/verein/995/saison_id/2024
1420,sco-angers,2024,Angers SCO,19350,19350,,,,,,,,Ville d'Angers,,Stade Raymond-Kopa,,,,Césped natural,,https://www.transfermarkt.es/sco-angers/stadion/verein/1420/saison_id/2024
1421,stade-reims,2024,Stade de Reims,20519,,,,,,,,,Stadt Reims,,Stade Auguste-Delaune,,,,Césped híbrido,,https://www.transfermarkt.es/stade-reims/stadion/verein/1421/saison_id/2024
