whoscored_match_id,match_date,season,competition,attendance,data_source
1823997,2024-08-17,2024/25,Ligue 1,14755.0,whoscored
1823998,2024-08-17,2024/25,Ligue 1,14962.0,whoscored
1823999,2024-08-16,2024/25,Ligue 1,23167.0,whoscored
1824000,2024-08-18,2024/25,Ligue 1,15706.0,whoscored
1824001,2024-08-18,2024/25,Ligue 1,25491.0,whoscored
1824002,2024-08-18,2024/25,Ligue 1,14811.0,whoscored
1824003,2024-08-17,2024/25,Ligue 1,14250.0,whoscored
1824004,2024-08-18,2024/25,Ligue 1,16354.0,whoscored
1824005,2024-08-18,2024/25,Ligue 1,26026.0,whoscored
1824006,2025-05-17,2024/25,Ligue 1,19280.0,whoscored
1824007,2025-05-17,2024/25,Ligue 1,57274.0,whoscored
1824008,2025-05-17,2024/25,Ligue 1,34780.0,whoscored
1824009,2025-05-17,2024/25,Ligue 1,56517.0,whoscored
1824010,2025-05-17,2024/25,Ligue 1,38160.0,whoscored
1824011,2025-05-17,2024/25,Ligue 1,30298.0,whoscored
1824012,2025-05-17,2024/25,Ligue 1,47926.0,whoscored
1824013,2025-05-17,2024/25,Ligue 1,38725.0,whoscored
1824014,2025-05-17,2024/25,Ligue 1,45599.0,whoscored
1824742,2025-01-19,2024/25,Ligue 1,63992.0,whoscored
1824743,2025-01-18,2024/25,Ligue 1,38120.0,whoscored
1824744,2025-01-17,2024/25,Ligue 1,38325.0,whoscored
1824745,2025-01-18,2024/25,Ligue 1,42592.0,whoscored
1824746,2025-01-19,2024/25,Ligue 1,14094.0,whoscored
1824747,2025-01-17,2024/25,Ligue 1,11371.0,whoscored
1824748,2025-01-19,2024/25,Ligue 1,11278.0,whoscored
1824749,2025-01-19,2024/25,Ligue 1,9938.0,whoscored
1824750,2025-01-18,2024/25,Ligue 1,28238.0,whoscored
1824751,2025-01-25,2024/25,Ligue 1,19428.0,whoscored
1824752,2025-01-25,2024/25,Ligue 1,5725.0,whoscored
1824753,2025-01-26,2024/25,Ligue 1,28382.0,whoscored
1824754,2025-01-26,2024/25,Ligue 1,17898.0,whoscored
1824755,2025-01-24,2024/25,Ligue 1,16805.0,whoscored
1824756,2025-01-26,2024/25,Ligue 1,37321.0,whoscored
1824757,2025-01-25,2024/25,Ligue 1,47862.0,whoscored
1824758,2025-01-26,2024/25,Ligue 1,31017.0,whoscored
1824759,2025-01-26,2024/25,Ligue 1,32690.0,whoscored
1824760,2025-02-02,2024/25,Ligue 1,66096.0,whoscored
1824761,2025-02-01,2024/25,Ligue 1,15040.0,whoscored
1824762,2025-01-31,2024/25,Ligue 1,15330.0,whoscored
1824763,2025-02-01,2024/25,Ligue 1,38924.0,whoscored
1824764,2025-02-02,2024/25,Ligue 1,12712.0,whoscored
1824765,2025-02-02,2024/25,Ligue 1,11267.0,whoscored
1824766,2025-02-02,2024/25,Ligue 1,23516.0,whoscored
1824767,2025-02-02,2024/25,Ligue 1,26621.0,whoscored
1824768,2025-02-01,2024/25,Ligue 1,5336.0,whoscored
1824769,2025-02-09,2024/25,Ligue 1,15801.0,whoscored
1824770,2025-02-07,2024/25,Ligue 1,25050.0,whoscored
1824771,2025-02-09,2024/25,Ligue 1,19042.0,whoscored
1824772,2025-02-08,2024/25,Ligue 1,39515.0,whoscored
1824773,2025-02-08,2024/25,Ligue 1,30385.0,whoscored
1824774,2025-02-07,2024/25,Ligue 1,47926.0,whoscored
1824775,2025-02-09,2024/25,Ligue 1,43489.0,whoscored
1824776,2025-02-09,2024/25,Ligue 1,17325.0,whoscored
1824777,2025-02-08,2024/25,Ligue 1,22586.0,whoscored
1824778,2024-08-23,2024/25,Ligue 1,46000.0,whoscored
1824779,2024-08-25,2024/25,Ligue 1,19026.0,whoscored
1824780,2024-08-25,2024/25,Ligue 1,31077.0,whoscored
1824781,2024-08-24,2024/25,Ligue 1,16958.0,whoscored
1824782,2024-09-01,2024/25,Ligue 1,45434.0,whoscored
1824783,2024-08-31,2024/25,Ligue 1,13000.0,whoscored
1824784,2024-09-15,2024/25,Ligue 1,27451.0,whoscored
1824785,2024-08-24,2024/25,Ligue 1,36906.0,whoscored
1824786,2024-09-14,2024/25,Ligue 1,47000.0,whoscored
1824787,2024-09-20,2024/25,Ligue 1,30024.0,whoscored
1824788,2024-08-25,2024/25,Ligue 1,21656.0,whoscored
1824789,2024-08-25,2024/25,Ligue 1,37435.0,whoscored
1824790,2024-09-21,2024/25,Ligue 1,20220.0,whoscored
1824791,2024-09-22,2024/25,Ligue 1,14580.0,whoscored
1824792,2024-08-24,2024/25,Ligue 1,54392.0,whoscored
