whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
319767,Yehvann Diouf,950,Reims,GK,94,2024/25,Ligue 1,whoscored
526988,Abdoul Koné,950,Reims,DR,92,2024/25,Ligue 1,whoscored
377586,Joseph Okumu,950,Reims,DC,2,2024/25,Ligue 1,whoscored
402810,Emmanuel Agbadou,950,Reims,DC,24,2024/25,Ligue 1,whoscored
301773,Sergio Akieme,950,Reims,DL,18,2024/25,Ligue 1,whoscored
474335,Valentin Atangana,950,Reims,MC,6,2024/25,Ligue 1,whoscored
506913,Amadou Koné,950,Reims,MC,72,2024/25,Ligue 1,whoscored
377411,Marshall Munetsi,950,Reims,MC,15,2024/25,Ligue 1,whoscored
370255,Junya Ito,950,Reims,FWR,7,2024/25,Ligue 1,whoscored
454324,Oumar Diakité,950,Reims,FW,22,2024/25,Ligue 1,whoscored
379700,Keito Nakamura,950,Reims,FWL,17,2024/25,Ligue 1,whoscored
482831,Mamadou Diakhon,950,Reims,Sub,67,2024/25,Ligue 1,whoscored
513632,Nhoa Sangui,950,Reims,Sub,55,2024/25,Ligue 1,whoscored
409093,Reda Khadra,950,Reims,Sub,14,2024/25,Ligue 1,whoscored
455471,Yaya Fofana,950,Reims,Sub,71,2024/25,Ligue 1,whoscored
328433,Thibault De Smet,950,Reims,Sub,25,2024/25,Ligue 1,whoscored
361329,Cédric Kipré,950,Reims,Sub,21,2024/25,Ligue 1,whoscored
296113,Alexandre Olliero,950,Reims,Sub,20,2024/25,Ligue 1,whoscored
430308,Martin Adeline,950,Reims,Sub,5,2024/25,Ligue 1,whoscored
496153,Adama Bojang,950,Reims,Sub,27,2024/25,Ligue 1,whoscored
398299,Lucas Chevalier,607,Lille,GK,30,2024/25,Ligue 1,whoscored
447025,Tiago Santos,607,Lille,DR,22,2024/25,Ligue 1,whoscored
90115,Aïssa Mandi,607,Lille,DC,2,2024/25,Ligue 1,whoscored
438897,Alexsandro Ribeiro,607,Lille,DC,4,2024/25,Ligue 1,whoscored
366875,Bafodé Diakité,607,Lille,DC,18,2024/25,Ligue 1,whoscored
81662,Ismaily,607,Lille,DL,31,2024/25,Ligue 1,whoscored
85693,Rémy Cabella,607,Lille,MR,10,2024/25,Ligue 1,whoscored
338497,Angel Gomes,607,Lille,MC,8,2024/25,Ligue 1,whoscored
468938,Ngal'ayel Mukau,607,Lille,MC,17,2024/25,Ligue 1,whoscored
366886,Osame Sahraoui,607,Lille,ML,11,2024/25,Ligue 1,whoscored
422190,Mohamed Bayo,607,Lille,FW,27,2024/25,Ligue 1,whoscored
104376,Thomas Meunier,607,Lille,Sub,12,2024/25,Ligue 1,whoscored
