id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
3577.0,Dante,,,,,
15219.0,Lukáš Hrádecký,,,,,
38440.0,Kevin Trapp,,,,,
39070.0,Olivier Giroud,,,,,
40672.0,Francis Coquelin,,,,,
41605.0,Timothée Kolodziejczak,,,,,
45512.0,Youssef El Arabi,,,,,
45923.0,Ciro Immobile,,,,,
48535.0,Anthony Lopes,,,,,
51498.0,Pierre-Emerick Aubameyang,,,,,
51665.0,Benjamin André,,,,,
54308.0,Loic Négo,,,,,
72818.0,Brice Maubleu,,,,,
72998.0,Rémy Cabella,,,,,
96544.0,Geoffrey Kondogbia,,,,,
105951.0,Benjamin Stambouli,,,,,
111802.0,Paul Pogba,,,,,
121180.0,Abdoulaye Bamba,,,,,
122810.0,Aïssa Mandi,,,,,
123228.0,Rachid Ghezzal,,,,,
123388.0,Djibril Sidibé,,,,,
128285.0,Maxime Colin,,,,,
128383.0,Gerónimo Rulli,,,,,
128587.0,Thomas Meunier,,,,,
141080.0,Kenny Lala,,,,,
146101.0,Eric Dier,,,,,
148824.0,Florian Thauvin,,,,,
149593.0,Pierre-Emile Højbjerg,,,,,
149732.0,Abdoulaye Touré,,,,,
152813.0,Clinton Mata,,,,,
153218.0,Thomas Delaine,,,,,
155818.0,Takumi Minamino,,,,,
155995.0,Marquinhos,,,,,
155997.0,Emerson,,,,,
158233.0,Bouna Sarr,,,,,
158243.0,Nicolás Tagliafico,,,,,
159837.0,Donovan Léon,,,,,
164055.0,Brice Samba,,,,,
170129.0,Florent Hanin,,,,,
174975.0,Arthur Masuaku,,,,,
190883.0,Branco Van den Boomen,,,,,
191188.0,Seko Fofana,,,,,
204286.0,Nouha Dicko,,,,,
209768.0,Pierrick Capelle,,,,,
227862.0,Wesley Saïd,,,,,
231946.0,Adrien Thomasson,,,,,
235538.0,Younes Namli,,,,,
238612.0,Chancel Mbemba,,,,,
250133.0,Morgan Sanson,,,,,
250737.0,Adrien Rabiot,,,,,
257205.0,Sofiane Boufal,,,,,
281277.0,Thilo Kehrer,,,,,
286909.0,Przemysław Frankowski,,,,,
287887.0,Gautier Lloris,,,,,
296434.0,Laurent Abergel,,,,,
300412.0,Giorgi Kvilitaia,,,,,
318963.0,Aleksandr Golovin,,,,,
326343.0,Jean-Philippe Gbamin,,,,,
328035.0,Brendan Chardonnet,,,,,
330051.0,Moses Simon,,,,,
343067.0,Corentin Tolisso,,,,,
343971.0,Ludovic Ajorque,,,,,
347010.0,Allan Saint-Maximin,,,,,
352296.0,Breel Embolo,,,,,
352370.0,Lucas Hernández,,,,,
352768.0,Ainsley Maitland-Niles,,,,,
352802.0,Maxime López,,,,,
356352.0,Hans Hateboer,,,,,
361696.0,Wout Faes,,,,,
361780.0,Calvin Verdonk,,,,,
362014.0,Hamari Traoré,,,,,
363042.0,Jordan Lefort,,,,,
367056.0,Jérémie Boga,,,,,
368120.0,Nabil Bentaleb,,,,,
369650.0,Jonathan Gradit,,,,,
372430.0,Frédéric Guilbert,,,,,
557166.0,Mama Baldé,,,,,
558320.0,Ulisses Garcia,,,,,
579576.0,Ruben Aguilar,,,,,
580226.0,Mory Diaw,,,,,
580642.0,Haris Belkebla,,,,,
581314.0,Valentin Rongier,,,,,
599192.0,Lionel Mpasi Nzau,,,,,
605552.0,Irvin Cardona,,,,,
758168.0,Moussa Niakhaté,,,,,
770677.0,Denis Zakaria,,,,,
782240.0,Assane Dioussé,,,,,
784655.0,Fabián Ruiz,,,,,
787505.0,Benjamin Pavard,,,,,
787827.0,Matthieu Udol,,,,,
787889.0,Lucas Tousart,,,,,
788170.0,Fodé Ballo-Touré,,,,,
788180.0,Rémy Descamps,,,,,
788921.0,Florian Sotoca,,,,,
791046.0,Dominik Greif,,,,,
793988.0,Orel Mangala,,,,,
794373.0,Carlens Arcus,,,,,
795228.0,Odsonne Édouard,,,,,
795508.0,Vincent Marchetti,,,,,
798124.0,Rasmus Nicolaisen,,,,,
801306.0,Pierre Lees Melou,,,,,
802034.0,Fabien Centonze,,,,,
802137.0,Maxime Bernauer,,,,,
802138.0,Jean Victor Makengo,,,,,
802142.0,Jonathan Ikoné,,,,,
802143.0,Kelvin Amian,,,,,
802147.0,Bradley Danger,,,,,
802159.0,Habibou Diallo,,,,,
802695.0,Ben Chilwell,,,,,
804472.0,Pablo Rosario,,,,,
804764.0,Chidozie Awaziem,,,,,
805096.0,Francisco Sierralta,,,,,
806076.0,Ludovic Blas,,,,,
814594.0,Achraf Hakimi,,,,,
816810.0,Mathieu Cafaro,,,,,
818244.0,Ousmane Dembélé,,,,,
821728.0,Jonathan Clauss,,,,,
822110.0,Deiver Machado,,,,,
822708.0,Amadou Haidara,,,,,
825088.0,Ally Samatta,,,,,
825681.0,Romain Del Castillo,,,,,
825846.0,Jordan Teze,,,,,
825901.0,Joel Asoro,,,,,
826203.0,Malang Sarr,,,,,
827506.0,Gaëtan Perrin,,,,,
827519.0,Romain Perraud,,,,,
829093.0,Ibrahima Sissoko,,,,,
829296.0,Roman Yaremchuk,,,,,
831246.0,Igor Silva,,,,,
839493.0,Amir Murillo,,,,,
842391.0,Gauthier Hein,,,,,
842399.0,Alimami Gory,,,,,
844744.0,Thibault De Smet,,,,,
844942.0,Gideon Mensah,,,,,
845170.0,Caio Henrique,,,,,
845183.0,Yehvann Diouf,,,,,
845486.0,Tanguy Ndombélé,,,,,
847494.0,Berke Özer,,,,,
847983.0,Sebastian Szymański,,,,,
848458.0,Arnaud Nordin,,,,,
849114.0,Radosław Majecki,,,,,
855810.0,Tim Weah,,,,,
859026.0,Amine Gouiri,,,,,
860307.0,Facundo Medina,,,,,
861324.0,Hugo Magnetti,,,,,
863133.0,Aron Dønnum,,,,,
865847.0,Mickael Nade,,,,,
867299.0,Hervé Koffi,,,,,
867440.0,Danny Namaso,,,,,
867441.0,Angel Gomes,,,,,
867575.0,Koffi Kouao,,,,,
868964.0,Philipp Köhn,,,,,
873221.0,Ayumu Seko,,,,,
873534.0,Krépin Diatta,,,,,
873551.0,Mostafa Mohamed,,,,,
875548.0,Aiyegun Tosin,,,,,
875677.0,Giorgi Tsitaishvili,,,,,
876600.0,Mousa Tamari,,,,,
877102.0,Nayef Aguerd,,,,,
877979.0,Willem Geubbels,,,,,
878898.0,Arnaud Bodart,,,,,
878938.0,Cristian Cásseres Jr.,,,,,
879618.0,Montassar Talbi,,,,,
886286.0,Nicolas Cozza,,,,,
889259.0,Khvicha Kvaratskhelia,,,,,
890329.0,Ignatius Kpene Ganago,,,,,
891505.0,Goduine Koyalipou,,,,,
891508.0,Grégoire Coudert,,,,,
891829.0,Matt O'Riley,,,,,
892924.0,Hamed Junior Traorè,,,,,
894396.0,Terem Moffi,,,,,
894733.0,Marshall Munetsi,,,,,
902029.0,Vitinha,,,,,
902657.0,Jessy Deminguet,,,,,
904424.0,Elisha Owusu,,,,,
904994.0,Eric Ebimbe,,,,,
906075.0,Melvin Bard,,,,,
910076.0,Felix Mambimbi,,,,,
911851.0,Yann Gboho,,,,,
913942.0,Romain Faivre,,,,,
915451.0,Jean Lambert Evan's Allan,,,,,
916041.0,Mahdi Camara,,,,,
917087.0,Kang-in Lee,,,,,
919027.0,Ali Abdi,,,,,
921369.0,Zuriko Davitashvili,,,,,
922759.0,Mark McKenzie,,,,,
927005.0,Lassine Sinayoko,,,,,
928033.0,Charles Vanhoutte,,,,,
