match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14061904,879618,Montassar Talbi,,90,9.7,42.5,0.0399,block,head,corner,sofascore
14061904,1855502,Arsène Kouassi,,88,22.2,59.2,0.0732,miss,left-foot,free-kick,sofascore
14061904,993952,Noah Cadiou,,86,17.5,56.1,0.0434,miss,left-foot,regular,sofascore
14061904,1130307,Karim Dermane,,85,17.3,55.2,0.0484,block,right-foot,throw-in-set-piece,sofascore
14061904,257205,Sofiane Boufal,,68,3.1,30.9,0.022,miss,left-foot,assisted,sofascore
14061904,1001458,Issa Soumaré,,62,10.8,60.0,0.8628,goal,right-foot,fast-break,sofascore
14061904,1001458,Issa Soumaré,,61,12.2,38.0,0.1147,save,left-foot,fast-break,sofascore
14061904,993952,Noah Cadiou,,57,32.7,43.8,0.0154,block,right-foot,assisted,sofascore
14061904,1102503,Ahmadou Bamba Dieng,,56,7.6,51.4,0.1201,miss,head,assisted,sofascore
14061904,257205,Sofiane Boufal,,54,28.7,52.4,0.0351,miss,right-foot,free-kick,sofascore
14061904,1174462,Pablo Pagis,,47,23.7,31.7,0.0292,save,right-foot,assisted,sofascore
14061904,802138,Jean Victor Makengo,,46,27.4,42.3,0.0265,block,left-foot,assisted,sofascore
14061904,1102503,Ahmadou Bamba Dieng,,45,11.5,50.0,0.7884,save,right-foot,penalty,sofascore
14061904,802138,Jean Victor Makengo,,44,20.0,62.0,0.0163,miss,right-foot,set-piece,sofascore
14061904,1000442,Yassine Kechta,,39,19.5,40.3,0.056,save,right-foot,assisted,sofascore
14061904,1529051,Abdoulaye Faye,,33,2.9,54.0,,goal,left-foot,regular,sofascore
14061904,1174462,Pablo Pagis,,28,19.8,63.4,0.0597,miss,right-foot,assisted,sofascore
14061904,1001458,Issa Soumaré,,21,9.4,43.1,0.1406,miss,left-foot,fast-break,sofascore
14061904,1174462,Pablo Pagis,,15,21.9,22.1,0.0382,block,right-foot,free-kick,sofascore
14061904,257205,Sofiane Boufal,,1,23.4,41.4,0.0209,save,right-foot,assisted,sofascore
14061905,962883,Ansu Fati,,90,17.5,38.3,0.0292,save,right-foot,assisted,sofascore
14061905,1403216,Paris Brunner,,90,14.0,30.6,0.0462,save,right-foot,assisted,sofascore
14061905,1389846,Lamine Camara,,90,17.9,36.6,0.0578,block,left-foot,regular,sofascore
14061905,1403216,Paris Brunner,,87,11.4,54.6,0.1028,block,right-foot,assisted,sofascore
14061905,1389846,Lamine Camara,,87,21.8,65.4,0.0457,miss,right-foot,assisted,sofascore
14061905,1190938,Martial Godo,,84,19.8,35.8,0.0377,goal,right-foot,assisted,sofascore
14061905,973556,Julio Enciso,,80,19.4,59.5,0.068,miss,left-foot,fast-break,sofascore
14061905,1410148,Mamadou Coulibaly,,78,17.5,63.6,0.0249,block,left-foot,assisted,sofascore
14061905,1868591,Aladji Bamba,,78,24.3,48.3,0.0219,block,right-foot,assisted,sofascore
14061905,934237,Folarin Balogun,,75,10.8,55.8,0.0954,save,left-foot,regular,sofascore
14061905,962068,Sebastian Nanasi,,72,4.6,44.9,0.3943,goal,right-foot,assisted,sofascore
14061905,983066,Andrew Omobamidele,,64,12.5,57.9,0.0119,save,head,corner,sofascore
14061905,1142233,Diego Moreira,,63,4.8,34.4,0.0384,block,left-foot,assisted,sofascore
14061905,962068,Sebastian Nanasi,,61,15.5,45.2,0.0973,goal,left-foot,assisted,sofascore
14061905,1190938,Martial Godo,,60,13.5,46.7,0.0841,miss,right-foot,assisted,sofascore
14061905,1142233,Diego Moreira,,58,13.5,58.5,0.333,goal,left-foot,assisted,sofascore
14061905,1049517,Ismael Doukouré,,55,9.7,43.6,,goal,right-foot,regular,sofascore
14061905,934237,Folarin Balogun,,55,14.7,27.4,0.035,miss,left-foot,assisted,sofascore
14061905,962883,Ansu Fati,,54,20.6,53.2,0.0698,block,right-foot,assisted,sofascore
14061905,962068,Sebastian Nanasi,,49,2.2,62.0,0.0362,miss,right-foot,assisted,sofascore
14061905,1605921,Samir El Mourabet,,48,27.4,49.3,0.0234,miss,right-foot,corner,sofascore
14061905,1142233,Diego Moreira,,47,24.1,54.7,0.0282,block,left-foot,assisted,sofascore
14061905,1407848,Christian Mawissa,,45,22.9,29.9,0.026,post,right-foot,assisted,sofascore
14061905,962883,Ansu Fati,,45,18.4,56.2,0.0527,goal,right-foot,assisted,sofascore
14061905,1389846,Lamine Camara,,42,15.0,45.7,0.1799,goal,right-foot,assisted,sofascore
14061905,1190938,Martial Godo,,34,7.9,46.4,0.1902,goal,right-foot,assisted,sofascore
14061905,934237,Folarin Balogun,,34,14.8,92.4,0.0134,miss,right-foot,fast-break,sofascore
14061905,1110842,Simon Adingra,,31,4.1,39.5,0.0644,save,head,assisted,sofascore
14061905,962883,Ansu Fati,,31,10.5,30.3,0.0351,save,left-foot,assisted,sofascore
14061905,1142233,Diego Moreira,,29,24.0,71.4,0.0199,save,left-foot,assisted,sofascore
14061905,1142233,Diego Moreira,,24,21.0,69.1,0.0683,block,left-foot,free-kick,sofascore
14061905,934237,Folarin Balogun,,17,15.0,45.2,0.0658,block,left-foot,assisted,sofascore
14061905,934237,Folarin Balogun,,16,11.4,44.8,0.07,block,right-foot,regular,sofascore
14061905,1110842,Simon Adingra,,16,17.9,32.5,0.0205,block,right-foot,assisted,sofascore
14061905,1389846,Lamine Camara,,10,14.7,53.8,0.0759,goal,right-foot,regular,sofascore
14061905,973556,Julio Enciso,,8,7.7,32.9,0.0778,block,right-foot,assisted,sofascore
14061905,770677,Denis Zakaria,,2,25.1,47.0,0.0196,miss,right-foot,corner,sofascore
14061906,965357,Osame Sahraoui,,90,13.3,43.8,0.0786,block,left-foot,assisted,sofascore
14061906,927005,Lassine Sinayoko,,90,14.4,42.1,0.288,goal,right-foot,assisted,sofascore
14061906,997104,Naouirou Ahamada,,80,14.7,70.5,0.0555,miss,right-foot,fast-break,sofascore
14061906,51665,Benjamin André,,66,22.3,56.6,0.0489,block,right-foot,regular,sofascore
14061906,1138804,Hakon Arnar Haraldsson,,65,10.2,41.3,0.0869,block,right-foot,assisted,sofascore
14061906,1119487,Nathan Ngoy,,54,9.1,49.9,0.0546,miss,head,corner,sofascore
14061906,934498,Félix Correia,,54,8.0,50.9,0.1189,block,right-foot,assisted,sofascore
14061906,1149144,Matías Fernández-Pardo,,53,3.9,32.7,0.0268,miss,right-foot,assisted,sofascore
14061906,1047484,Sékou Mara,,50,13.0,75.2,0.023,miss,right-foot,regular,sofascore
14061906,39070,Olivier Giroud,,48,8.5,49.9,0.5542,save,left-foot,assisted,sofascore
14061906,51665,Benjamin André,,45,7.3,48.1,0.4355,miss,right-foot,set-piece,sofascore
14061906,934498,Félix Correia,,35,24.3,54.8,0.0224,miss,right-foot,corner,sofascore
14061906,927005,Lassine Sinayoko,,32,5.4,31.8,0.0772,goal,right-foot,throw-in-set-piece,sofascore
14061906,927005,Lassine Sinayoko,,32,4.2,26.7,0.0124,save,left-foot,throw-in-set-piece,sofascore
14061906,934498,Félix Correia,,31,8.0,39.3,0.1237,miss,left-foot,assisted,sofascore
14061906,1897492,Telli Siwe,,23,8.3,52.8,0.0699,save,head,corner,sofascore
14061906,1151803,Kévin Danois,,20,14.4,28.9,0.0188,miss,right-foot,throw-in-set-piece,sofascore
14061906,368120,Nabil Bentaleb,,12,18.7,60.3,0.0504,save,left-foot,set-piece,sofascore
14061906,1149144,Matías Fernández-Pardo,,4,12.3,63.0,0.1184,save,right-foot,assisted,sofascore
14061907,1597145,Abdelhamid Ait Boudlal,,90,12.8,43.6,0.0789,miss,right-foot,corner,sofascore
14061907,966621,Esteban Lepaul,,90,6.4,32.5,0.0362,miss,left-foot,assisted,sofascore
14061907,352296,Breel Embolo,,90,9.9,42.3,0.0329,save,head,assisted,sofascore
14061907,352296,Breel Embolo,,90,8.6,56.8,0.0335,miss,head,corner,sofascore
14061907,848458,Arnaud Nordin,,89,10.8,69.3,0.0502,save,right-foot,fast-break,sofascore
14061907,1545409,Mahamadou Nagida,,87,23.8,40.9,0.0127,miss,left-foot,corner,sofascore
14061907,352296,Breel Embolo,,87,7.6,46.6,0.0802,miss,head,corner,sofascore
14061907,1102502,Quentin Merlin,,86,25.1,48.1,0.0214,block,left-foot,assisted,sofascore
14061907,966621,Esteban Lepaul,,84,6.9,46.2,0.3523,goal,head,assisted,sofascore
14061907,1891021,Nordan Mukiele,,84,21.6,26.8,0.0184,block,right-foot,assisted,sofascore
14061907,916041,Mahdi Camara,,81,13.8,66.4,0.0362,post,right-foot,regular,sofascore
14061907,352296,Breel Embolo,,79,10.8,53.4,0.0966,block,right-foot,regular,sofascore
14061907,806076,Ludovic Blas,,77,11.7,39.9,0.0716,block,left-foot,assisted,sofascore
14061907,855810,Tim Weah,,71,23.1,77.1,0.0192,miss,right-foot,assisted,sofascore
14061907,981815,Igor Paixão,,68,12.6,44.2,0.2068,miss,right-foot,regular,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,68,12.9,55.4,0.1499,save,right-foot,assisted,sofascore
14061907,859026,Amine Gouiri,,67,20.3,29.7,0.0335,block,right-foot,assisted,sofascore
14061907,149593,Pierre-Emile Højbjerg,,66,22.8,42.1,0.014,block,right-foot,corner,sofascore
14061907,149593,Pierre-Emile Højbjerg,,65,9.5,46.8,0.1872,miss,left-foot,assisted,sofascore
14061907,806076,Ludovic Blas,,64,12.9,41.5,0.1352,miss,left-foot,assisted,sofascore
14061907,966621,Esteban Lepaul,,64,12.0,36.6,0.044,block,left-foot,assisted,sofascore
14061907,966621,Esteban Lepaul,,61,24.7,29.1,0.0245,miss,right-foot,assisted,sofascore
14061907,1191892,Tochukwu Nnadi,,60,8.3,44.6,0.2511,miss,head,regular,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,60,9.9,58.3,0.2384,save,left-foot,assisted,sofascore
14061907,942116,Mason Greenwood,,59,17.8,67.0,0.0433,save,right-foot,assisted,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,55,4.6,57.5,0.2566,goal,right-foot,assisted,sofascore
14061907,859026,Amine Gouiri,,51,14.2,56.4,0.0624,block,right-foot,assisted,sofascore
14061907,876600,Mousa Tamari,,50,22.5,62.4,0.0457,miss,left-foot,assisted,sofascore
14061907,352296,Breel Embolo,,47,6.9,54.6,0.5402,miss,right-foot,assisted,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,46,10.1,62.8,0.1311,save,right-foot,assisted,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,45,8.8,38.7,0.0924,save,right-foot,assisted,sofascore
14061907,981815,Igor Paixão,,45,23.2,52.8,0.0628,save,right-foot,regular,sofascore
14061907,855810,Tim Weah,,45,8.5,64.6,0.0687,block,right-foot,regular,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,45,12.0,38.0,0.1287,block,right-foot,assisted,sofascore
14061907,876600,Mousa Tamari,,45,5.4,66.9,0.1017,miss,left-foot,assisted,sofascore
14061907,942116,Mason Greenwood,,43,10.3,67.2,0.0396,miss,left-foot,regular,sofascore
14061907,942116,Mason Greenwood,,41,28.8,46.8,0.0351,miss,right-foot,free-kick,sofascore
14061907,916041,Mahdi Camara,,38,13.8,41.9,0.2321,save,right-foot,assisted,sofascore
14061907,581314,Valentin Rongier,,38,25.1,66.4,0.0253,block,right-foot,regular,sofascore
14061907,876600,Mousa Tamari,,37,12.2,54.2,0.0731,miss,left-foot,regular,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,36,22.9,38.9,0.0445,save,right-foot,regular,sofascore
14061907,876600,Mousa Tamari,,33,19.4,71.8,0.0262,save,left-foot,fast-break,sofascore
14061907,981815,Igor Paixão,,27,8.8,36.8,0.0633,block,right-foot,assisted,sofascore
14061907,876600,Mousa Tamari,,25,14.7,32.7,0.0393,block,left-foot,assisted,sofascore
14061907,1597145,Abdelhamid Ait Boudlal,,24,13.8,49.1,0.0553,miss,right-foot,corner,sofascore
14061907,806076,Ludovic Blas,,23,11.3,29.9,0.037,save,left-foot,assisted,sofascore
14061907,928236,Leonardo Balerdi,,22,11.7,54.4,0.0223,miss,head,corner,sofascore
14061907,51498,Pierre-Emerick Aubameyang,,20,8.8,42.1,0.0832,block,right-foot,assisted,sofascore
14061907,966621,Esteban Lepaul,,13,4.0,55.4,0.1907,miss,head,regular,sofascore
14061907,859026,Amine Gouiri,,10,10.7,47.4,0.4605,goal,right-foot,regular,sofascore
14061907,155997,Emerson,,10,8.9,33.6,0.1123,miss,left-foot,assisted,sofascore
14061907,981815,Igor Paixão,,9,25.3,56.2,0.0511,miss,right-foot,assisted,sofascore
14061907,149593,Pierre-Emile Højbjerg,,2,11.6,58.7,0.0808,goal,right-foot,assisted,sofascore
14061907,981815,Igor Paixão,,1,15.3,35.6,0.0692,save,right-foot,assisted,sofascore
14061908,1401005,Remy Labeau Lascary,,89,3.6,49.9,0.3975,save,right-foot,corner,sofascore
14061908,861324,Hugo Magnetti,,86,21.5,63.0,0.0239,block,right-foot,corner,sofascore
14061908,1401005,Remy Labeau Lascary,,81,10.4,66.7,0.2976,save,right-foot,fast-break,sofascore
14061908,1401005,Remy Labeau Lascary,,79,25.5,37.5,0.0289,block,left-foot,regular,sofascore
14061908,1170532,Jacques Ekomié,,77,8.6,50.3,0.0858,miss,head,assisted,sofascore
14061908,891505,Goduine Koyalipou,,75,18.8,45.2,0.161,save,right-foot,fast-break,sofascore
14061908,209768,Pierrick Capelle,,75,24.6,39.5,0.0095,miss,left-foot,corner,sofascore
14061908,343971,Ludovic Ajorque,,72,10.1,45.4,0.0719,miss,left-foot,assisted,sofascore
14061908,891505,Goduine Koyalipou,,70,9.5,62.0,0.0717,block,right-foot,assisted,sofascore
14061908,891505,Goduine Koyalipou,,69,8.0,68.7,0.0304,miss,right-foot,assisted,sofascore
14061908,787889,Lucas Tousart,,68,7.4,51.3,0.1037,miss,head,corner,sofascore
14061908,1401005,Remy Labeau Lascary,,68,16.1,69.5,0.0366,block,right-foot,assisted,sofascore
14061908,1392829,Amine Sbai,,60,21.4,34.0,0.0273,goal,right-foot,fast-break,sofascore
14061908,825681,Romain Del Castillo,,55,7.0,42.9,0.1236,goal,right-foot,assisted,sofascore
14061908,343971,Ludovic Ajorque,,54,8.8,55.6,0.0559,miss,head,assisted,sofascore
14061908,1410231,Pathé Mboup,,53,8.8,42.5,0.1796,miss,right-foot,throw-in-set-piece,sofascore
14061908,1410231,Pathé Mboup,,47,14.5,38.5,0.0752,miss,right-foot,assisted,sofascore
14061908,1392829,Amine Sbai,,40,2.9,68.9,0.2729,miss,right-foot,assisted,sofascore
14061908,209768,Pierrick Capelle,,32,23.8,36.2,0.0197,block,left-foot,corner,sofascore
14061908,1156353,Kamory Doumbia,,26,9.4,58.9,0.0689,miss,head,assisted,sofascore
14061908,825681,Romain Del Castillo,,25,29.3,54.8,0.0081,miss,left-foot,set-piece,sofascore
14061908,1156353,Kamory Doumbia,,23,19.7,46.2,0.017,miss,right-foot,corner,sofascore
14061908,1135887,Daouda Guindo,,14,24.0,22.5,0.0177,miss,left-foot,regular,sofascore
14061908,328035,Brendan Chardonnet,,13,7.7,63.2,0.0156,miss,head,corner,sofascore
14061908,1156353,Kamory Doumbia,,12,18.5,48.5,0.0303,save,left-foot,set-piece,sofascore
14061908,1597197,Hamidou Makalou,,4,29.7,47.7,0.0194,save,right-foot,assisted,sofascore
14061909,982613,Boubacar Traoré,,90,19.9,65.2,0.0574,miss,right-foot,assisted,sofascore
14061909,962064,Isak Jansson,,90,25.1,36.8,0.0256,save,right-foot,corner,sofascore
14061909,158233,Bouna Sarr,,90,22.2,55.1,0.0516,miss,right-foot,assisted,sofascore
14061909,3577,Dante,,87,11.0,46.5,0.025,block,head,corner,sofascore
14061909,300412,Giorgi Kvilitaia,,85,18.7,49.6,0.0394,block,left-foot,assisted,sofascore
14061909,919027,Ali Abdi,,77,10.7,43.6,0.1575,miss,right-foot,assisted,sofascore
14061909,1063235,Mohamed Ali Cho,,72,6.5,60.5,0.1391,miss,left-foot,assisted,sofascore
14061909,300412,Giorgi Kvilitaia,,71,18.2,44.8,0.0972,block,right-foot,assisted,sofascore
14061909,985199,Giorgi Abuashvili,,71,12.8,32.3,0.0321,block,left-foot,regular,sofascore
14061909,985923,Hicham Boudaoui,,69,31.2,29.1,0.0154,miss,right-foot,assisted,sofascore
14061909,985199,Giorgi Abuashvili,,67,26.3,55.6,0.0339,save,right-foot,assisted,sofascore
14061909,919027,Ali Abdi,,66,15.6,35.7,0.0483,save,right-foot,assisted,sofascore
14061909,944164,Sofiane Diop,,62,11.7,58.7,0.1545,save,right-foot,assisted,sofascore
14061909,919027,Ali Abdi,,58,7.2,53.8,0.0808,miss,head,corner,sofascore
14061909,3577,Dante,,58,6.8,44.7,0.0912,block,head,corner,sofascore
14061909,944164,Sofiane Diop,,57,12.4,56.7,0.0774,block,right-foot,assisted,sofascore
