id_sofascore,canonical_name,country
1641,Olympique de Marseille,France
1643,Lille,France
1644,Paris Saint-Germain,France
1646,Auxerre,France
1647,Nantes,France
1648,RC Lens,France
1649,Olympique Lyonnais,France
1651,Metz,France
1653,AS Monaco,Monaco
1656,Lorient,France
1658,Stade Rennais,France
1659,RC Strasbourg,France
1661,Nice,France
1662,Le Havre,France
1678,Saint-Étienne,France
1681,Toulouse,France
1684,Angers,France
1715,Stade Brestois,France
6070,Paris FC,France
6925,Rodez AF,France
52874,Red Star FC,France
