season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
24/25,Problemas estomacales,2025-07-13,2025-07-14,2,1.0,79422,79422,Keylor Navas,,,,
23/24,Problemas de las vértebras lumbares,2023-10-24,2023-12-21,59,14.0,79422,79422,Keylor Navas,,,,
23/24,Lesión de espalda,2023-09-29,2023-10-04,6,1.0,79422,79422,Keylor Navas,,,,
22/23,Lesión inguinal,2023-05-20,2023-07-17,59,7.0,79422,79422,Keylor Navas,,,,
22/23,Descanso,2022-11-10,2022-11-14,5,2.0,79422,79422,Keylor Navas,,,,
22/23,Lesión de espalda,2022-10-31,2022-11-10,11,3.0,79422,79422,Keylor Navas,,,,
22/23,Herida menor,2022-09-12,2022-09-15,4,1.0,79422,79422,Keylor Navas,,,,
22/23,Problemas de las vértebras lumbares,2022-08-20,2022-08-22,3,1.0,79422,79422,Keylor Navas,,,,
21/22,Lesión de codo,2021-11-04,2021-11-15,12,1.0,79422,79422,Keylor Navas,,,,
21/22,Lesión del aductor,2021-10-14,2021-10-18,5,1.0,79422,79422,Keylor Navas,,,,
20/21,Lesión de hombro,2021-05-27,2021-06-28,33,3.0,79422,79422,Keylor Navas,,,,
20/21,Lesión de hombro,2021-04-15,2021-04-26,12,2.0,79422,79422,Keylor Navas,,,,
20/21,Molestias en el aductor,2021-02-01,2021-02-11,11,3.0,79422,79422,Keylor Navas,,,,
20/21,Magulladuras en las costillas,2021-01-21,2021-02-01,12,1.0,79422,79422,Keylor Navas,,,,
20/21,Lesión de espalda,2020-09-10,2020-09-17,8,2.0,79422,79422,Keylor Navas,,,,
23/24,Falta de condición física,2024-02-14,2024-06-30,138,22.0,207302,207302,Sergio Rico,,,,
22/23,Hemorragia cerebral,2023-05-28,2024-02-14,263,33.0,207302,207302,Sergio Rico,,,,
22/23,Descanso,2022-10-20,2022-10-22,3,1.0,207302,207302,Sergio Rico,,,,
21/22,Coronavirus,2022-01-02,2022-01-15,14,1.0,207302,207302,Sergio Rico,,,,
21/22,Lesión de pulgar,2021-10-23,2021-10-28,6,1.0,207302,207302,Sergio Rico,,,,
21/22,Lumbalgia,2021-08-19,2021-08-29,11,1.0,207302,207302,Sergio Rico,,,,
25/26,Rotura del ligamento cruzado,2025-09-09,2026-04-27,231,29.0,465955,465955,Marcin Bulka,,,,
22/23,Lesión de hombro,2022-10-28,2023-02-25,121,14.0,465955,465955,Marcin Bulka,,,,
20/21,Esguince de tobillo,2021-02-19,2021-04-11,52,7.0,465955,465955,Marcin Bulka,,,,
23/24,Molestias en el aductor,2023-11-29,2023-12-10,12,2.0,93730,93730,Alexandre Letellier,,,,
21/22,Coronavirus,2022-02-08,2022-02-14,7,1.0,93730,93730,Alexandre Letellier,,,,
21/22,Molestias en el aductor,2021-08-06,2021-08-29,24,3.0,93730,93730,Alexandre Letellier,,,,
20/21,Fractura de dedo,2021-04-30,2021-05-29,30,7.0,93730,93730,Alexandre Letellier,,,,
20/21,Lesión en el muslo,2021-04-12,2021-04-29,18,5.0,93730,93730,Alexandre Letellier,,,,
20/21,Problemas en el muslo,2021-03-20,2021-04-03,15,1.0,93730,93730,Alexandre Letellier,,,,
20/21,Lesión de codo,2021-01-12,2021-01-30,19,3.0,93730,93730,Alexandre Letellier,,,,
20/21,Coronavirus,2020-10-24,2020-11-02,10,3.0,93730,93730,Alexandre Letellier,,,,
16/17,Lesión del ligamento cruzado,2016-08-10,2017-02-17,192,28.0,93730,93730,Alexandre Letellier,,,,
20/21,Problemas circulatorios,2021-01-31,2021-03-01,30,6.0,460626,460626,Garissone Innocent,,,,
25/26,Lesión de hombro,2025-07-27,2025-08-07,12,,606576,606576,Denis Franchi,,,,
20/21,Coronavirus,2021-04-12,2021-04-22,11,3.0,827583,827583,Mathyas Randriamamy,,,,
25/26,Golpe de muslo,2025-09-26,2025-10-17,22,5.0,181767,181767,Marquinhos,,,,
24/25,Lesión del aductor,2025-01-05,2025-01-26,22,4.0,181767,181767,Marquinhos,,,,
23/24,Contusión del tendón de Aquiles,2024-02-18,2024-04-04,47,8.0,181767,181767,Marquinhos,,,,
23/24,Lesión en el muslo,2023-11-23,2023-12-03,11,2.0,181767,181767,Marquinhos,,,,
23/24,Molestias en el aductor,2023-10-28,2023-11-01,5,1.0,181767,181767,Marquinhos,,,,
22/23,Golpe de muslo,2023-02-15,2023-02-22,8,1.0,181767,181767,Marquinhos,,,,
22/23,Descanso,2022-11-12,2022-11-14,3,1.0,181767,181767,Marquinhos,,,,
21/22,Falta de condición física,2021-07-12,2021-08-16,36,3.0,181767,181767,Marquinhos,,,,
20/21,Molestias en el aductor,2021-04-08,2021-04-25,18,5.0,181767,181767,Marquinhos,,,,
20/21,Molestias en el aductor,2021-01-23,2021-02-05,14,2.0,181767,181767,Marquinhos,,,,
20/21,Problemas de cadera,2020-12-10,2020-12-17,8,2.0,181767,181767,Marquinhos,,,,
20/21,Molestias en el aductor,2020-11-25,2020-12-01,7,1.0,181767,181767,Marquinhos,,,,
20/21,Molestias en el aductor,2020-10-14,2020-10-18,5,1.0,181767,181767,Marquinhos,,,,
20/21,Coronavirus,2020-09-02,2020-09-16,15,2.0,181767,181767,Marquinhos,,,,
19/20,Distensión de muslo,2020-01-23,2020-02-13,22,6.0,181767,181767,Marquinhos,,,,
22/23,Rotura del tendón de Aquiles,2023-02-26,2024-11-25,639,83.0,282041,282041,Presnel Kimpembe,,,,
22/23,Problemas del tendón de Aquiles,2022-11-14,2023-02-09,88,10.0,282041,282041,Presnel Kimpembe,,,,
22/23,Problemas del tendón de Aquiles,2022-11-01,2022-11-07,7,2.0,282041,282041,Presnel Kimpembe,,,,
22/23,Lesión en el muslo,2022-09-12,2022-10-24,43,8.0,282041,282041,Presnel Kimpembe,,,,
22/23,Lesión en el gemelo,2022-08-30,2022-09-01,3,1.0,282041,282041,Presnel Kimpembe,,,,
21/22,Problemas en el muslo,2021-11-04,2021-11-15,12,2.0,282041,282041,Presnel Kimpembe,,,,
20/21,Descanso,2021-01-21,2021-01-25,5,1.0,282041,282041,Presnel Kimpembe,,,,
20/21,Lesión muscular,2020-12-21,2021-01-14,25,3.0,282041,282041,Presnel Kimpembe,,,,
20/21,Fisura fina en el pie,2020-11-05,2020-11-09,5,1.0,282041,282041,Presnel Kimpembe,,,,
19/20,Problemas en el muslo,2020-02-10,2020-02-17,8,2.0,282041,282041,Presnel Kimpembe,,,,
19/20,Lesión en el muslo,2019-12-05,2020-01-13,40,6.0,282041,282041,Presnel Kimpembe,,,,
19/20,Falta de condición física,2019-08-12,2019-08-22,11,1.0,282041,282041,Presnel Kimpembe,,,,
18/19,Pubalgia,2019-05-23,2019-08-12,82,6.0,282041,282041,Presnel Kimpembe,,,,
18/19,Lesión en el muslo,2019-05-20,2019-07-01,43,4.0,282041,282041,Presnel Kimpembe,,,,
15/16,Lesión de tobillo,2015-10-15,2015-11-02,19,4.0,282041,282041,Presnel Kimpembe,,,,
22/23,Enfermo,2023-03-03,2023-03-04,2,,228948,228948,Thilo Kehrer,,,,
20/21,Molestias en el aductor,2021-03-20,2021-03-30,11,3.0,228948,228948,Thilo Kehrer,,,,
20/21,Coronavirus,2021-01-08,2021-01-19,12,3.0,228948,228948,Thilo Kehrer,,,,
20/21,Cirugía,2020-11-09,2020-11-29,21,6.0,228948,228948,Thilo Kehrer,,,,
20/21,Molestias en el aductor,2020-09-14,2020-10-25,42,10.0,228948,228948,Thilo Kehrer,,,,
20/21,Golpe,2020-07-24,2020-07-30,7,,228948,228948,Thilo Kehrer,,,,
19/20,Lesión en el pie,2019-08-12,2019-12-08,119,26.0,228948,228948,Thilo Kehrer,,,,
18/19,Traumatismo,2019-04-22,2019-05-13,22,4.0,228948,228948,Thilo Kehrer,,,,
17/18,Lesión ocular,2018-03-12,2018-03-29,18,1.0,228948,228948,Thilo Kehrer,,,,
17/18,Infección gripal,2018-03-01,2018-03-05,5,1.0,228948,228948,Thilo Kehrer,,,,
17/18,Lesión de hombro,2017-11-27,2017-11-30,4,,228948,228948,Thilo Kehrer,,,,
14/15,Rotura del ligamento de la rodilla,2015-03-30,2015-05-07,39,12.0,228948,228948,Thilo Kehrer,,,,
12/13,Ligamento roto,2013-05-30,2013-06-27,29,3.0,228948,228948,Thilo Kehrer,,,,
25/26,Lesión desconocida,2025-09-10,2026-01-16,129,24.0,229005,229005,Abdou Diallo,,,,
24/25,Lesión desconocida,2025-04-11,2025-04-15,5,1.0,229005,229005,Abdou Diallo,,,,
22/23,Problemas de rodilla,2023-01-23,2023-03-29,66,17.0,229005,229005,Abdou Diallo,,,,
22/23,Problemas de rodilla,2022-11-11,2022-11-16,6,1.0,229005,229005,Abdou Diallo,,,,
20/21,Molestias en los gemelos,2021-04-15,2021-04-26,12,3.0,229005,229005,Abdou Diallo,,,,
20/21,Enfermo,2021-04-08,2021-04-12,5,1.0,229005,229005,Abdou Diallo,,,,
20/21,Coronavirus,2021-01-28,2021-02-11,15,3.0,229005,229005,Abdou Diallo,,,,
20/21,Lesión en el muslo,2020-12-14,2021-01-04,22,3.0,229005,229005,Abdou Diallo,,,,
19/20,Cirugía,2020-06-08,2020-07-27,50,1.0,229005,229005,Abdou Diallo,,,,
19/20,Lesión en el muslo,2020-02-03,2020-02-27,25,6.0,229005,229005,Abdou Diallo,,,,
19/20,Lesión ocular,2019-08-22,2019-09-02,12,1.0,229005,229005,Abdou Diallo,,,,
18/19,Problemas musculares,2019-05-06,2019-07-01,57,2.0,229005,229005,Abdou Diallo,,,,
18/19,Lesión muscular,2018-12-17,2019-01-10,25,1.0,229005,229005,Abdou Diallo,,,,
18/19,Lesión del aductor,2018-11-01,2018-11-22,22,6.0,229005,229005,Abdou Diallo,,,,
17/18,Fractura del tabique nasal,2018-03-26,2018-04-16,22,3.0,229005,229005,Abdou Diallo,,,,
24/25,Lesión muscular,2024-09-21,2024-11-21,62,7.0,141050,141050,Danilo Pereira,,,,
23/24,Lesión desconocida,2023-11-03,2023-11-20,18,5.0,141050,141050,Danilo Pereira,,,,
22/23,Costilla fracturada,2022-11-27,2023-01-05,40,4.0,141050,141050,Danilo Pereira,,,,
22/23,Lesión en el muslo,2022-10-16,2022-10-30,15,3.0,141050,141050,Danilo Pereira,,,,
21/22,Coronavirus,2022-01-03,2022-01-14,12,2.0,141050,141050,Danilo Pereira,,,,
20/21,Molestias en los gemelos,2021-03-29,2021-04-05,8,2.0,141050,141050,Danilo Pereira,,,,
20/21,Cuarentena,2020-10-15,2020-10-18,4,1.0,141050,141050,Danilo Pereira,,,,
19/20,Inflamación de rodilla,2020-01-26,2020-02-18,24,6.0,141050,141050,Danilo Pereira,,,,
19/20,Inflamación de rodilla,2020-01-20,2020-01-24,5,1.0,141050,141050,Danilo Pereira,,,,
19/20,Problemas musculares,2019-12-13,2019-12-17,5,1.0,141050,141050,Danilo Pereira,,,,
19/20,Lesión en el gemelo,2019-08-09,2019-08-12,4,1.0,141050,141050,Danilo Pereira,,,,
18/19,Lesión de tobillo,2019-02-17,2019-02-24,8,1.0,141050,141050,Danilo Pereira,,,,
18/19,Lesión de tobillo,2019-01-13,2019-01-25,13,3.0,141050,141050,Danilo Pereira,,,,
18/19,Descanso,2018-09-25,2018-09-30,6,1.0,141050,141050,Danilo Pereira,,,,
17/18,Rotura del tendón de Aquiles,2018-04-03,2018-08-23,143,17.0,141050,141050,Danilo Pereira,,,,
25/26,Esguince,2026-04-13,2026-04-27,15,3.0,126719,126719,Juan Bernat,,,,
25/26,Esguince,2026-03-04,2026-04-01,29,2.0,126719,126719,Juan Bernat,,,,
23/24,Pubis,2023-11-02,2024-03-25,145,30.0,126719,126719,Juan Bernat,,,,
21/22,Lesión en el gemelo,2023-03-10,2023-04-05,27,,126719,126719,Juan Bernat,,,,
22/23,Problemas musculares,2022-12-27,2022-12-29,3,1.0,126719,126719,Juan Bernat,,,,
21/22,Coronavirus,2022-01-02,2022-01-15,14,1.0,126719,126719,Juan Bernat,,,,
21/22,Molestias en el aductor,2021-09-02,2021-09-13,12,1.0,126719,126719,Juan Bernat,,,,
20/21,Rotura del ligamento cruzado,2020-09-16,2021-08-29,348,58.0,126719,126719,Juan Bernat,,,,
19/20,Molestias en los gemelos,2020-07-12,2020-07-26,15,1.0,126719,126719,Juan Bernat,,,,
19/20,Molestias en los gemelos,2020-01-13,2020-02-10,29,8.0,126719,126719,Juan Bernat,,,,
17/18,Problemas musculares,2018-05-01,2018-05-17,17,3.0,126719,126719,Juan Bernat,,,,
17/18,Problemas de tobillo,2018-03-29,2018-04-02,5,1.0,126719,126719,Juan Bernat,,,,
17/18,Problemas musculares,2017-11-27,2017-12-14,18,4.0,126719,126719,Juan Bernat,,,,
17/18,Falta de condición física,2017-10-19,2017-11-16,29,7.0,126719,126719,Juan Bernat,,,,
17/18,Rotura del ligamento de la sindesmosis,2017-07-24,2017-10-19,88,17.0,126719,126719,Juan Bernat,,,,
24/25,Lesión muscular,2025-04-10,2025-05-31,52,6.0,126710,126710,Layvin Kurzawa,,,,
24/25,Lesión muscular,2025-02-20,2025-03-12,21,3.0,126710,126710,Layvin Kurzawa,,,,
22/23,Rotura del ligamento colateral,2023-02-27,2023-06-30,124,15.0,126710,126710,Layvin Kurzawa,,,,
22/23,Traumatismo,2022-10-08,2022-11-02,26,5.0,126710,126710,Layvin Kurzawa,,,,
21/22,Enfermo,2021-10-02,2021-10-14,13,1.0,126710,126710,Layvin Kurzawa,,,,
21/22,Molestias en el aductor,2021-08-19,2021-09-16,29,4.0,126710,126710,Layvin Kurzawa,,,,
20/21,Esguince de tobillo,2021-05-11,2021-06-10,31,4.0,126710,126710,Layvin Kurzawa,,,,
20/21,Lesión en el gemelo,2021-03-29,2021-04-15,18,4.0,126710,126710,Layvin Kurzawa,,,,
20/21,Distensión inguinal,2020-12-21,2021-01-07,18,2.0,126710,126710,Layvin Kurzawa,,,,
20/21,Problemas en el muslo,2020-08-01,2020-08-21,21,1.0,126710,126710,Layvin Kurzawa,,,,
19/20,Descanso,2020-02-14,2020-02-16,3,1.0,126710,126710,Layvin Kurzawa,,,,
19/20,Lesión desconocida,2019-11-20,2019-12-01,12,2.0,126710,126710,Layvin Kurzawa,,,,
19/20,Enfermo,2019-08-16,2019-08-29,14,2.0,126710,126710,Layvin Kurzawa,,,,
18/19,Falta de condición física,2018-11-08,2018-11-23,16,3.0,126710,126710,Layvin Kurzawa,,,,
18/19,Disco herniado,2018-08-10,2018-11-07,90,20.0,126710,126710,Layvin Kurzawa,,,,
24/25,Rotura del ligamento cruzado,2024-07-28,2025-03-06,222,41.0,130365,130365,Alessandro Florenzi,,,,
23/24,Lesión del aductor,2024-01-07,2024-01-18,12,2.0,130365,130365,Alessandro Florenzi,,,,
22/23,Lesión desconocida,2023-05-18,2023-05-26,9,1.0,130365,130365,Alessandro Florenzi,,,,
22/23,Problemas musculares,2023-05-05,2023-05-16,12,3.0,130365,130365,Alessandro Florenzi,,,,
22/23,Fiebre,2023-04-29,2023-05-02,4,1.0,130365,130365,Alessandro Florenzi,,,,
22/23,Falta de condición física,2023-02-20,2023-02-27,8,1.0,130365,130365,Alessandro Florenzi,,,,
22/23,Lesión en el muslo,2022-08-29,2023-02-28,184,29.0,130365,130365,Alessandro Florenzi,,,,
21/22,Lesión meniscal,2022-04-04,2022-05-05,32,5.0,130365,130365,Alessandro Florenzi,,,,
21/22,Lesión meniscal,2021-09-30,2021-11-04,36,9.0,130365,130365,Alessandro Florenzi,,,,
