id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
79422,Keylor Navas,Costa Rica,1986-12-15,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
207302,Sergio Rico,España,1993-09-01,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
465955,Marcin Bulka,Polonia,1999-10-04,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
93730,Alexandre Letellier,Francia,1990-12-11,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
460626,Garissone Innocent,Haití,2000-04-16,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
606576,Denis Franchi,Italia,2002-10-22,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
827583,Mathyas Randriamamy,Madagascar,2003-04-23,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
618342,Yanis Saidani,Argelia,2001-08-20,Portero,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
181767,Marquinhos,Brasil,1994-05-14,Defensa central,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
282041,Presnel Kimpembe,Francia,1995-08-13,Defensa central,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
228948,Thilo Kehrer,Alemania,1996-09-21,Defensa central,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
229005,Abdou Diallo,Senegal,1996-05-04,Defensa central,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
141050,Danilo Pereira,Portugal,1991-09-09,Defensa central,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
126719,Juan Bernat,España,1993-03-01,Lateral izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
126710,Layvin Kurzawa,Francia,1992-09-04,Lateral izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
130365,Alessandro Florenzi,Italia,1991-03-11,Lateral derecho,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
460629,Colin Dagba,Francia,1998-09-09,Lateral derecho,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
538998,Timothée Pembélé,Francia,2002-09-09,Lateral derecho,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
166237,Leandro Paredes,Argentina,1994-06-29,Pivote,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
126665,Idrissa Gueye,Senegal,1989-09-26,Pivote,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
618408,Maxen Kapo,Francia,2001-01-19,Pivote,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
718232,Abdoulaye Kamara,Guinea,2004-11-06,Pivote,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
102558,Marco Verratti,Italia,1992-11-05,Mediocentro,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
99343,Ander Herrera,España,1989-08-14,Mediocentro,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
538045,Kays Ruiz-Atil,Marruecos,2002-08-26,Mediocentro,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
659521,Edouard Michut,Francia,2003-03-04,Mediocentro,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
361065,Mitchel Bakker,Países Bajos,2000-06-20,Interior izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
68290,Neymar,Brasil,1992-02-05,Mediocentro ofensivo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
74230,Pablo Sarabia,España,1992-05-11,Mediocentro ofensivo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
129473,Rafinha,Brasil,1993-02-12,Mediocentro ofensivo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
590914,Bandiougou Fadiga,Francia,2001-01-15,Mediocentro ofensivo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
566931,Xavi Simons,Países Bajos,2003-04-21,Mediocentro ofensivo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
85148,Julian Draxler,Alemania,1993-09-20,Extremo izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
134936,Jesé,España,1993-02-26,Extremo izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
810096,Ismaël Gharbi,Túnez,2004-04-10,Extremo izquierdo,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
45320,Ángel Di María,Argentina,1988-02-14,Extremo derecho,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
342229,Kylian Mbappé,Francia,1998-12-20,Delantero centro,Ligue 1,fc-paris-saint-germain,fc-paris-saint-germain,,2020,transfermarkt
