whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1911273,Roazhon Park,Habib Beye,Roberto De Zerbi,0 : 0,1 : 0,28360.0,2884,Jeremie Pignard,2025-08-15T20:45:00
1911274,Orange Vélodrome,Roberto De Zerbi,Stéphane Gilli,2 : 1,5 : 2,64074.0,4272,Marc Bollengier,2025-08-23T17:00:00
1911275,Stade Raymond Kopa,Alexandre Dujeux,Stéphane Gilli,1 : 0,1 : 0,12168.0,880,François Letexier,2025-08-17T17:15:00
1911276,Stade Océane,Didier Digard,Pierre Sage,1 : 2,1 : 2,19375.0,1998,Guillaume Paradis,2025-08-24T17:15:00
1911277,Allianz Riviera,Franck Haise,Christophe Pélissier,2 : 1,3 : 1,22175.0,969,Jeremy Stinat,2025-08-23T19:00:00
1911278,Stade de l'Abbé-Deschamps,Christophe Pélissier,Olivier Pantaloni,0 : 0,1 : 0,16090.0,860,Abdelatif Kherradji,2025-08-17T17:15:00
1911279,Decathlon Arena - Stade Pierre-Mauroy,Bruno Génésio,Adi Hütter,0 : 0,1 : 0,43549.0,960,Willy Delajod,2025-08-24T20:45:00
1911280,Parc des Princes,Luis Enrique Martínez García,Alexandre Dujeux,0 : 0,1 : 0,47401.0,862,Hakim Ben El Hadj,2025-08-22T20:45:00
1911281,Stade Francis-Le Blé,Éric Roy,Bruno Génésio,1 : 2,3 : 3,14840.0,961,Clément Turpin,2025-08-17T15:00:00
1911282,Stade du Moustoir - Yves Allainmat,Olivier Pantaloni,Habib Beye,1 : 0,4 : 0,12343.0,867,Jerome Brisard,2025-08-24T15:00:00
1911283,Stade de la Meinau,Liam Rosenior,Luís Manuel Ferreira de Castro,0 : 0,1 : 0,22468.0,1195,Bastien Dechepy,2025-08-24T17:15:00
1911284,Stade Félix Bollaert-Delélis,Pierre Sage,Paulo Alexandre Rodrigues Fonseca,0 : 1,0 : 1,38137.0,888,Romain Lissorgue,2025-08-16T17:00:00
