whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1911273,105198,313,Brice Samba,home,True,GK,30,32,187,90,False,,,6.93,34.0,21.0,,0.0,,,,,,,,,,,1.0,,,,,,42.0,,,,,,2.0,,,1.0,1.0,1.0,whoscored
1911273,339500,313,Przemyslaw Frankowski,home,True,DR,95,31,175,70,False,,91.0,6.67,30.0,16.0,1.0,50.0,,,,,1.0,,1.0,1.0,1.0,,5.0,2.0,1.0,,,,44.0,,,,2.0,2.0,,,,,,2.0,whoscored
1911273,468827,313,Jérémy Jacquet,home,True,DC,97,20,188,77,False,,,7.72,28.0,22.0,,100.0,,,,,1.0,1.0,,2.0,1.0,1.0,10.0,3.0,3.0,,1.0,,47.0,,,,,,,,,,,1.0,whoscored
1911273,416149,313,Anthony Rouault,home,True,DC,24,25,186,77,False,,,7.19,31.0,26.0,,100.0,,,,,,,,2.0,1.0,1.0,8.0,2.0,,1.0,1.0,,49.0,,,,,,,,,,,1.0,whoscored
1911273,539085,313,Abdelhamid Aït Boudlal,home,True,DC,48,20,190,78,False,,,5.45,12.0,11.0,,100.0,,,,,,,,,,1.0,,,,1.0,,,14.0,,,,,,,,,,,1.0,whoscored
1911273,411087,313,Quentin Merlin,home,True,DL,26,24,174,68,True,,,7.84,28.0,19.0,1.0,100.0,1.0,,,1.0,3.0,,3.0,5.0,3.0,,6.0,1.0,,,2.0,4.0,66.0,,,,7.0,6.0,,,,,,2.0,whoscored
1911273,231144,313,Valentin Rongier,home,True,MC,21,31,172,67,False,,,6.67,26.0,25.0,,100.0,1.0,1.0,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,34.0,,,,,,,,,,,1.0,whoscored
1911273,404193,313,Fabian Rieder,home,True,MC,32,24,179,74,False,,70.0,6.8,18.0,15.0,2.0,100.0,1.0,,1.0,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,31.0,,,,,,,,,,,1.0,whoscored
1911273,254562,313,Seko Fofana,home,True,MC,8,31,185,78,False,,92.0,6.92,33.0,30.0,2.0,75.0,,,,,3.0,2.0,1.0,1.0,1.0,,,1.0,1.0,,,,39.0,,,,,,,,,,,4.0,whoscored
1911273,545888,313,Mohamed Meïté,home,True,FW,39,18,191,76,False,,36.0,6.25,3.0,2.0,,0.0,,,,,,,,,,,2.0,2.0,2.0,1.0,,,6.0,3.0,,,,,,,,,,1.0,whoscored
1911273,383816,313,Mousa Al Tamari,home,True,FW,11,28,175,72,False,,90.0,6.36,10.0,5.0,,50.0,6.0,3.0,,3.0,3.0,1.0,2.0,,,,,,,2.0,,1.0,29.0,2.0,1.0,,,,,,,,,2.0,whoscored
1911273,422136,313,Christopher Wooh,home,False,Sub,4,24,191,92,False,36.0,,6.56,11.0,10.0,,100.0,,,,,1.0,1.0,,,,,5.0,,,,,,18.0,,,,,,,,,,,1.0,whoscored
1911273,502951,313,Aboubakar Nagida,home,False,Sub,18,20,176,74,False,91.0,,5.94,2.0,2.0,,100.0,1.0,,1.0,,,,,,,,,,,,,,6.0,,,,2.0,2.0,,,,,,1.0,whoscored
1911273,299562,313,Ludovic Blas,home,False,Sub,10,28,180,70,False,92.0,,7.17,7.0,7.0,1.0,100.0,1.0,1.0,,,,,,,,,,,,,,,9.0,,,,,,,,,,,2.0,whoscored
1911273,349960,313,Mahdi Camara,home,False,Sub,45,27,178,73,False,70.0,,6.32,8.0,6.0,1.0,100.0,,,,,,,,,,,2.0,1.0,1.0,1.0,,,12.0,,,,,,,,,,,1.0,whoscored
1911273,442915,313,Ibrahim Salah,home,False,Sub,34,24,185,72,False,90.0,,6.16,3.0,3.0,,100.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,2.0,6.0,,,,,,,,,,,2.0,whoscored
1911273,125375,249,Gerónimo Rulli,away,True,GK,1,34,189,80,False,,,6.91,27.0,24.0,,0.0,,,,,,,,,,,2.0,,,,,,34.0,,,,,,4.0,1.0,2.0,,1.0,1.0,whoscored
1911273,362788,249,Leonardo Balerdi,away,True,DC,5,27,187,85,False,,,6.95,94.0,92.0,1.0,100.0,3.0,1.0,1.0,1.0,,,,6.0,5.0,,2.0,3.0,1.0,1.0,1.0,,108.0,,,,,,,,,,,2.0,whoscored
1911273,91978,249,Geoffrey Kondogbia,away,True,DC,19,33,188,80,False,,52.0,6.61,40.0,37.0,,50.0,,,,,,,,,,,5.0,,,,,,45.0,,,,,,,,,,,2.0,whoscored
