id_whoscored,canonical_name,data_source
2884,Jeremie Pignard,whoscored
4272,Marc Bollengier,whoscored
880,François Letexier,whoscored
1998,Guillaume Paradis,whoscored
969,Jeremy Stinat,whoscored
860,Abdelatif Kherradji,whoscored
960,Willy Delajod,whoscored
862,Hakim Ben El Hadj,whoscored
961,Clément Turpin,whoscored
867,Jerome Brisard,whoscored
1195,Bastien Dechepy,whoscored
888,Romain Lissorgue,whoscored
909,Eric Wattellier,whoscored
899,Benoît Millot,whoscored
2853,Mathieu Vernice,whoscored
885,Ruddy Buquet,whoscored
4,Thomas Leonard,whoscored
861,Benoît Bastien,whoscored
3221,Gael Angoula,whoscored
1076,Stéphanie Frappart,whoscored
