whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1485184,Turf Moor,Sean Dyche,Ole Gunnar Solskjær,0 : 0,0 : 1,,120,Kevin Friend,2021-01-12T21:15:00
1485185,Etihad Stadium,Josep Guardiola,Dean Smith,0 : 0,2 : 0,,102,Jonathan Moss,2021-01-20T19:00:00
1485186,Selhurst Park,Roy Hodgson,Ralph Hasenhüttl,1 : 0,1 : 0,,102,Jonathan Moss,2020-09-12T16:00:00
1485187,Craven Cottage,Scott Parker,Mikel Arteta,0 : 1,0 : 3,,780,Chris Kavanagh,2020-09-12T13:30:00
1485188,Anfield,Jürgen Klopp,Marcelo Bielsa,3 : 2,4 : 3,,89,Michael Oliver,2020-09-12T18:30:00
1485189,Tottenham Hotspur Stadium,José Mourinho,Carlo Ancelotti,0 : 0,0 : 1,,86,Martin Atkinson,2020-09-13T17:30:00
1485190,The Hawthorns,Slaven Bilic,Brendan Rodgers,0 : 0,0 : 3,,99,Anthony Taylor,2020-09-13T15:00:00
1485191,London Stadium,David Moyes,Steve Bruce,0 : 0,0 : 2,,81,Stuart Attwell,2020-09-12T21:00:00
1485192,Amex Stadium,Graham Potter,Frank Lampard,0 : 1,1 : 3,,104,Craig Pawson,2020-09-14T21:15:00
1485193,Bramall Lane,Chris Wilder,Nuno Espírito Santo,0 : 2,0 : 2,,85,Mike Dean,2020-09-14T19:00:00
1485194,Emirates Stadium,Mikel Arteta,David Moyes,1 : 1,2 : 1,,89,Michael Oliver,2020-09-19T21:00:00
1485195,Villa Park,Dean Smith,Chris Wilder,0 : 0,1 : 0,,131,Graham Scott,2020-09-21T19:00:00
1485196,Stamford Bridge,Frank Lampard,Jürgen Klopp,0 : 0,0 : 2,,95,Paul Tierney,2020-09-20T17:30:00
1485197,Goodison Park,Carlo Ancelotti,Slaven Bilic,2 : 1,5 : 2,,85,Mike Dean,2020-09-19T13:30:00
1485198,Elland Road,Marcelo Bielsa,Scott Parker,2 : 1,4 : 3,,99,Anthony Taylor,2020-09-19T16:00:00
1485199,King Power Stadium,Brendan Rodgers,Sean Dyche,1 : 1,4 : 2,,83,Lee Mason,2020-09-20T20:00:00
