whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1485184,105720,184,Nick Pope,home,True,GK,1,34,191,76,False,,,6.84,25.0,11.0,,0.0,,,,,,,,,,,,,,,,,37.0,,,,,,6.0,3.0,1.0,,2.0,1.0,whoscored
1485184,80067,184,Matthew Lowton,home,True,DR,2,36,180,78,False,,,6.29,31.0,17.0,1.0,0.0,,,,,3.0,1.0,2.0,,,,2.0,2.0,2.0,,,,55.0,,,,8.0,8.0,,,,,,1.0,whoscored
1485184,94935,184,Ben Mee,home,True,DC,6,36,180,74,False,,,6.75,38.0,24.0,1.0,100.0,1.0,,1.0,,1.0,1.0,,,,1.0,3.0,6.0,2.0,,,,52.0,1.0,,,,,,,,,,2.0,whoscored
1485184,131464,184,James Tarkowski,home,True,DC,5,33,185,81,False,,,6.54,26.0,19.0,,66.67,1.0,,,1.0,,,,2.0,2.0,1.0,3.0,3.0,1.0,2.0,,,38.0,,,,,,,,,,,3.0,whoscored
1485184,24148,184,Erik Pieters,home,True,DL,23,37,183,84,False,,,5.89,27.0,20.0,,100.0,,,,,,,,5.0,1.0,1.0,3.0,,,2.0,4.0,3.0,57.0,,,,14.0,12.0,,,,,,1.0,whoscored
1485184,41868,184,Jóhann Gudmundsson,home,True,MR,7,35,186,78,False,,,6.17,21.0,16.0,,100.0,1.0,,,1.0,2.0,,2.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,34.0,,,,,,,,,,,1.0,whoscored
1485184,79050,184,Ashley Westwood,home,True,MC,18,36,175,80,False,,,5.88,43.0,33.0,,100.0,,,,,,,,,,1.0,1.0,2.0,,1.0,,,51.0,,1.0,,,,,,,,,1.0,whoscored
1485184,138929,184,Josh Brownhill,home,True,MC,8,30,180,69,False,,,6.24,40.0,27.0,,0.0,1.0,,1.0,,,,,1.0,,2.0,2.0,4.0,2.0,2.0,1.0,,49.0,,,,,,,,,,,1.0,whoscored
1485184,93473,184,Robert Brady,home,True,ML,12,34,176,71,False,,69.0,6.34,23.0,14.0,,100.0,2.0,,1.0,1.0,1.0,,1.0,,,2.0,3.0,1.0,,1.0,,,36.0,,,,,,,,,,,1.0,whoscored
1485184,73380,184,Chris Wood,home,True,FW,9,34,191,94,False,,84.0,6.22,20.0,11.0,1.0,100.0,1.0,,,1.0,,,,,,,,8.0,5.0,,,3.0,29.0,,1.0,,,,,,,,,1.0,whoscored
