id_whoscored,canonical_name,data_source
120,Kevin Friend,whoscored
102,Jonathan Moss,whoscored
780,Chris Kavanagh,whoscored
89,Michael Oliver,whoscored
86,Martin Atkinson,whoscored
99,Anthony Taylor,whoscored
81,Stuart Attwell,whoscored
104,Craig Pawson,whoscored
85,Mike Dean,whoscored
131,Graham Scott,whoscored
95,Paul Tierney,whoscored
83,Lee Mason,whoscored
150,David Coote,whoscored
107,Andre Marriner,whoscored
133,Peter Bankes,whoscored
113,Simon Hooper,whoscored
125,Andy Madley,whoscored
132,Darren England,whoscored
998,Robert Jones,whoscored
