whoscored_match_id,match_date,season,competition,attendance,data_source
1640674,2022-08-05,2022/23,Premier League,25286.0,whoscored
1640675,2022-08-06,2022/23,Premier League,25000.0,whoscored
1640676,2022-08-06,2022/23,Premier League,10000.0,whoscored
1640677,2022-08-06,2022/23,Premier League,36347.0,whoscored
1640678,2022-08-07,2022/23,Premier League,31794.0,whoscored
1640679,2022-08-06,2022/23,Premier League,52245.0,whoscored
1640680,2022-08-06,2022/23,Premier League,61732.0,whoscored
1640681,2022-08-06,2022/23,Premier League,39254.0,whoscored
1640682,2022-08-07,2022/23,Premier League,73711.0,whoscored
1640683,2022-08-07,2022/23,Premier League,62443.0,whoscored
1640684,2022-08-13,2022/23,Premier League,60033.0,whoscored
1640685,2022-08-13,2022/23,Premier League,41883.0,whoscored
1640686,2022-08-13,2022/23,Premier League,17051.0,whoscored
1640687,2022-08-13,2022/23,Premier League,31552.0,whoscored
1640688,2022-08-14,2022/23,Premier League,39946.0,whoscored
1640689,2022-08-15,2022/23,Premier League,52970.0,whoscored
1640690,2022-08-13,2022/23,Premier League,53453.0,whoscored
1640691,2022-08-14,2022/23,Premier League,29281.0,whoscored
1640692,2022-08-13,2022/23,Premier League,30815.0,whoscored
1640693,2022-08-13,2022/23,Premier League,31178.0,whoscored
1640694,2022-08-20,2022/23,Premier League,10423.0,whoscored
1640695,2022-08-20,2022/23,Premier League,22012.0,whoscored
1640696,2022-08-20,2022/23,Premier League,39271.0,whoscored
1640697,2022-08-20,2022/23,Premier League,21798.0,whoscored
1640698,2022-08-21,2022/23,Premier League,36372.0,whoscored
1640699,2022-08-20,2022/23,Premier League,30850.0,whoscored
1640700,2022-08-22,2022/23,Premier League,,whoscored
1640701,2022-08-21,2022/23,Premier League,52258.0,whoscored
1640702,2022-08-20,2022/23,Premier League,61298.0,whoscored
1640703,2022-08-21,2022/23,Premier League,62449.0,whoscored
1640704,2022-08-27,2022/23,Premier League,60164.0,whoscored
1640705,2022-08-28,2022/23,Premier League,41796.0,whoscored
1640706,2022-08-27,2022/23,Premier League,17009.0,whoscored
1640707,2022-08-27,2022/23,Premier League,30953.0,whoscored
1640708,2022-08-27,2022/23,Premier League,39953.0,whoscored
1640709,2022-08-27,2022/23,Premier League,53328.0,whoscored
1640710,2022-08-27,2022/23,Premier League,53112.0,whoscored
1640711,2022-08-28,2022/23,Premier League,29296.0,whoscored
1640712,2022-08-27,2022/23,Premier League,31196.0,whoscored
1640713,2022-08-28,2022/23,Premier League,31311.0,whoscored
1640714,2022-08-31,2022/23,Premier League,60012.0,whoscored
1640715,2022-08-31,2022/23,Premier League,10113.0,whoscored
1640716,2022-08-30,2022/23,Premier League,22224.0,whoscored
1640717,2022-08-30,2022/23,Premier League,36338.0,whoscored
1640718,2022-09-01,2022/23,Premier League,32226.0,whoscored
1640719,2022-08-31,2022/23,Premier League,62450.0,whoscored
1640720,2022-08-30,2022/23,Premier League,25043.0,whoscored
1640721,2022-08-30,2022/23,Premier League,,whoscored
1640722,2022-08-31,2022/23,Premier League,53316.0,whoscored
