whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
33866,Vicente Guaita,162,Crystal Palace,GK,13,2022/23,Premier League,whoscored
69375,Nathaniel Clyne,162,Crystal Palace,DR,17,2022/23,Premier League,whoscored
231135,Joachim Andersen,162,Crystal Palace,DC,16,2022/23,Premier League,whoscored
374631,Marc Guéhi,162,Crystal Palace,DC,6,2022/23,Premier League,whoscored
389579,Tyrick Mitchell,162,Crystal Palace,DL,3,2022/23,Premier League,whoscored
91822,Jeffrey Schlupp,162,Crystal Palace,DMC,15,2022/23,Premier League,whoscored
374993,Cheick Doucouré,162,Crystal Palace,DMC,28,2022/23,Premier League,whoscored
67491,Jordan Ayew,162,Crystal Palace,AMR,9,2022/23,Premier League,whoscored
332403,Eberechi Eze,162,Crystal Palace,AMC,10,2022/23,Premier League,whoscored
85059,Wilfried Zaha,162,Crystal Palace,AML,11,2022/23,Premier League,whoscored
317504,Odsonne Édouard,162,Crystal Palace,FW,22,2022/23,Premier League,whoscored
328096,Jean-Philippe Mateta,162,Crystal Palace,Sub,14,2022/23,Premier League,whoscored
70493,Luka Milivojevic,162,Crystal Palace,Sub,4,2022/23,Premier League,whoscored
108638,Will Hughes,162,Crystal Palace,Sub,19,2022/23,Premier League,whoscored
431867,Malcolm Ebiowei,162,Crystal Palace,Sub,23,2022/23,Premier League,whoscored
141246,Jairo Riedewald,162,Crystal Palace,Sub,44,2022/23,Premier League,whoscored
395401,Chris Richards,162,Crystal Palace,Sub,26,2022/23,Premier League,whoscored
429310,Luke Plange,162,Crystal Palace,Sub,48,2022/23,Premier League,whoscored
43105,Joel Ward,162,Crystal Palace,Sub,2,2022/23,Premier League,whoscored
105603,Sam Johnstone,162,Crystal Palace,Sub,21,2022/23,Premier League,whoscored
316858,Aaron Ramsdale,13,Arsenal,GK,1,2022/23,Premier League,whoscored
322036,Ben White,13,Arsenal,DR,4,2022/23,Premier League,whoscored
334087,Gabriel Magalhães,13,Arsenal,DC,6,2022/23,Premier League,whoscored
361822,William Saliba,13,Arsenal,DC,12,2022/23,Premier League,whoscored
273257,Oleksandr Zinchenko,13,Arsenal,DL,35,2022/23,Premier League,whoscored
238940,Thomas Partey,13,Arsenal,MC,5,2022/23,Premier League,whoscored
247454,Martin Ødegaard,13,Arsenal,MC,8,2022/23,Premier League,whoscored
89401,Granit Xhaka,13,Arsenal,MC,34,2022/23,Premier League,whoscored
367185,Bukayo Saka,13,Arsenal,FWR,7,2022/23,Premier League,whoscored
279379,Gabriel Jesus,13,Arsenal,FW,9,2022/23,Premier League,whoscored
380706,Gabriel Martinelli,13,Arsenal,FWL,11,2022/23,Premier League,whoscored
349102,Albert Sambi Lokonga,13,Arsenal,Sub,23,2022/23,Premier League,whoscored
345845,Eddie Nketiah,13,Arsenal,Sub,14,2022/23,Premier League,whoscored
297403,Kieran Tierney,13,Arsenal,Sub,3,2022/23,Premier League,whoscored
125209,Mohamed Elneny,13,Arsenal,Sub,25,2022/23,Premier League,whoscored
69945,Cédric Soares,13,Arsenal,Sub,17,2022/23,Premier League,whoscored
319712,Matt Turner,13,Arsenal,Sub,30,2022/23,Premier League,whoscored
342564,Reiss Nelson,13,Arsenal,Sub,24,2022/23,Premier League,whoscored
288795,Rob Holding,13,Arsenal,Sub,16,2022/23,Premier League,whoscored
239872,Nicolas Pépé,13,Arsenal,Sub,19,2022/23,Premier League,whoscored
256125,Marek Rodák,170,Fulham,GK,1,2022/23,Premier League,whoscored
145996,Kenny Tete,170,Fulham,DR,2,2022/23,Premier League,whoscored
85006,Tim Ream,170,Fulham,DC,13,2022/23,Premier League,whoscored
136464,Tosin Adarabioyo,170,Fulham,DC,4,2022/23,Premier League,whoscored
306581,Antonee Robinson,170,Fulham,DL,33,2022/23,Premier League,whoscored
322774,João Palhinha,170,Fulham,DMC,26,2022/23,Premier League,whoscored
135724,Harrison Reed,170,Fulham,DMC,6,2022/23,Premier League,whoscored
94933,Neeskens Kebano,170,Fulham,AMR,7,2022/23,Premier League,whoscored
243254,Andreas Pereira,170,Fulham,AMC,18,2022/23,Premier League,whoscored
134332,Bobby De Cordova-Reid,170,Fulham,AML,14,2022/23,Premier League,whoscored
115279,Aleksandar Mitrovic,170,Fulham,FW,9,2022/23,Premier League,whoscored
75692,Shane Duffy,170,Fulham,Sub,5,2022/23,Premier League,whoscored
345022,Manor Solomon,170,Fulham,Sub,11,2022/23,Premier League,whoscored
79583,Tom Cairney,170,Fulham,Sub,10,2022/23,Premier League,whoscored
382367,Tyrese Francois,170,Fulham,Sub,35,2022/23,Premier League,whoscored
403649,Rodrigo Muniz,170,Fulham,Sub,19,2022/23,Premier League,whoscored
92173,Bernd Leno,170,Fulham,Sub,17,2022/23,Premier League,whoscored
115230,Kevin Mbabu,170,Fulham,Sub,27,2022/23,Premier League,whoscored
390214,Jay Stansfield,170,Fulham,Sub,65,2022/23,Premier League,whoscored
444538,Luke Harris,170,Fulham,Sub,38,2022/23,Premier League,whoscored
114147,Alisson Becker,26,Liverpool,GK,1,2022/23,Premier League,whoscored
318871,Trent Alexander-Arnold,26,Liverpool,DR,66,2022/23,Premier League,whoscored
