whoscored_team_id,team_name,season,competition,data_source
162,Crystal Palace,2022/23,Premier League,whoscored
13,Arsenal,2022/23,Premier League,whoscored
170,Fulham,2022/23,Premier League,whoscored
26,Liverpool,2022/23,Premier League,whoscored
183,Bournemouth,2022/23,Premier League,whoscored
24,Aston Villa,2022/23,Premier League,whoscored
19,Leeds,2022/23,Premier League,whoscored
161,Wolves,2022/23,Premier League,whoscored
14,Leicester,2022/23,Premier League,whoscored
189,Brentford,2022/23,Premier League,whoscored
23,Newcastle,2022/23,Premier League,whoscored
174,Nottingham Forest,2022/23,Premier League,whoscored
30,Tottenham,2022/23,Premier League,whoscored
18,Southampton,2022/23,Premier League,whoscored
31,Everton,2022/23,Premier League,whoscored
15,Chelsea,2022/23,Premier League,whoscored
32,Man Utd,2022/23,Premier League,whoscored
211,Brighton,2022/23,Premier League,whoscored
29,West Ham,2022/23,Premier League,whoscored
167,Man City,2022/23,Premier League,whoscored
