match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
14023948,,,,period,90,,,,,,,sofascore
14023948,,,,substitution,90,,,,,,regular,sofascore
14023948,,,,injuryTime,90,,,,,,,sofascore
14023948,,,,substitution,83,,,,,,regular,sofascore
14023948,1546231.0,Joshua King,,card,82,,,,,,yellow,sofascore
14023948,,,,substitution,79,,,,,,regular,sofascore
14023948,,,,substitution,79,,,,,,regular,sofascore
14023948,,,,substitution,78,,,,,,regular,sofascore
14023948,803174.0,Antonee Robinson,,card,77,,,,,,yellow,sofascore
14023948,,,,substitution,76,,,,,,regular,sofascore
14023948,1104986.0,Alex Scott,,card,65,,,,,,yellow,sofascore
14023948,,,,substitution,62,,,,,,regular,sofascore
14023948,,,,substitution,62,,,,,,regular,sofascore
14023948,371222.0,Saša Lukić,,card,59,,,,,,yellow,sofascore
14023948,1464966.0,Rayan,,goal,53,,,,,,regular,sofascore
14023948,1015256.0,Rodrigo Muniz,,card,50,,,,,,yellow,sofascore
14023948,,,,substitution,46,,,,,,regular,sofascore
14023948,,,,period,45,,,,,,,sofascore
14023948,362682.0,Joachim Andersen,,card,45,,,,,,red,sofascore
14023948,362682.0,Joachim Andersen,,varDecision,45,,,,,,cardUpgrade,sofascore
14023948,,,,injuryTime,45,,,,,,,sofascore
14023948,,,,substitution,43,,,,,,regular,sofascore
14023948,322391.0,Ryan Christie,,card,41,,,,,,red,sofascore
14023948,322391.0,Ryan Christie,,varDecision,40,,,,,,cardUpgrade,sofascore
14023948,895576.0,Marcus Tavernier,,card,-5,,,,,,yellow,sofascore
14023935,,,,period,90,,,,,,,sofascore
14023935,,,,injuryTime,90,,,,,,,sofascore
14023935,,,,substitution,89,,,,,,regular,sofascore
14023935,,,,substitution,89,,,,,,regular,sofascore
14023935,,,,substitution,88,,,,,,regular,sofascore
14023935,,,,substitution,88,,,,,,regular,sofascore
14023935,1400106.0,Yankuba Minteh,,goal,86,,,,,,regular,sofascore
14023935,,,,substitution,76,,,,,,regular,sofascore
14023935,,,,substitution,76,,,,,,regular,sofascore
14023935,1035996.0,André,,card,68,,,,,,yellow,sofascore
14023935,,,,substitution,67,,,,,,regular,sofascore
14023935,,,,substitution,67,,,,,,regular,sofascore
14023935,,,,substitution,58,,,,,,injury,sofascore
14023935,786186.0,Hwang Hee-chan,,card,49,,,,,,yellow,sofascore
14023935,,,,substitution,46,,,,,,regular,sofascore
14023935,,,,period,45,,,,,,,sofascore
14023935,,,,injuryTime,45,,,,,,,sofascore
14023935,936849.0,Kaoru Mitoma,,card,24,,,,,,yellow,sofascore
14023935,115365.0,Lewis Dunk,,goal,5,,,,,,regular,sofascore
14023935,1142315.0,Jack Hinshelwood,,goal,1,,,,,,regular,sofascore
14023938,,,,period,90,,,,,,,sofascore
14023938,886363.0,Matheus Cunha,,card,90,,,,,,yellow,sofascore
14023938,,,,substitution,90,,,,,,regular,sofascore
14023938,,,,injuryTime,90,,,,,,,sofascore
14023938,,,,substitution,79,,,,,,regular,sofascore
14023938,,,,substitution,75,,,,,,regular,sofascore
14023938,,,,substitution,65,,,,,,regular,sofascore
14023938,917007.0,Joshua Zirkzee,,card,58,,,,,,yellow,sofascore
14023938,836694.0,Mason Mount,,card,54,,,,,,yellow,sofascore
14023938,,,,period,45,,,,,,,sofascore
14023938,,,,injuryTime,45,,,,,,,sofascore
14023946,,,,period,90,,,,,,,sofascore
14023946,873554.0,Omar Marmoush,,card,90,,,,,,yellow,sofascore
14023946,873554.0,Omar Marmoush,,goal,90,,,,,,regular,sofascore
14023946,,,,substitution,90,,,,,,regular,sofascore
14023946,,,,injuryTime,90,,,,,,,sofascore
14023946,945122.0,Matheus Nunes,,card,88,,,,,,yellow,sofascore
14023946,42694.0,Jordan Henderson,,card,88,,,,,,yellow,sofascore
14023946,576384.0,Kristoffer Ajer,,card,80,,,,,,yellow,sofascore
14023946,,,,substitution,79,,,,,,regular,sofascore
14023946,839956.0,Erling Haaland,,goal,75,,,,,,regular,sofascore
14023946,1142703.0,Nico O'Reilly,,card,74,,,,,,yellow,sofascore
14023946,,,,substitution,68,,,,,,regular,sofascore
14023946,,,,substitution,61,,,,,,regular,sofascore
14023946,934386.0,Jérémy Doku,,goal,60,,,,,,regular,sofascore
14023946,,,,substitution,60,,,,,,regular,sofascore
14023946,,,,substitution,60,,,,,,regular,sofascore
14023946,,,,period,45,,,,,,,sofascore
14023946,,,,injuryTime,45,,,,,,,sofascore
14023946,331209.0,Bernardo Silva,,card,36,,,,,,yellow,sofascore
14023937,,,,period,90,,,,,,,sofascore
14023937,,,,substitution,90,,,,,,regular,sofascore
14023937,,,,injuryTime,90,,,,,,,sofascore
14023937,,,,substitution,80,,,,,,regular,sofascore
14023937,,,,substitution,80,,,,,,regular,sofascore
14023937,848276.0,Jean Philippe Mateta,,goal,77,,,,,,regular,sofascore
14023937,,,,substitution,70,,,,,,regular,sofascore
14023937,,,,substitution,65,,,,,,regular,sofascore
14023937,987489.0,Beto,,goal,47,,,,,,regular,sofascore
14023937,,,,period,45,,,,,,,sofascore
14023937,876643.0,Vitaliy Mykolenko,,card,45,,,,,,yellow,sofascore
14023937,,,,injuryTime,45,,,,,,,sofascore
14023937,845286.0,Ismaïla Sarr,,goal,34,,,,,,regular,sofascore
14023937,927361.0,James Garner,,card,30,,,,,,yellow,sofascore
14023937,145188.0,James Tarkowski,,goal,6,,,,,,regular,sofascore
14023929,,,,period,90,,,,,,,sofascore
14023929,,,,injuryTime,90,,,,,,,sofascore
14023929,,,,substitution,87,,,,,,regular,sofascore
14023929,,,,substitution,87,,,,,,regular,sofascore
14023929,,,,substitution,85,,,,,,regular,sofascore
14023929,,,,substitution,80,,,,,,regular,sofascore
14023929,,,,substitution,80,,,,,,regular,sofascore
14023929,,,,substitution,79,,,,,,regular,sofascore
14023929,,,,substitution,79,,,,,,regular,sofascore
14023929,,,,substitution,74,,,,,,regular,sofascore
14023929,,,,substitution,74,,,,,,regular,sofascore
14023929,,,,substitution,69,,,,,,injury,sofascore
14023929,875137.0,Zian Flemming,,card,60,,,,,,yellow,sofascore
14023929,875137.0,Zian Flemming,,goal,58,,,,,,regular,sofascore
14023929,555386.0,Ollie Watkins,,goal,56,,,,,,regular,sofascore
14023929,303638.0,Tyrone Mings,,card,49,,,,,,yellow,sofascore
14023929,,,,period,45,,,,,,,sofascore
