id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
791.0,James Milner,,,Premier League,2025_2026,sofascore
27028.0,Ashley Barnes,,,Premier League,2025_2026,sofascore
33902.0,Danny Welbeck,,,Premier League,2025_2026,sofascore
42209.0,Martin Dúbravka,,,Premier League,2025_2026,sofascore
42694.0,Jordan Henderson,,,Premier League,2025_2026,sofascore
43215.0,Nathaniel Clyne,,,Premier League,2025_2026,sofascore
44566.0,Adam Smith,,,Premier League,2025_2026,sofascore
44614.0,Kyle Walker,,,Premier League,2025_2026,sofascore
48480.0,Pascal Groß,,,Premier League,2025_2026,sofascore
50480.0,Chris Wood,,,Premier League,2025_2026,sofascore
69256.0,Kieran Trippier,,,Premier League,2025_2026,sofascore
78152.0,Matz Sels,,,Premier League,2025_2026,sofascore
82566.0,Tom Cairney,,,Premier League,2025_2026,sofascore
94758.0,Ben Davies,,,Premier League,2025_2026,sofascore
96538.0,Lucas Digne,,,Premier League,2025_2026,sofascore
98427.0,Sam Johnstone,,,Premier League,2025_2026,sofascore
98435.0,Ross Barkley,,,Premier League,2025_2026,sofascore
99090.0,Dan Burn,,,Premier League,2025_2026,sofascore
100390.0,Marco Bizot,,,Premier League,2025_2026,sofascore
101882.0,Fabian Schär,,,Premier League,2025_2026,sofascore
103335.0,Bernd Leno,,,Premier League,2025_2026,sofascore
106337.0,Idrissa Gana Gueye,,,Premier League,2025_2026,sofascore
110846.0,Michael Keane,,,Premier League,2025_2026,sofascore
113956.0,Callum Wilson,,,Premier League,2025_2026,sofascore
115365.0,Lewis Dunk,,,Premier League,2025_2026,sofascore
117777.0,Granit Xhaka,,,Premier League,2025_2026,sofascore
122951.0,Casemiro,,,Premier League,2025_2026,sofascore
123689.0,Karl Darlow,,,Premier League,2025_2026,sofascore
132645.0,Niclas Füllkrug,,,Premier League,2025_2026,sofascore
135256.0,Christian Nørgaard,,,Premier League,2025_2026,sofascore
135666.0,Leandro Trossard,,,Premier League,2025_2026,sofascore
136710.0,Mateo Kovačić,,,Premier League,2025_2026,sofascore
138530.0,Jordan Pickford,,,Premier League,2025_2026,sofascore
143040.0,Wataru Endo,,,Premier League,2025_2026,sofascore
143047.0,Matt Doherty,,,Premier League,2025_2026,sofascore
145188.0,James Tarkowski,,,Premier League,2025_2026,sofascore
149380.0,Harry Maguire,,,Premier League,2025_2026,sofascore
149663.0,Nathan Aké,,,Premier League,2025_2026,sofascore
151545.0,Virgil van Dijk,,,Premier League,2025_2026,sofascore
158263.0,Emiliano Martínez,,,Premier League,2025_2026,sofascore
159665.0,Mohamed Salah,,,Premier League,2025_2026,sofascore
161717.0,James Ward-Prowse,,,Premier League,2025_2026,sofascore
162653.0,Nick Pope,,,Premier League,2025_2026,sofascore
174975.0,Arthur Masuaku,,,Premier League,2025_2026,sofascore
189061.0,Jack Grealish,,,Premier League,2025_2026,sofascore
190839.0,Luke Shaw,,,Premier League,2025_2026,sofascore
190877.0,Kenny Tete,,,Premier League,2025_2026,sofascore
192442.0,Raúl Jiménez,,,Premier League,2025_2026,sofascore
193554.0,Will Hughes,,,Premier League,2025_2026,sofascore
218160.0,Bertrand Traoré,,,Premier League,2025_2026,sofascore
219572.0,Joël Veltman,,,Premier League,2025_2026,sofascore
243609.0,Alisson,,,Premier League,2025_2026,sofascore
250223.0,John McGinn,,,Premier League,2025_2026,sofascore
252669.0,José Sá,,,Premier League,2025_2026,sofascore
262911.0,Andy Robertson,,,Premier League,2025_2026,sofascore
286165.0,Adama Traoré,,,Premier League,2025_2026,sofascore
288205.0,Bruno Fernandes,,,Premier League,2025_2026,sofascore
301288.0,Solly March,,,Premier League,2025_2026,sofascore
303638.0,Tyrone Mings,,,Premier League,2025_2026,sofascore
318927.0,Joe Gomez,,,Premier League,2025_2026,sofascore
318941.0,Rúben Dias,,,Premier League,2025_2026,sofascore
322391.0,Ryan Christie,,,Premier League,2025_2026,sofascore
329417.0,Timothy Castagne,,,Premier League,2025_2026,sofascore
331209.0,Bernardo Silva,,,Premier League,2025_2026,sofascore
331737.0,Youri Tielemans,,,Premier League,2025_2026,sofascore
336655.0,Enes Ünal,,,Premier League,2025_2026,sofascore
352668.0,Tosin Adarabioyo,,,Premier League,2025_2026,sofascore
352770.0,Alex Iwobi,,,Premier League,2025_2026,sofascore
355528.0,Harry Wilson,,,Premier League,2025_2026,sofascore
355796.0,Jefferson Lerma,,,Premier League,2025_2026,sofascore
356398.0,James Maddison,,,Premier League,2025_2026,sofascore
357584.0,Borna Sosa,,,Premier League,2025_2026,sofascore
359664.0,Taiwo Awoniyi,,,Premier League,2025_2026,sofascore
361352.0,Adam Armstrong,,,Premier League,2025_2026,sofascore
361420.0,Dominic Solanke,,,Premier League,2025_2026,sofascore
362682.0,Joachim Andersen,,,Premier League,2025_2026,sofascore
364612.0,João Palhinha,,,Premier League,2025_2026,sofascore
365802.0,Harrison Reed,,,Premier League,2025_2026,sofascore
365812.0,Luke O'Nien,,,Premier League,2025_2026,sofascore
371222.0,Saša Lukić,,,Premier League,2025_2026,sofascore
372336.0,Jacob Murphy,,,Premier League,2025_2026,sofascore
372344.0,Dominic Calvert-Lewin,,,Premier League,2025_2026,sofascore
547410.0,Martin Ødegaard,,,Premier League,2025_2026,sofascore
548188.0,Lewis Cook,,,Premier League,2025_2026,sofascore
552036.0,Josh Laurent,,,Premier League,2025_2026,sofascore
552884.0,Jarrod Bowen,,,Premier League,2025_2026,sofascore
553606.0,Guglielmo Vicario,,,Premier League,2025_2026,sofascore
555386.0,Ollie Watkins,,,Premier League,2025_2026,sofascore
560128.0,Joelinton,,,Premier League,2025_2026,sofascore
576384.0,Kristoffer Ajer,,,Premier League,2025_2026,sofascore
581310.0,David Raya,,,Premier League,2025_2026,sofascore
592010.0,Mikel Merino,,,Premier League,2025_2026,sofascore
599128.0,Rico Henry,,,Premier League,2025_2026,sofascore
609752.0,Guido Rodríguez,,,Premier League,2025_2026,sofascore
610766.0,Tammy Abraham,,,Premier League,2025_2026,sofascore
780014.0,Nordi Mukiele,,,Premier League,2025_2026,sofascore
783126.0,Emiliano Buendía,,,Premier League,2025_2026,sofascore
786186.0,Hwang Hee-chan,,,Premier League,2025_2026,sofascore
788134.0,Dean Henderson,,,Premier League,2025_2026,sofascore
788784.0,Olivier Boscagli,,,Premier League,2025_2026,sofascore
791190.0,Rodrigo Bentancur,,,Premier League,2025_2026,sofascore
792122.0,Josh Cullen,,,Premier League,2025_2026,sofascore
793167.0,Sander Berge,,,Premier League,2025_2026,sofascore
794338.0,Daichi Kamada,,,Premier League,2025_2026,sofascore
794839.0,Gabriel Jesus,,,Premier League,2025_2026,sofascore
794939.0,Marc Cucurella,,,Premier League,2025_2026,sofascore
794953.0,Kevin Danso,,,Premier League,2025_2026,sofascore
795066.0,Marcus Edwards,,,Premier League,2025_2026,sofascore
799041.0,Tomáš Souček,,,Premier League,2025_2026,sofascore
799251.0,Mathias Jensen,,,Premier League,2025_2026,sofascore
800417.0,Ola Aina,,,Premier League,2025_2026,sofascore
800419.0,Tyler Adams,,,Premier League,2025_2026,sofascore
803031.0,Matthijs de Ligt,,,Premier League,2025_2026,sofascore
803039.0,Donyell Malen,,,Premier League,2025_2026,sofascore
803174.0,Antonee Robinson,,,Premier League,2025_2026,sofascore
803185.0,Lukas Nmecha,,,Premier League,2025_2026,sofascore
804508.0,Viktor Gyökeres,,,Premier League,2025_2026,sofascore
805123.0,Yoane Wissa,,,Premier League,2025_2026,sofascore
805137.0,Omar Alderete,,,Premier League,2025_2026,sofascore
808590.0,Leon Bailey,,,Premier League,2025_2026,sofascore
814873.0,Vitaly Janelt,,,Premier League,2025_2026,sofascore
817979.0,Axel Tuanzebe,,,Premier League,2025_2026,sofascore
822470.0,Samuel Chukwueze,,,Premier League,2025_2026,sofascore
823085.0,Kyle Walker-Peters,,,Premier League,2025_2026,sofascore
