match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14023948,1015256,Rodrigo Muniz,,90,4.6,46.6,0.2793,block,right-foot,throw-in-set-piece,sofascore
14023948,1546231,Joshua King,,90,8.3,68.2,0.0643,post,right-foot,throw-in-set-piece,sofascore
14023948,336655,Enes Ünal,,90,11.2,66.9,0.037,block,right-foot,assisted,sofascore
14023948,999028,Adrien Truffert,,77,12.3,50.5,0.3382,save,left-foot,fast-break,sofascore
14023948,1112879,Kevin,,74,11.3,26.0,0.0253,save,right-foot,assisted,sofascore
14023948,1065216,Oscar Bobb,,70,12.9,49.5,0.0793,block,left-foot,corner,sofascore
14023948,82566,Tom Cairney,,69,19.1,28.2,0.0324,block,left-foot,assisted,sofascore
14023948,1065216,Oscar Bobb,,64,12.4,46.5,0.1847,miss,left-foot,assisted,sofascore
14023948,895576,Marcus Tavernier,,58,8.7,36.6,0.1293,save,left-foot,assisted,sofascore
14023948,895576,Marcus Tavernier,,57,22.8,58.9,0.0562,save,left-foot,assisted,sofascore
14023948,1464966,Rayan,,53,23.1,63.6,0.0242,goal,left-foot,assisted,sofascore
14023948,1426228,Eli Junior Kroupi,,51,19.2,39.1,0.0541,post,right-foot,assisted,sofascore
14023948,803174,Antonee Robinson,,49,12.8,32.8,0.0246,block,right-foot,assisted,sofascore
14023948,999028,Adrien Truffert,,48,23.8,63.6,0.0356,save,left-foot,fast-break,sofascore
14023948,1464966,Rayan,,45,4.8,62.0,0.0363,miss,head,set-piece,sofascore
14023948,371222,Saša Lukić,,45,26.2,32.7,0.0204,save,right-foot,assisted,sofascore
14023948,362682,Joachim Andersen,,43,9.6,45.9,0.0514,post,head,set-piece,sofascore
14023948,1015256,Rodrigo Muniz,,39,10.6,51.9,0.1138,miss,right-foot,corner,sofascore
14023948,1015256,Rodrigo Muniz,,29,6.1,53.1,0.3163,miss,head,assisted,sofascore
14023948,371222,Saša Lukić,,12,9.7,68.9,0.024,block,right-foot,assisted,sofascore
14023948,895576,Marcus Tavernier,,11,22.8,31.3,0.0308,miss,left-foot,assisted,sofascore
14023948,998490,Evanilson,,9,8.7,38.8,0.0743,block,left-foot,assisted,sofascore
14023948,355528,Harry Wilson,,8,21.5,40.8,0.0252,miss,left-foot,corner,sofascore
