understat_player_id,player_name,team_name,competition,season,source
10004,Romeo Lavia,Chelsea,Premier League,2025_2026,understat
10024,Cristhian Mosquera,Arsenal,Premier League,2025_2026,understat
10050,Micky van de Ven,Tottenham,Premier League,2025_2026,understat
1006,Luke Shaw,Manchester United,Premier League,2025_2026,understat
10120,Conor Bradley,Liverpool,Premier League,2025_2026,understat
10126,James McAtee,Nottingham Forest,Premier League,2025_2026,understat
10140,Hugo Bueno,Wolverhampton Wanderers,Premier League,2025_2026,understat
1018,Josh Cullen,Burnley,Premier League,2025_2026,understat
10184,Archie Gray,Tottenham,Premier League,2025_2026,understat
10216,Lewis Hall,Newcastle United,Premier League,2025_2026,understat
1024,Tyrone Mings,Aston Villa,Premier League,2025_2026,understat
10291,Vitalii Mykolenko,Everton,Premier League,2025_2026,understat
10292,Nathan Patterson,Everton,Premier League,2025_2026,understat
10293,Toti,Wolverhampton Wanderers,Premier League,2025_2026,understat
10348,Omari Hutchinson,Nottingham Forest,Premier League,2025_2026,understat
10405,Josh Dasilva,Brentford,Premier League,2025_2026,understat
10527,Carlos Baleba,Brighton,Premier League,2025_2026,understat
10542,Jamie Bynoe-Gittens,Chelsea,Premier League,2025_2026,understat
10552,Alejandro Garnacho,Chelsea,Premier League,2025_2026,understat
10564,Leny Yoro,Manchester United,Premier League,2025_2026,understat
10586,Tyler Dibling,Everton,Premier League,2025_2026,understat
10696,Noussair Mazraoui,Manchester United,Premier League,2025_2026,understat
10697,Ryan Gravenberch,Liverpool,Premier League,2025_2026,understat
10715,João Palhinha,Tottenham,Premier League,2025_2026,understat
10717,Rodrigo Muniz,Fulham,Premier League,2025_2026,understat
10721,Sepp van den Berg,Brentford,Premier League,2025_2026,understat
10741,Marcus Tavernier,Bournemouth,Premier League,2025_2026,understat
10744,Ryan Christie,Bournemouth,Premier League,2025_2026,understat
10746,Jaidon Anthony,Burnley,Premier League,2025_2026,understat
10747,James Hill,Bournemouth,Premier League,2025_2026,understat
10751,Brenden Aaronson,Leeds,Premier League,2025_2026,understat
10756,Joe Worrall,Burnley,Premier League,2025_2026,understat
10760,Brennan Johnson,Tottenham,Premier League,2025_2026,understat
10764,Djed Spence,Tottenham,Premier League,2025_2026,understat
10770,Soungoutou Magassa,West Ham,Premier League,2025_2026,understat
10802,Lisandro Martínez,Manchester United,Premier League,2025_2026,understat
10806,Kaoru Mitoma,Brighton,Premier League,2025_2026,understat
10807,Jan Paul van Hecke,Brighton,Premier League,2025_2026,understat
10809,Keane Lewis-Potter,Brentford,Premier League,2025_2026,understat
10822,Wilson Odobert,Tottenham,Premier League,2025_2026,understat
10847,Rico Lewis,Manchester City,Premier League,2025_2026,understat
10856,Emmanuel Agbadou,Wolverhampton Wanderers,Premier League,2025_2026,understat
10864,Marcos Senesi,Bournemouth,Premier League,2025_2026,understat
10945,Santiago Bueno,Wolverhampton Wanderers,Premier League,2025_2026,understat
10948,Valentín Castellanos,West Ham,Premier League,2025_2026,understat
11000,Matheus Nunes,Manchester City,Premier League,2025_2026,understat
11003,Ryan Yates,Nottingham Forest,Premier League,2025_2026,understat
11070,Jørgen Strand Larsen,Wolverhampton Wanderers,Premier League,2025_2026,understat
11132,Ethan Nwaneri,Arsenal,Premier League,2025_2026,understat
11155,Wilfried Gnonto,Leeds,Premier League,2025_2026,understat
11167,Chadi Riad,Crystal Palace,Premier League,2025_2026,understat
11174,Kobbie Mainoo,Manchester United,Premier League,2025_2026,understat
11231,Ben Doak,Bournemouth,Premier League,2025_2026,understat
11243,Bashir Humphreys,Burnley,Premier League,2025_2026,understat
11253,Mamadou Sarr,Chelsea,Premier League,2025_2026,understat
11269,Jack Hinshelwood,Brighton,Premier League,2025_2026,understat
11281,Michael Kayode,Brentford,Premier League,2025_2026,understat
11296,Cody Gakpo,Liverpool,Premier League,2025_2026,understat
11297,Carlos Alcaraz,Everton,Premier League,2025_2026,understat
11310,Brajan Gruda,Brighton,Premier League,2025_2026,understat
11331,Merlin Röhl,Everton,Premier League,2025_2026,understat
11356,Enzo Fernández,Chelsea,Premier League,2025_2026,understat
11357,Noni Madueke,Arsenal,Premier League,2025_2026,understat
11362,Facundo Buonanotte,Leeds,Premier League,2025_2026,understat
11363,Antoine Semenyo,Bournemouth,Premier League,2025_2026,understat
11384,João Gomes,Wolverhampton Wanderers,Premier League,2025_2026,understat
11385,Yasin Ayari,Brighton,Premier League,2025_2026,understat
11386,Lewis Miley,Newcastle United,Premier League,2025_2026,understat
11461,Romaine Mundle,Sunderland,Premier League,2025_2026,understat
11504,Eli Junior Kroupi,Bournemouth,Premier League,2025_2026,understat
11592,Nico O&#039;Reilly,Manchester City,Premier League,2025_2026,understat
11633,Marc Guiu,Sunderland,Premier League,2025_2026,understat
11701,Zeki Amdouni,Burnley,Premier League,2025_2026,understat
11704,Hjalmar Ekdal,Burnley,Premier League,2025_2026,understat
11707,Jurriën Timber,Arsenal,Premier League,2025_2026,understat
11709,Milos Kerkez,Liverpool,Premier League,2025_2026,understat
11710,Simon Adingra,Sunderland,Premier League,2025_2026,understat
11711,Bart Verbruggen,Brighton,Premier League,2025_2026,understat
11728,Calvin Bassey,Fulham,Premier League,2025_2026,understat
11735,Sávio,Manchester City,Premier League,2025_2026,understat
11763,Abduqodir Khusanov,Manchester City,Premier League,2025_2026,understat
11766,Manuel Ugarte,Manchester United,Premier League,2025_2026,understat
11772,Yehor Yarmolyuk,Brentford,Premier League,2025_2026,understat
11807,Ian Maatsen,Aston Villa,Premier League,2025_2026,understat
11808,Andrey Santos,Chelsea,Premier League,2025_2026,understat
11824,Lucas Pires,Burnley,Premier League,2025_2026,understat
11903,Oscar Bobb,Manchester City,Premier League,2025_2026,understat
11936,Lorenzo Lucca,Nottingham Forest,Premier League,2025_2026,understat
11944,Patrick Dorgu,Manchester United,Premier League,2025_2026,understat
11965,Tijjani Reijnders,Manchester City,Premier League,2025_2026,understat
11966,Noah Okafor,Leeds,Premier League,2025_2026,understat
11974,Benjamin Sesko,Manchester United,Premier League,2025_2026,understat
12014,Jake O&#039;Brien,Everton,Premier League,2025_2026,understat
12027,Mohammed Kudus,Tottenham,Premier League,2025_2026,understat
12032,Djordje Petrovic,Bournemouth,Premier League,2025_2026,understat
12113,Jackson Tchatchoua,Wolverhampton Wanderers,Premier League,2025_2026,understat
12123,Murillo,Nottingham Forest,Premier League,2025_2026,understat
12149,Alex Scott,Bournemouth,Premier League,2025_2026,understat
12168,Alejandro Jiménez,Bournemouth,Premier League,2025_2026,understat
12203,Treymaurice Nyoni,Liverpool,Premier League,2025_2026,understat
12272,Myles Lewis-Skelly,Arsenal,Premier League,2025_2026,understat
1228,Bruno Fernandes,Manchester United,Premier League,2025_2026,understat
12358,Oliver Scarles,West Ham,Premier League,2025_2026,understat
12359,Callum Marshall,West Ham,Premier League,2025_2026,understat
12408,Daniel Muñoz,Crystal Palace,Premier League,2025_2026,understat
12409,Adam Wharton,Crystal Palace,Premier League,2025_2026,understat
12410,Joshua King,Fulham,Premier League,2025_2026,understat
12412,Morgan Rogers,Aston Villa,Premier League,2025_2026,understat
1250,Mohamed Salah,Liverpool,Premier League,2025_2026,understat
12535,Josh Acheampong,Chelsea,Premier League,2025_2026,understat
12573,Tyrique George,Chelsea,Premier League,2025_2026,understat
12721,Ladislav Krejcí,Wolverhampton Wanderers,Premier League,2025_2026,understat
12726,Christantus Uche,Crystal Palace,Premier League,2025_2026,understat
12756,Rodrigo Gomes,Wolverhampton Wanderers,Premier League,2025_2026,understat
12757,Harrison Armstrong,Everton,Premier League,2025_2026,understat
12758,Mats Wieffer,Brighton,Premier League,2025_2026,understat
12759,Yankuba Minteh,Brighton,Premier League,2025_2026,understat
12905,Nicolò Savona,Nottingham Forest,Premier League,2025_2026,understat
12912,Lucas Bergvall,Tottenham,Premier League,2025_2026,understat
12916,Thierno Barry,Everton,Premier League,2025_2026,understat
12948,Mateus Fernandes,West Ham,Premier League,2025_2026,understat
12963,Evanilson,Bournemouth,Premier League,2025_2026,understat
13022,André,Wolverhampton Wanderers,Premier League,2025_2026,understat
13026,Luis Guilherme,West Ham,Premier League,2025_2026,understat
13038,Justin Devenny,Crystal Palace,Premier League,2025_2026,understat
13064,Lutsharel Geertruida,Sunderland,Premier League,2025_2026,understat
13066,Ferdi Kadioglu,Brighton,Premier League,2025_2026,understat
13068,Morato,Nottingham Forest,Premier League,2025_2026,understat
13080,Ayden Heaven,Manchester United,Premier League,2025_2026,understat
13091,Jaydee Canvot,Crystal Palace,Premier League,2025_2026,understat
13150,Jack Fletcher,Manchester United,Premier League,2025_2026,understat
13156,Pedro Lima,Wolverhampton Wanderers,Premier League,2025_2026,understat
13200,Fernando López,Wolverhampton Wanderers,Premier League,2025_2026,understat
13206,Matt O&#039;Riley,Brighton,Premier League,2025_2026,understat
13220,Tom Edozie,Wolverhampton Wanderers,Premier League,2025_2026,understat
13222,Thiago,Brentford,Premier League,2025_2026,understat
13247,Ezra Mayers,West Ham,Premier League,2025_2026,understat
13298,Max Alleyne,Manchester City,Premier League,2025_2026,understat
13364,Diego Gómez,Brighton,Premier League,2025_2026,understat
13484,Mateus Mané,Wolverhampton Wanderers,Premier League,2025_2026,understat
13532,Sean Neave,Newcastle United,Premier League,2025_2026,understat
13692,Rio Ngumoha,Liverpool,Premier League,2025_2026,understat
13711,Maxim De Cuyper,Brighton,Premier League,2025_2026,understat
13713,Trai Hume,Sunderland,Premier League,2025_2026,understat
