understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
28778,8995,Liverpool,Hugo Ekitike,2,80.01,47.53,0.0146,Saved,Right Foot,Open Play,h,Pass,Cody Gakpo,2025,understat
28778,1250,Liverpool,Mohamed Salah,3,89.88,21.28,0.0427,Saved,Left Foot,Open Play,h,Pass,Hugo Ekitike,2025,understat
28778,833,Liverpool,Virgil van Dijk,4,95.97,34.34,0.258,Off T,Head,From Corner,h,Cross,Mohamed Salah,2025,understat
28778,833,Liverpool,Virgil van Dijk,30,95.76,36.18,0.0777,Saved,Head,From Corner,h,Cross,Florian Wirtz,2025,understat
28778,8995,Liverpool,Hugo Ekitike,36,93.55,35.63,0.4041,Goal,Right Foot,Open Play,h,TakeOn,Alexis Mac Allister,2025,understat
28778,8995,Liverpool,Hugo Ekitike,38,98.91,32.84,0.5348,Off T,Head,Open Play,h,Cross,Cody Gakpo,2025,understat
28778,1250,Liverpool,Mohamed Salah,47,89.25,29.04,0.1134,Blocked,Left Foot,Open Play,h,Pass,Cody Gakpo,2025,understat
28778,8995,Liverpool,Hugo Ekitike,46,100.9,35.43,0.1347,Off T,OtherBodyPart,From Corner,h,Aerial,Florian Wirtz,2025,understat
28778,11296,Liverpool,Cody Gakpo,48,89.35,33.46,0.0957,Goal,Right Foot,Open Play,h,Pass,Hugo Ekitike,2025,understat
28778,8379,Liverpool,Alexis Mac Allister,51,79.8,23.66,0.0272,Saved,Right Foot,Open Play,h,LayOff,Florian Wirtz,2025,understat
28778,9328,Liverpool,Jeremie Frimpong,52,79.17,25.3,0.0156,Blocked,Right Foot,From Corner,h,None,,2025,understat
28778,9788,Liverpool,Dominik Szoboszlai,53,74.45,37.88,0.0146,Off T,Right Foot,Open Play,h,None,,2025,understat
28778,8397,Liverpool,Florian Wirtz,62,88.2,31.14,0.111,Off T,Right Foot,Open Play,h,Pass,Dominik Szoboszlai,2025,understat
28778,11296,Liverpool,Cody Gakpo,69,89.46,51.75,0.033,Saved,Right Foot,Open Play,h,Pass,Dominik Szoboszlai,2025,understat
28778,9788,Liverpool,Dominik Szoboszlai,79,89.78,30.06,0.0939,Off T,Left Foot,Open Play,h,Pass,Curtis Jones,2025,understat
28778,9788,Liverpool,Dominik Szoboszlai,80,90.82,22.85,0.0512,Saved,Right Foot,Open Play,h,Pass,Mohamed Salah,2025,understat
28778,11296,Liverpool,Cody Gakpo,87,95.45,42.43,0.0701,Off T,Right Foot,Set Piece,h,None,,2025,understat
28778,1433,Liverpool,Federico Chiesa,87,94.29,36.31,0.099,Goal,Right Foot,Open Play,h,None,,2025,understat
28778,1250,Liverpool,Mohamed Salah,93,94.4,41.68,0.1389,Goal,Right Foot,Open Play,h,BallRecovery,Wataru Endo,2025,understat
28778,11363,Bournemouth,Antoine Semenyo,5,95.34,30.19,0.3169,Off T,Right Foot,Open Play,a,Cross,Adrien Truffert,2025,understat
28778,12963,Bournemouth,Evanilson,9,99.65,27.95,0.0717,Off T,Head,From Corner,a,Cross,David Brooks,2025,understat
28778,10741,Bournemouth,Marcus Tavernier,34,91.35,35.43,0.351,Saved,Right Foot,Open Play,a,Pass,Adam Smith,2025,understat
28778,6820,Bournemouth,David Brooks,41,89.78,46.58,0.0386,Blocked,Right Foot,Open Play,a,None,,2025,understat
28778,10741,Bournemouth,Marcus Tavernier,46,78.75,21.42,0.0455,Blocked,Left Foot,Direct Freekick,a,Standard,,2025,understat
28778,12963,Bournemouth,Evanilson,48,92.08,44.61,0.0973,Off T,Left Foot,Open Play,a,Pass,David Brooks,2025,understat
28778,11363,Bournemouth,Antoine Semenyo,63,95.34,34.88,0.426,Goal,Left Foot,Open Play,a,Cross,David Brooks,2025,understat
28778,6820,Bournemouth,David Brooks,70,94.08,42.84,0.0771,Blocked,Left Foot,Open Play,a,TakeOn,Marcus Tavernier,2025,understat
28778,12963,Bournemouth,Evanilson,70,95.76,40.46,0.0532,Off T,Head,Open Play,a,Cross,Marcos Senesi,2025,understat
28778,11363,Bournemouth,Antoine Semenyo,75,86.62,32.84,0.0956,Goal,Left Foot,Open Play,a,Pass,Hamed Junior Traore,2025,understat
28779,5789,Aston Villa,Boubacar Kamara,46,94.6,32.16,0.1752,Saved,Head,From Corner,h,Aerial,John McGinn,2025,understat
28779,8865,Aston Villa,Ollie Watkins,64,88.93,28.36,0.08,Saved,Left Foot,Open Play,h,Pass,Morgan Rogers,2025,understat
28779,9749,Aston Villa,Donyell Malen,86,93.87,18.02,0.0635,Saved,Right Foot,Open Play,h,Pass,Ollie Watkins,2025,understat
28779,9524,Newcastle United,Anthony Elanga,2,91.14,29.44,0.5098,Saved,Right Foot,Open Play,a,Throughball,Sandro Tonali,2025,understat
28779,8150,Newcastle United,Anthony Gordon,2,88.93,44.06,0.0538,Blocked,Right Foot,Open Play,a,BallRecovery,,2025,understat
28779,8150,Newcastle United,Anthony Gordon,7,89.04,41.96,0.0206,Blocked,Right Foot,Set Piece,a,Aerial,,2025,understat
28779,8150,Newcastle United,Anthony Gordon,10,97.65,31.96,0.4055,Off T,Head,Open Play,a,Cross,Harvey Barnes,2025,understat
28779,9524,Newcastle United,Anthony Elanga,12,95.76,24.62,0.0593,Off T,Right Foot,Open Play,a,Cross,Harvey Barnes,2025,understat
