whoscored_match_id,season,match_date,attendance,competition
1903117,2025/26,2025-08-15,60315.0,Premier League
1903118,2025/26,2025-08-16,42526.0,Premier League
1903119,2025/26,2025-08-16,31478.0,Premier League
1903120,2025/26,2025-08-17,29949.0,Premier League
1903121,2025/26,2025-08-16,46233.0,Premier League
1903122,2025/26,2025-08-16,61077.0,Premier League
1903123,2025/26,2025-08-16,31118.0,Premier League
1903124,2025/26,2025-08-17,39678.0,Premier League
1903125,2025/26,2025-08-17,73475.0,Premier League
1903126,2025/26,2025-08-18,36820.0,Premier League
1903127,2025/26,2025-08-23,11070.0,Premier League
1903128,2025/26,2025-08-23,60110.0,Premier League
1903129,2025/26,2025-08-23,16838.0,Premier League
1903130,2025/26,2025-08-23,21285.0,Premier League
1903131,2025/26,2025-08-24,24876.0,Premier League
1903132,2025/26,2025-08-24,51759.0,Premier League
1903133,2025/26,2025-08-24,27512.0,Premier League
1903134,2025/26,2025-08-23,52491.0,Premier League
1903135,2025/26,2025-08-25,52230.0,Premier League
1903136,2025/26,2025-08-22,62462.0,Premier League
1903137,2025/26,2025-08-31,41036.0,Premier League
1903138,2025/26,2025-08-31,30215.0,Premier League
1903139,2025/26,2025-08-31,31485.0,Premier League
1903140,2025/26,2025-08-30,46267.0,Premier League
1903141,2025/26,2025-08-30,39745.0,Premier League
1903142,2025/26,2025-08-30,61250.0,Premier League
1903143,2025/26,2025-08-30,36727.0,Premier League
1903144,2025/26,2025-08-30,30271.0,Premier League
1903145,2025/26,2025-08-31,60455.0,Premier League
1903146,2025/26,2025-08-30,74257.0,Premier League
1903147,2025/26,2025-09-13,11167.0,Premier League
1903148,2025/26,2025-09-13,60167.0,Premier League
1903149,2025/26,2025-09-13,16795.0,Premier League
1903150,2025/26,2025-09-14,21678.0,Premier League
1903151,2025/26,2025-09-13,25154.0,Premier League
1903152,2025/26,2025-09-13,52114.0,Premier League
1903153,2025/26,2025-09-13,27327.0,Premier League
1903154,2025/26,2025-09-14,52534.0,Premier League
1903155,2025/26,2025-09-13,52145.0,Premier League
1903156,2025/26,2025-09-13,62459.0,Premier League
1903157,2025/26,2025-09-21,11212.0,Premier League
1903158,2025/26,2025-09-21,60161.0,Premier League
1903159,2025/26,2025-09-20,31488.0,Premier League
1903160,2025/26,2025-09-20,21475.0,Premier League
1903161,2025/26,2025-09-27,60537.0,Premier League
1903162,2025/26,2025-09-20,26113.0,Premier League
1903163,2025/26,2025-10-03,11165.0,Premier League
1903164,2025/26,2025-09-20,60342.0,Premier League
1903165,2025/26,2025-10-04,60181.0,Premier League
1903166,2025/26,2025-10-05,40308.0,Premier League
1903167,2025/26,2025-09-20,74124.0,Premier League
1903168,2025/26,2025-10-05,17140.0,Premier League
1903169,2025/26,2025-09-21,46261.0,Premier League
1903170,2025/26,2025-10-04,39767.0,Premier League
1903171,2025/26,2025-09-20,62455.0,Premier League
1903172,2025/26,2025-10-05,51770.0,Premier League
1903173,2025/26,2025-09-20,30807.0,Premier League
1903174,2025/26,2025-10-04,36703.0,Premier League
1903175,2025/26,2025-09-28,40350.0,Premier League
1903176,2025/26,2025-10-04,74004.0,Premier League
1903177,2025/26,2025-09-27,17193.0,Premier League
1903178,2025/26,2025-09-27,39597.0,Premier League
1903179,2025/26,2025-09-27,25118.0,Premier League
1903180,2025/26,2025-10-05,52189.0,Premier League
1903181,2025/26,2025-09-29,51890.0,Premier League
1903182,2025/26,2025-10-05,29504.0,Premier League
1903183,2025/26,2025-09-27,36574.0,Premier League
1903184,2025/26,2025-10-18,31620.0,Premier League
1903185,2025/26,2025-09-27,52427.0,Premier League
1903186,2025/26,2025-09-28,52199.0,Premier League
1903187,2025/26,2025-10-18,21646.0,Premier League
1903188,2025/26,2025-09-27,30226.0,Premier League
1903189,2025/26,2025-10-18,25125.0,Premier League
1903190,2025/26,2025-10-18,27736.0,Premier League
1903191,2025/26,2025-10-19,60337.0,Premier League
