whoscored_team_id,name,season,source,competition
26,Liverpool,2025/26,whoscored,Premier League
183,Bournemouth,2025/26,whoscored,Premier League
24,Aston Villa,2025/26,whoscored,Premier League
23,Newcastle,2025/26,whoscored,Premier League
211,Brighton,2025/26,whoscored,Premier League
170,Fulham,2025/26,whoscored,Premier League
174,Nottingham Forest,2025/26,whoscored,Premier League
189,Brentford,2025/26,whoscored,Premier League
16,Sunderland,2025/26,whoscored,Premier League
29,West Ham,2025/26,whoscored,Premier League
30,Tottenham,2025/26,whoscored,Premier League
184,Burnley,2025/26,whoscored,Premier League
161,Wolves,2025/26,whoscored,Premier League
167,Man City,2025/26,whoscored,Premier League
15,Chelsea,2025/26,whoscored,Premier League
162,Crystal Palace,2025/26,whoscored,Premier League
32,Man Utd,2025/26,whoscored,Premier League
13,Arsenal,2025/26,whoscored,Premier League
19,Leeds,2025/26,whoscored,Premier League
31,Everton,2025/26,whoscored,Premier League
