team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
979,moreirense-fc,2024,Moreirense FC,6150,6150,,,,,,,,Moreirense FC,,Estádio C. J. de Almeida Freitas,,,,Césped natural,,https://www.transfermarkt.es/moreirense-fc/stadion/verein/979/saison_id/2024
982,cd-nacional,2024,CD Nacional,5200,5200,,,,,,,,CD Nacional,,Estádio da Madeira,,,,Césped natural,,https://www.transfermarkt.es/cd-nacional/stadion/verein/982/saison_id/2024
1465,gd-estoril-praia,2024,GD Estoril Praia,5094,5094,,,,,,,,GD Estoril Praia,,Estádio António Coimbra da Mota,,,,Césped natural,,https://www.transfermarkt.es/gd-estoril-praia/stadion/verein/1465/saison_id/2024
2420,vitoria-guimaraes-sc,2024,Vitória Guimarães SC,30029,30029,,,,,,,,Vitória SC,,Estádio D. Afonso Henriques,,,26 mil €,Césped natural,,https://www.transfermarkt.es/vitoria-guimaraes-sc/stadion/verein/2420/saison_id/2024
2423,cd-santa-clara,2024,CD Santa Clara,12500,12500,,,,,,,,Governo Regional dos Açores,,Estádio de São Miguel,,,,Césped natural,,https://www.transfermarkt.es/cd-santa-clara/stadion/verein/2423/saison_id/2024
2424,gil-vicente-fc,2024,Gil Vicente FC,12046,12046,,,2,,,,,Câmara Municipal de Barcelos,,Estádio Cidade de Barcelos,,,,Césped natural,,https://www.transfermarkt.es/gil-vicente-fc/stadion/verein/2424/saison_id/2024
2425,rio-ave-fc,2024,Rio Ave FC,5300,5300,,,1,,,,,Rio Ave FC,,Estádio do Rio Ave FC,,,,Césped natural,,https://www.transfermarkt.es/rio-ave-fc/stadion/verein/2425/saison_id/2024
2431,cf-estrela-amadora-sad,2024,CF Estrela Amadora,9288,9288,,,,,,,,CF Estrela da Amadora,,Estádio José Gomes,,,,Césped natural,,https://www.transfermarkt.es/cf-estrela-amadora-sad/stadion/verein/2431/saison_id/2024
2503,boavista-porto-fc,2024,Boavista FC,28263,28263,,,,,,,,Boavista FC,,Estádio do Bessa Século XXI,,,,Césped natural,,https://www.transfermarkt.es/boavista-porto-fc/stadion/verein/2503/saison_id/2024
3268,casa-pia-ac,2024,Casa Pia AC,7000,7000,,,2,,,,,Câmara Municipal de Rio Maior,,Estádio Municipal de Rio Maior,,,,Césped natural,,https://www.transfermarkt.es/casa-pia-ac/stadion/verein/3268/saison_id/2024
3329,fc-famalicao,2024,FC Famalicão,5186,5186,,,,,,,,Câmara Municipal de Famalicão,,Estádio Municipal de Famalicão,,,,Césped natural,,https://www.transfermarkt.es/fc-famalicao/stadion/verein/3329/saison_id/2024
4294,sc-farense,2024,SC Farense,7000,7000,,,1,,,,,Sporting Clube Farense,,Estádio de São Luís,,,,Césped natural,,https://www.transfermarkt.es/sc-farense/stadion/verein/4294/saison_id/2024
8024,fc-arouca,2024,FC Arouca,5000,5000,,,,,,,,Câmara Municipal de Arouca,,Estádio Municipal de Arouca,,,,Césped natural,,https://www.transfermarkt.es/fc-arouca/stadion/verein/8024/saison_id/2024
110302,avs-futebol-sad,2024,Avs Futebol,6230,6230,,,,,,,,CD Aves,,Estádio do Clube Desportivo das Aves,,,,Césped natural,,https://www.transfermarkt.es/avs-futebol-sad/stadion/verein/110302/saison_id/2024
