match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
16033937,,,,period,90,,,,,,,sofascore
16033937,861283.0,Cicero,,goal,90,,,,,,regular,sofascore
16033937,1939199.0,Salvador Blopa,,goal,90,,,,,,ownGoal,sofascore
16033937,1136902.0,Makan Aïko,,inGamePenalty,90,,,,,,missed,sofascore
16033937,,,,injuryTime,90,,,,,,,sofascore
16033937,,,,substitution,87,,,,,,injury,sofascore
16033937,,,,substitution,86,,,,,,regular,sofascore
16033937,1068519.0,João Silva,,goal,78,,,,,,ownGoal,sofascore
16033937,1939199.0,Salvador Blopa,,card,78,,,,,,yellow,sofascore
16033937,,,,substitution,75,,,,,,regular,sofascore
16033937,,,,substitution,75,,,,,,regular,sofascore
16033937,,,,substitution,75,,,,,,regular,sofascore
16033937,,,,substitution,66,,,,,,injury,sofascore
16033937,,,,substitution,66,,,,,,regular,sofascore
16033937,914213.0,Luis Javier Suárez,,goal,62,,,,,,regular,sofascore
16033937,,,,substitution,57,,,,,,regular,sofascore
16033937,,,,substitution,57,,,,,,regular,sofascore
16033937,,,,substitution,57,,,,,,regular,sofascore
16033937,,,,period,45,,,,,,,sofascore
16033937,989841.0,Eduardo Quaresma,,card,45,,,,,,yellow,sofascore
16033937,,,,injuryTime,45,,,,,,,sofascore
16033937,1133070.0,Tiago Manso,,card,43,,,,,,yellow,sofascore
16033937,190147.0,Rony Lopes,,card,19,,,,,,yellow,sofascore
16033937,879917.0,Maranhão,,card,16,,,,,,yellow,sofascore
14288879,,,,period,90,,,,,,,sofascore
14288879,1112474.0,Ze Vitor,,card,90,,,,,,yellowRed,sofascore
14288879,,,,injuryTime,90,,,,,,,sofascore
14288879,1106840.0,Adriel,,card,89,,,,,,yellow,sofascore
14288879,,,,substitution,88,,,,,,injury,sofascore
14288879,,,,substitution,88,,,,,,regular,sofascore
14288879,,,,substitution,88,,,,,,regular,sofascore
14288879,,,,substitution,72,,,,,,injury,sofascore
14288879,,,,substitution,71,,,,,,regular,sofascore
14288879,,,,substitution,71,,,,,,regular,sofascore
14288879,,,,substitution,64,,,,,,regular,sofascore
14288879,1900362.0,Guilherme Neiva,,goal,63,,,,,,regular,sofascore
14288879,1112474.0,Ze Vitor,,card,58,,,,,,yellow,sofascore
14288879,1011997.0,Chiheb Labidi,,card,55,,,,,,yellow,sofascore
14288879,,,,substitution,46,,,,,,regular,sofascore
14288879,,,,period,45,,,,,,,sofascore
14288879,1176165.0,Paulo Vitor,,card,45,,,,,,yellow,sofascore
14288879,,,,injuryTime,45,,,,,,,sofascore
14288879,1002819.0,Gabriel Veron,,card,41,,,,,,yellow,sofascore
14288879,1067648.0,Pedro Lima,,goal,22,,,,,,regular,sofascore
