id_sofascore,match_date,competition,season,home_team_id_ss,away_team_id_ss,home_team_name,away_team_name,home_score,away_score,attendance,data_source
14288819,2026-03-07,Liga Portugal Betclic,Liga Portugal 25/26,3014,3013,Moreirense,CD Nacional,1.0,1.0,,sofascore
16033937,2026-04-29,Liga Portugal Betclic,Liga Portugal 25/26,3001,38396,Sporting CP,Tondela,2.0,2.0,,sofascore
14288879,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,3013,483088,CD Nacional,AVS - Futebol SAD,1.0,2.0,,sofascore
14288880,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,3014,3035,Moreirense,CF Estrela Amadora,3.0,2.0,,sofascore
14288887,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,25777,3011,FC Arouca,Santa Clara,2.0,2.0,,sofascore
14288883,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,49531,3006,Famalicão,Benfica,2.0,2.0,,sofascore
14288881,2026-05-02,Liga Portugal Betclic,Liga Portugal 25/26,3002,190328,FC Porto,FC Alverca,1.0,0.0,,sofascore
14288885,2026-05-03,Liga Portugal Betclic,Liga Portugal 25/26,36365,38396,Casa Pia,Tondela,0.0,1.0,,sofascore
14288888,2026-05-03,Liga Portugal Betclic,Liga Portugal 25/26,2999,4500,Sporting Braga,Estoril Praia,1.0,1.0,,sofascore
14288882,2026-05-03,Liga Portugal Betclic,Liga Portugal 25/26,3036,3010,Rio Ave,Gil Vicente,0.0,0.0,,sofascore
14288884,2026-05-04,Liga Portugal Betclic,Liga Portugal 25/26,3001,3009,Sporting CP,Vitória SC,5.0,1.0,,sofascore
14288892,2026-05-10,Liga Portugal Betclic,Liga Portugal 25/26,483088,3002,AVS - Futebol SAD,FC Porto,3.0,1.0,,sofascore
14288895,2026-05-10,Liga Portugal Betclic,Liga Portugal 25/26,190328,4500,FC Alverca,Estoril Praia,1.0,1.0,,sofascore
14288891,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,38396,3014,Tondela,Moreirense,2.0,0.0,,sofascore
14288897,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3011,3013,Santa Clara,CD Nacional,2.0,0.0,,sofascore
14288890,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3010,25777,Gil Vicente,FC Arouca,1.0,3.0,,sofascore
14288893,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3035,49531,CF Estrela Amadora,Famalicão,0.0,0.0,,sofascore
14288889,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3009,36365,Vitória SC,Casa Pia,0.0,1.0,,sofascore
14288896,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3036,3001,Rio Ave,Sporting CP,1.0,4.0,,sofascore
14288898,2026-05-11,Liga Portugal Betclic,Liga Portugal 25/26,3006,2999,Benfica,Sporting Braga,2.0,2.0,,sofascore
14288899,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,3014,483088,Moreirense,AVS - Futebol SAD,0.0,0.0,,sofascore
14336196,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,3002,3011,FC Porto,Santa Clara,1.0,0.0,,sofascore
14336202,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,25777,38396,FC Arouca,Tondela,3.0,1.0,,sofascore
14336201,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,36365,3036,Casa Pia,Rio Ave,1.0,1.0,,sofascore
14336199,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,3013,3009,CD Nacional,Vitória SC,2.0,0.0,,sofascore
14336204,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,2999,3035,Sporting Braga,CF Estrela Amadora,2.0,2.0,,sofascore
14288900,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,49531,190328,Famalicão,FC Alverca,1.0,0.0,,sofascore
14288901,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,3001,3010,Sporting CP,Gil Vicente,3.0,0.0,,sofascore
14336198,2026-05-16,Liga Portugal Betclic,Liga Portugal 25/26,4500,3006,Estoril Praia,Benfica,1.0,3.0,,sofascore
16197899,2026-05-20,"Liga Portugal Betclic, Relegation/Promotion",Liga Portugal 25/26,25787,36365,Torreense,Casa Pia,0.0,0.0,,sofascore
16197900,2026-05-28,"Liga Portugal Betclic, Relegation/Promotion",Liga Portugal 25/26,36365,25787,Casa Pia,Torreense,2.0,0.0,,sofascore
