id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
1489200.0,Leandro Santos,,,Primeira Liga,2025_2026,sofascore
6562.0,João Moutinho,,,,,
27622.0,José Fonte,,,,,
33541.0,Thiago Silva,,,,,
40878.0,Luuk de Jong,,,,,
42898.0,Nélson Oliveira,,,,,
44684.0,João Aurélio,,,,,
44685.0,Nenê,,,,,
54672.0,David Simão,,,,,
59609.0,Stopira,,,,,
72020.0,Jakub Brabec,,,,,
74915.0,Nicolás Otamendi,,,,,
77725.0,Pizzi,,,,,
82598.0,Renan Ribeiro,,,,,
93796.0,Joel Robles,,,,,
97012.0,Bruma,,,,,
106751.0,Paulo Oliveira,,,,,
110950.0,Ivan Cavaleiro,,,,,
125039.0,André Geraldes,,,,,
125625.0,Sergi Gómez,,,,,
126076.0,Tomané,,,,,
129617.0,Aderllan Santos,,,,,
138890.0,Gonçalo Paciência,,,,,
141012.0,Luís Rocha,,,,,
155985.0,Charles,,,,,
156318.0,Marcelo,,,,,
157023.0,Cassiano,,,,,
158597.0,Sebastián Pérez,,,,,
167857.0,André Sousa,,,,,
186719.0,Florian Grillitsch,,,,,
190137.0,Rafa Soares,,,,,
190147.0,Rony Lopes,,,,,
191188.0,Seko Fofana,,,,,
228364.0,Fredrik Aursnes,,,,,
233370.0,João Novais,,,,,
252095.0,Tiago Silva,,,,,
252577.0,Rafa Silva,,,,,
253809.0,Rui Silva,,,,,
253837.0,Lucas João,,,,,
254815.0,Frederico Venâncio,,,,,
286085.0,Jan Bednarek,,,,,
309296.0,João Graça,,,,,
314380.0,Ricardo Horta,,,,,
324345.0,Kiki,,,,,
339879.0,Bas Kuipers,,,,,
343909.0,Hélder Tavares,,,,,
344023.0,Sandro Lima,,,,,
344181.0,José Gomes,,,,,
344199.0,Rúben Semedo,,,,,
345843.0,Caio Secco,,,,,
352448.0,Héctor Hernández,,,,,
352882.0,Nuno Santos,,,,,
357734.0,Ferro,,,,,
370010.0,Anthony Carter,,,,,
548044.0,João Carvalho,,,,,
583838.0,Gil Dias,,,,,
584116.0,Ponck,,,,,
584158.0,João Afonso,,,,,
611880.0,Murilo,,,,,
785808.0,Samu,,,,,
786269.0,Witiness Quembo,,,,,
788197.0,André Ferreira,,,,,
788786.0,Jordan Siebatcheu,,,,,
789933.0,Ignacio de Arruabarrena,,,,,
794928.0,Lincoln,,,,,
795236.0,Vangelis Pavlidis,,,,,
796139.0,Andre Green,,,,,
797648.0,Matheus Reis,,,,,
800348.0,Jonathan Buatu,,,,,
801339.0,Rodrigo Pinho,,,,,
804472.0,Pablo Rosario,,,,,
821628.0,Patrick Sequeira,,,,,
822509.0,Léo Santos,,,,,
822510.0,Liziero,,,,,
822526.0,Gabriel Batista,,,,,
822684.0,Siphephelo Sithole,,,,,
823128.0,Rafael Barbosa,,,,,
823631.0,Dodi Lukebakio,,,,,
826024.0,Dario Špikić,,,,,
826054.0,Jérémy Livolant,,,,,
826210.0,Rafik Guitane,,,,,
830431.0,Francisco Trincão,,,,,
831781.0,Ghislain Konan,,,,,
832672.0,Lucas França,,,,,
834247.0,Pedro Amaral,,,,,
