match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
14288819,1020610,Matheus Dias,,90,2.1,42.1,0.2802,miss,right-foot,set-piece,sofascore
14288819,1579664,Pablo Messias Cardozo,,90,12.8,66.0,0.0508,block,right-foot,fast-break,sofascore
14288819,822509,Léo Santos,,90,13.3,63.0,0.0107,save,head,throw-in-set-piece,sofascore
14288819,253837,Lucas João,,88,8.8,51.9,0.0591,save,head,corner,sofascore
14288819,987597,Jesús Ramírez,,83,8.5,55.0,0.2443,save,head,assisted,sofascore
14288819,987597,Jesús Ramírez,,78,12.1,47.2,0.024,miss,head,set-piece,sofascore
14288819,902051,Miguel Baeza,,74,12.8,62.0,0.1316,miss,left-foot,regular,sofascore
14288819,902051,Miguel Baeza,,72,11.7,59.1,0.0748,miss,right-foot,throw-in-set-piece,sofascore
14288819,902051,Miguel Baeza,,67,19.4,50.9,0.0351,goal,left-foot,assisted,sofascore
14288819,822510,Liziero,,59,16.6,49.1,0.0748,save,right-foot,assisted,sofascore
14288819,1112474,Ze Vitor,,57,26.5,45.4,0.0196,block,left-foot,regular,sofascore
14288819,822510,Liziero,,54,30.7,47.2,0.0123,miss,left-foot,assisted,sofascore
14288819,987597,Jesús Ramírez,,54,10.1,29.3,0.0198,block,left-foot,assisted,sofascore
14288819,1020610,Matheus Dias,,53,29.4,61.3,0.0141,miss,right-foot,assisted,sofascore
14288819,1115751,Luís Semedo,,51,4.3,55.2,0.1987,miss,left-foot,assisted,sofascore
14288819,905455,Alan,,50,14.1,73.7,0.0234,miss,right-foot,assisted,sofascore
14288819,1166006,Mateja Stjepanović,,50,3.8,58.3,0.0977,miss,head,corner,sofascore
14288819,905455,Alan,,49,8.6,68.3,0.0866,save,right-foot,assisted,sofascore
14288819,1115751,Luís Semedo,,45,13.0,55.6,0.4646,goal,right-foot,fast-break,sofascore
14288819,905455,Alan,,35,14.7,34.2,0.0272,block,left-foot,assisted,sofascore
14288819,912781,Paulinho Bóia,,29,23.2,36.0,0.0234,save,right-foot,assisted,sofascore
14288819,822509,Léo Santos,,23,8.6,41.3,0.0451,miss,right-foot,corner,sofascore
14288819,912781,Paulinho Bóia,,23,9.5,37.8,0.1333,block,right-foot,regular,sofascore
14288819,987597,Jesús Ramírez,,23,10.9,51.1,0.0558,block,head,assisted,sofascore
14288819,902051,Miguel Baeza,,13,13.0,64.3,0.0642,block,right-foot,regular,sofascore
14288819,1082948,Kiko Bondoso,,7,15.1,41.9,0.0753,miss,right-foot,regular,sofascore
16033937,1939199,Salvador Blopa,38396.0,90,6.6,43.4,,goal,other,corner,sofascore
16033937,861283,Cicero,38396.0,90,8.9,39.7,0.0241,miss,head,corner,sofascore
16033937,1136902,Makan Aïko,38396.0,90,11.5,50.0,0.7884,save,right-foot,penalty,sofascore
16033937,1133070,Tiago Manso,38396.0,89,9.3,44.5,0.2047,miss,right-foot,assisted,sofascore
16033937,929193,Maximiliano Araújo,3001.0,81,14.7,37.4,0.0718,block,right-foot,fast-break,sofascore
16033937,1068519,João Silva,3001.0,79,8.5,48.3,,goal,right-foot,regular,sofascore
16033937,1001140,Geny Catamo,3001.0,78,13.9,64.6,0.077,miss,left-foot,assisted,sofascore
16033937,830431,Francisco Trincão,3001.0,77,13.9,44.2,0.1247,block,left-foot,assisted,sofascore
16033937,1136902,Makan Aïko,38396.0,75,19.4,27.9,0.0441,miss,right-foot,free-kick,sofascore
16033937,895764,Pedro Gonçalves,3001.0,68,13.8,34.6,0.0481,miss,right-foot,assisted,sofascore
16033937,1939199,Salvador Blopa,3001.0,64,25.9,74.8,0.0172,miss,right-foot,regular,sofascore
16033937,914213,Luis Javier Suárez,3001.0,62,7.9,59.1,0.0636,goal,left-foot,assisted,sofascore
16033937,861979,Daniel Bragança,3001.0,60,8.8,53.6,0.1461,block,left-foot,fast-break,sofascore
16033937,914213,Luis Javier Suárez,3001.0,60,9.8,37.2,0.1293,block,right-foot,fast-break,sofascore
16033937,1001140,Geny Catamo,3001.0,59,2.4,52.3,0.7,miss,left-foot,assisted,sofascore
16033937,895764,Pedro Gonçalves,3001.0,56,15.6,31.6,0.0375,save,right-foot,regular,sofascore
16033937,879917,Maranhão,38396.0,54,11.6,68.5,0.0321,miss,right-foot,fast-break,sofascore
16033937,1133070,Tiago Manso,38396.0,50,17.9,35.4,0.0404,miss,left-foot,regular,sofascore
16033937,190147,Rony Lopes,38396.0,47,22.6,38.7,0.0309,miss,right-foot,assisted,sofascore
16033937,861979,Daniel Bragança,3001.0,40,14.5,43.8,0.0651,save,left-foot,regular,sofascore
16033937,914213,Luis Javier Suárez,3001.0,33,5.5,34.4,0.1385,miss,left-foot,assisted,sofascore
16033937,914213,Luis Javier Suárez,3001.0,32,9.5,65.6,0.1223,save,right-foot,assisted,sofascore
16033937,929193,Maximiliano Araújo,3001.0,21,10.2,32.3,0.0861,save,left-foot,assisted,sofascore
16033937,914213,Luis Javier Suárez,3001.0,13,10.3,65.7,0.0475,block,right-foot,assisted,sofascore
16033937,1001140,Geny Catamo,3001.0,6,14.2,74.4,0.0261,miss,left-foot,assisted,sofascore
16033937,190147,Rony Lopes,38396.0,1,16.0,34.9,0.0378,block,right-foot,assisted,sofascore
14288879,987597,Jesús Ramírez,3013.0,90,7.0,50.9,0.3594,miss,head,assisted,sofascore
14288879,822510,Liziero,3013.0,90,20.0,38.0,0.024,miss,left-foot,corner,sofascore
14288879,253837,Lucas João,3013.0,90,10.1,46.1,0.0637,miss,head,assisted,sofascore
14288879,987597,Jesús Ramírez,3013.0,89,10.2,48.4,0.071,miss,head,set-piece,sofascore
14288879,1112474,Ze Vitor,3013.0,86,27.7,41.0,0.0237,block,left-foot,regular,sofascore
14288879,253837,Lucas João,3013.0,86,10.3,49.1,0.1161,block,right-foot,assisted,sofascore
14288879,987597,Jesús Ramírez,3013.0,84,5.5,67.1,0.0848,save,right-foot,throw-in-set-piece,sofascore
14288879,1067648,Pedro Lima,483088.0,82,26.7,63.6,0.0264,save,left-foot,assisted,sofascore
14288879,1133063,Tunde Akinsola,483088.0,80,15.8,53.2,0.178,miss,left-foot,fast-break,sofascore
14288879,987597,Jesús Ramírez,3013.0,73,12.9,66.9,0.0475,miss,right-foot,assisted,sofascore
14288879,1067648,Pedro Lima,483088.0,65,15.9,32.2,0.0366,block,left-foot,regular,sofascore
14288879,1003071,Diego Duarte,483088.0,65,21.2,47.9,0.0563,block,left-foot,assisted,sofascore
14288879,1900362,Guilherme Neiva,483088.0,63,12.6,36.2,0.2411,goal,left-foot,fast-break,sofascore
14288879,912781,Paulinho Bóia,3013.0,60,16.4,31.1,0.0309,save,right-foot,assisted,sofascore
14288879,1900362,Guilherme Neiva,483088.0,60,20.4,73.7,0.0096,miss,left-foot,set-piece,sofascore
14288879,1900362,Guilherme Neiva,483088.0,57,19.2,46.5,0.1362,block,right-foot,free-kick,sofascore
14288879,1172052,Daniel Júnior,3013.0,54,24.8,64.1,0.0127,miss,left-foot,assisted,sofascore
14288879,1046440,Roni,483088.0,51,16.0,58.0,0.0447,miss,left-foot,corner,sofascore
14288879,1133063,Tunde Akinsola,483088.0,51,7.4,70.9,0.0578,block,left-foot,assisted,sofascore
14288879,1133063,Tunde Akinsola,483088.0,50,12.8,55.5,0.0807,miss,left-foot,throw-in-set-piece,sofascore
14288879,1067648,Pedro Lima,483088.0,48,21.1,69.7,0.0489,block,left-foot,free-kick,sofascore
14288879,344181,José Gomes,3013.0,45,14.6,43.0,0.0947,block,left-foot,set-piece,sofascore
14288879,987597,Jesús Ramírez,3013.0,40,8.2,45.5,0.0755,save,head,corner,sofascore
