id_sofascore,canonical_name,country
2999,Sporting Braga,Portugal
3001,Sporting CP,Portugal
3002,FC Porto,Portugal
3006,Benfica,Portugal
3009,Vitória SC,Portugal
3010,Gil Vicente,Portugal
3011,Santa Clara,Portugal
3013,CD Nacional,Portugal
3014,Moreirense,Portugal
3035,CF Estrela Amadora,Portugal
3036,Rio Ave,Portugal
4500,Estoril Praia,Portugal
25777,FC Arouca,Portugal
25787,Torreense,Portugal
36365,Casa Pia,Portugal
38396,Tondela,Portugal
49531,Famalicão,Portugal
190328,FC Alverca,Portugal
483088,AVS - Futebol SAD,Portugal
