season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
20/21,Coronavirus,2020-09-16,2020-09-30,15.0,2.0,367464,367464,Luís Maximiano,,,,
16/17,Lesión desconocida,2017-06-21,2017-07-10,20.0,3.0,367464,367464,Luís Maximiano,,,,
23/24,Lesión muscular,2024-03-01,2024-07-01,123.0,16.0,44062,44062,Antonio Adán,,,,
22/23,Lesión desconocida,2023-03-11,2023-03-14,4.0,1.0,44062,44062,Antonio Adán,,,,
17/18,Pubis,2018-04-03,2018-06-03,62.0,8.0,44062,44062,Antonio Adán,,,,
20/21,Coronavirus,2020-09-18,2020-10-02,15.0,3.0,95142,95142,Renan Ribeiro,,,,
19/20,Molestias en el aductor,2020-01-27,2020-01-31,5.0,1.0,95142,95142,Renan Ribeiro,,,,
19/20,Lesión desconocida,2019-12-19,2020-01-20,33.0,4.0,95142,95142,Renan Ribeiro,,,,
18/19,Lesión muscular,2018-12-26,2019-01-01,7.0,1.0,95142,95142,Renan Ribeiro,,,,
25/26,Desgarro muscular,2026-03-02,2026-03-26,25.0,4.0,102427,102427,Sebastián Coates,,,,
24/25,Lesión muscular,2025-05-17,2025-06-03,18.0,4.0,102427,102427,Sebastián Coates,,,,
23/24,Gastroenteritis gripal,2024-03-28,2024-03-31,4.0,1.0,102427,102427,Sebastián Coates,,,,
23/24,Descanso,2024-02-14,2024-02-16,3.0,1.0,102427,102427,Sebastián Coates,,,,
23/24,Lesión desconocida,2023-12-17,2024-01-06,21.0,4.0,102427,102427,Sebastián Coates,,,,
22/23,Lesión desconocida,2022-10-13,2022-10-27,15.0,2.0,102427,102427,Sebastián Coates,,,,
22/23,Traumatismo,2022-09-15,2022-10-06,22.0,4.0,102427,102427,Sebastián Coates,,,,
21/22,Problemas de rodilla,2022-04-28,2022-05-05,8.0,1.0,102427,102427,Sebastián Coates,,,,
21/22,Coronavirus,2022-01-31,2022-02-07,8.0,2.0,102427,102427,Sebastián Coates,,,,
21/22,Coronavirus,2021-11-29,2021-12-13,15.0,2.0,102427,102427,Sebastián Coates,,,,
21/22,Lesión de rodilla,2021-11-08,2021-11-22,15.0,3.0,102427,102427,Sebastián Coates,,,,
21/22,Problemas de rodilla,2021-08-26,2021-09-13,19.0,3.0,102427,102427,Sebastián Coates,,,,
20/21,Lesión del aductor,2020-11-05,2020-11-19,15.0,2.0,102427,102427,Sebastián Coates,,,,
19/20,Problemas musculares,2020-07-23,2020-07-30,8.0,1.0,102427,102427,Sebastián Coates,,,,
19/20,Problemas en el muslo,2019-11-18,2019-12-02,15.0,2.0,102427,102427,Sebastián Coates,,,,
24/25,Lesión desconocida,2024-12-10,2025-01-06,28.0,6.0,549006,549006,Gonçalo Inácio,,,,
24/25,Lesión desconocida,2024-11-02,2024-11-07,6.0,1.0,549006,549006,Gonçalo Inácio,,,,
24/25,Herida menor,2024-10-07,2024-10-13,7.0,1.0,549006,549006,Gonçalo Inácio,,,,
24/25,Lesión desconocida,2024-09-18,2024-09-25,8.0,1.0,549006,549006,Gonçalo Inácio,,,,
23/24,Problemas en el muslo,2024-02-26,2024-03-08,12.0,3.0,549006,549006,Gonçalo Inácio,,,,
21/22,Gripe,2022-03-13,2022-03-16,4.0,1.0,549006,549006,Gonçalo Inácio,,,,
21/22,Lesión desconocida,2021-09-16,2021-10-08,23.0,4.0,549006,549006,Gonçalo Inácio,,,,
21/22,Lesión desconocida,2021-09-06,2021-09-13,8.0,1.0,549006,549006,Gonçalo Inácio,,,,
20/21,Lesión desconocida,2021-04-10,2021-04-14,5.0,1.0,549006,549006,Gonçalo Inácio,,,,
22/23,Lesión desconocida,2023-03-12,2023-04-05,25.0,2.0,129386,129386,Zouhair Feddal,,,,
21/22,Lesión desconocida,2022-04-07,2022-04-22,16.0,3.0,129386,129386,Zouhair Feddal,,,,
21/22,Herida menor,2022-02-24,2022-02-28,5.0,1.0,129386,129386,Zouhair Feddal,,,,
21/22,Lesión muscular,2021-12-06,2022-01-03,29.0,6.0,129386,129386,Zouhair Feddal,,,,
20/21,Herida menor,2021-04-15,2021-04-22,8.0,2.0,129386,129386,Zouhair Feddal,,,,
20/21,Contusión,2020-12-24,2020-12-31,8.0,1.0,129386,129386,Zouhair Feddal,,,,
20/21,Herida menor,2020-10-05,2020-10-15,11.0,2.0,129386,129386,Zouhair Feddal,,,,
