id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
367464,Luís Maximiano,Portugal,1999-01-05,Portero,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
44062,Antonio Adán,España,1987-05-13,Portero,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
95142,Renan Ribeiro,Brasil,1990-03-23,Portero,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
647098,André Paulo,Portugal,1996-12-18,Portero,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
102427,Sebastián Coates,Uruguay,1990-10-07,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
549006,Gonçalo Inácio,Portugal,2001-08-25,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
129386,Zouhair Feddal,Marruecos,1989-12-23,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
504073,Eduardo Quaresma,Portugal,2002-03-02,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
56036,Luís Neto,Portugal,1988-05-26,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
461903,João Silva,Portugal,1999-01-14,Defensa central,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
616341,Nuno Mendes,Portugal,2002-06-19,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
290391,Nuno Santos,Portugal,1995-02-13,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
356099,Cristián Borja,Colombia,1993-02-18,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
379249,Matheus Reis,Brasil,1995-02-18,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
44699,Antunes,Portugal,1987-04-01,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
344393,Lumor Agbenyenu,Ghana,1996-08-15,Lateral izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
553875,Pedro Porro,España,1999-09-13,Lateral derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
601883,Matheus Nunes,Portugal,1998-08-27,Lateral derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
13217,João Pereira,Portugal,1984-02-25,Lateral derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
257455,João Palhinha,Portugal,1995-07-09,Pivote,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
489212,Rodrigo Fernandes,Portugal,2001-03-23,Pivote,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
314963,Bruno Paz,Angola,1998-04-23,Pivote,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
670717,Dário Essugo,Portugal,2005-03-14,Pivote,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
499721,Wendel,Brasil,1997-08-28,Mediocentro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
461943,Daniel Bragança,Portugal,1999-05-27,Mediocentro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
149729,João Mário,Portugal,1993-01-19,Mediocentro ofensivo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
226138,Mattheus,Brasil,1994-07-07,Mediocentro ofensivo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
426620,Pedro Gonçalves,Portugal,1998-06-28,Extremo izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
448466,Jovane Cabral,Cabo Verde,1998-06-14,Extremo izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
581140,Joelson Fernandes,Portugal,2003-02-28,Extremo izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
461939,Tomás Silva,Portugal,1999-10-15,Extremo izquierdo,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
616344,Tiago Tomás,Portugal,2002-06-16,Extremo derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
438202,Bruno Tabata,Brasil,1997-03-30,Extremo derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
592735,Gonzalo Plata,Ecuador,2000-11-01,Extremo derecho,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
211072,Paulinho,Portugal,1992-11-09,Delantero centro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
214316,Luciano Vietto,Argentina,1993-12-05,Delantero centro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
179860,Andraz Sporar,Eslovenia,1994-02-27,Delantero centro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
240578,Luiz Phellype,Brasil,1993-09-27,Delantero centro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
404383,Pedro Marques,Portugal,1998-04-25,Delantero centro,Primeira Liga,sporting-lissabon,sporting-lissabon,,2020,transfermarkt
54534,Agustín Marchesín,Argentina,1988-03-16,Portero,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
357153,Diogo Costa,Portugal,1999-09-19,Portero,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
155396,Cláudio Ramos,Portugal,1991-11-16,Portero,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
564968,Francisco Meixedo,Portugal,2001-05-19,Portero,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
141050,Danilo Pereira,Portugal,1991-09-09,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
203348,Chancel Mbemba,RD del Congo,1994-08-08,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
357156,Diogo Leite,Portugal,1999-01-23,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
344596,Malang Sarr,Francia,1999-01-23,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
14132,Pepe,Portugal,1983-02-26,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
57723,Iván Marcano,España,1987-06-23,Defensa central,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
255755,Alex Telles,Brasil,1992-12-15,Lateral izquierdo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
544784,Zaidu Sanusi,Nigeria,1997-06-13,Lateral izquierdo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
257388,Wilson Manafá,Portugal,1994-07-23,Lateral derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
537602,João Mário,Portugal,2000-01-03,Lateral derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
291399,Nanu,Guinea-Bissau,1994-05-17,Lateral derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
291941,Carraça,Portugal,1993-03-01,Lateral derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
214538,Matheus Uribe,Colombia,1991-03-21,Pivote,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
222813,Marko Grujić,Serbia,1996-04-13,Pivote,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
375383,Romário Baró,Portugal,2000-01-25,Pivote,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
364237,Mamadou Loum,Senegal,1996-12-30,Pivote,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
112465,Sérgio Oliveira,Portugal,1992-06-02,Mediocentro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
231289,Otávio,Portugal,1995-02-09,Mediocentro ofensivo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
537598,Fábio Vieira,Portugal,2000-05-30,Mediocentro ofensivo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
188911,Shoya Nakajima,Japón,1994-08-23,Mediocentro ofensivo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
480692,Luis Díaz,Colombia,1997-01-13,Extremo izquierdo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
159372,Felipe Anderson,Brasil,1993-04-15,Extremo izquierdo,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
125165,Jesús Corona,México,1993-01-06,Extremo derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
487474,Francisco Conceição,Portugal,2002-12-14,Extremo derecho,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
307058,Mehdi Taremi,Irán,1992-07-18,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
283130,Moussa Marega,Malí,1991-04-14,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
711337,Evanilson,Brasil,1999-10-06,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
103381,Tiquinho Soares,Brasil,1991-01-17,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
302371,Toni Martínez,España,1997-06-30,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
134602,Zé Luís,Cabo Verde,1991-01-24,Delantero centro,Primeira Liga,fc-porto,fc-porto,,2020,transfermarkt
124419,Odysseas Vlachodimos,Grecia,1994-04-26,Portero,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
175383,Helton Leite,Brasil,1990-11-02,Portero,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
338670,Mile Svilar,Serbia,1999-08-27,Portero,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
258036,Fábio Duarte,Cabo Verde,1998-05-11,Portero,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
504072,Samuel Soares,Portugal,2002-06-15,Portero,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
258004,Rúben Dias,Portugal,1997-05-14,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
605184,Jean-Clair Todibo,Francia,1999-12-30,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
411662,Lucas Veríssimo,Brasil,1995-07-02,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
54781,Nicolás Otamendi,Argentina,1988-02-12,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
43250,Jan Vertonghen,Bélgica,1987-04-24,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
294321,Ferro,Portugal,1997-03-26,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
673492,Morato,Brasil,2001-06-30,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
122946,Jardel,Brasil,1986-03-29,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
293180,Branimir Kalaica,Croacia,1998-06-01,Defensa central,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
193082,Alejandro Grimaldo,España,1995-09-20,Lateral izquierdo,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
535955,Nuno Tavares,Portugal,2000-01-26,Lateral izquierdo,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
481628,Tiago Araújo,Portugal,2001-03-27,Lateral izquierdo,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
83466,André Almeida,Portugal,1990-09-10,Lateral derecho,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
231614,Gilberto,Brasil,1993-03-07,Lateral derecho,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
481623,João Ferreira,Portugal,2001-03-22,Lateral derecho,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
196792,Julian Weigl,Alemania,1995-09-08,Pivote,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
167291,Gabriel Pires,Brasil,1993-09-18,Pivote,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
140032,Andreas Samaris,Grecia,1989-06-13,Pivote,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
45287,Adel Taarabt,Marruecos,1989-05-24,Mediocentro,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
504090,Paulo Bernardo,Portugal,2002-01-24,Mediocentro,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
344474,Ilija Vukotić,Montenegro,1999-01-07,Mediocentro,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
64339,Pizzi,Portugal,1989-10-06,Mediocentro ofensivo,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
334557,Chiquinho,Portugal,1995-07-19,Mediocentro ofensivo,Primeira Liga,benfica-lissabon,benfica-lissabon,,2020,transfermarkt
