team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
294,benfica-lissabon,2025,Estádio da Luz,68100,68100,,,,,,2003,,Sport Lisboa e Benfica,,Estádio da Luz,,Portugal,"118,70 mill. €",Césped natural,,https://www.transfermarkt.es/benfica-lissabon/stadion/verein/294/saison_id/2025,,,105,68,,,False,False,
336,sporting-lissabon,2025,Estádio José Alvalade,52095,52095,,,,,,2003,,Sporting CP,,Estádio José Alvalade,,Portugal,"105,00 mill. €",Césped natural,,https://www.transfermarkt.es/sporting-lissabon/stadion/verein/336/saison_id/2025,,,105,68,,,False,False,
720,fc-porto,2025,Estádio do Dragão,50033,50033,,,,,,2003,,FC Porto,,Estádio do Dragão,,Portugal,"98,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-porto/stadion/verein/720/saison_id/2025,,,105,68,,,False,False,
979,moreirense-fc,2025,Estádio C. J. de Almeida Freitas,6150,6150,,,,,,2002,,Moreirense FC,,Estádio C. J. de Almeida Freitas,,Portugal,,Césped natural,,https://www.transfermarkt.es/moreirense-fc/stadion/verein/979/saison_id/2025,,,104,68,,,False,False,
982,cd-nacional,2025,Estádio da Madeira,5200,5200,,,,,,1999,,CD Nacional,,Estádio da Madeira,,Portugal,,Césped natural,,https://www.transfermarkt.es/cd-nacional/stadion/verein/982/saison_id/2025,Estádio Engenheiro Rui Alves,,105,68,,,False,False,
1075,sc-braga,2025,Estádio Municipal de Braga,30286,30286,,,,,,2003,,Câmara Municipal de Braga,,Estádio Municipal de Braga,,Portugal,,Césped natural,,https://www.transfermarkt.es/sc-braga/stadion/verein/1075/saison_id/2025,,,105,68,,,False,False,
1465,gd-estoril-praia,2025,Estádio António Coimbra da Mota,5094,5094,,,,,,1930,,GD Estoril Praia,,Estádio António Coimbra da Mota,,Portugal,,Césped natural,,https://www.transfermarkt.es/gd-estoril-praia/stadion/verein/1465/saison_id/2025,,,105,68,,,False,False,
2420,vitoria-guimaraes-sc,2025,Estádio D. Afonso Henriques,30029,30029,,,,,,1965,,Vitória SC,,Estádio D. Afonso Henriques,,Portugal,26 mil €,Césped natural,,https://www.transfermarkt.es/vitoria-guimaraes-sc/stadion/verein/2420/saison_id/2025,"1965-1989 ""Estádio Municipal De Guimarães""
Desde 1989 ""Estádio Dom Afonso Henriques""
Remodelado em 2003",,105,68,,,False,False,
2423,cd-santa-clara,2025,Estádio de São Miguel,12500,12500,,,,,,1976,,Governo Regional dos Açores,,Estádio de São Miguel,,Portugal,,Césped natural,,https://www.transfermarkt.es/cd-santa-clara/stadion/verein/2423/saison_id/2025,Vulcão,,105,68,,,False,False,
2424,gil-vicente-fc,2025,Estádio Cidade de Barcelos,12046,12046,,,2,,,2004,,Câmara Municipal de Barcelos,,Estádio Cidade de Barcelos,,Portugal,,Césped natural,,https://www.transfermarkt.es/gil-vicente-fc/stadion/verein/2424/saison_id/2025,,,105,68,,,False,False,
2425,rio-ave-fc,2025,Estádio do Rio Ave FC,5300,5300,,,1,,,1984,,Rio Ave FC,,Estádio do Rio Ave FC,,Portugal,,Césped natural,,https://www.transfermarkt.es/rio-ave-fc/stadion/verein/2425/saison_id/2025,Estádio dos Arcos,,105,68,,,False,False,
2431,cf-estrela-amadora-sad,2025,Estádio José Gomes,9288,9288,,,,,,1957,,CF Estrela da Amadora,,Estádio José Gomes,,Portugal,,Césped natural,,https://www.transfermarkt.es/cf-estrela-amadora-sad/stadion/verein/2431/saison_id/2025,,,105,68,,,False,False,
2521,fc-alverca,2025,Complexo Desportivo FC Alverca,6932,6932,,,,,,1992,,FC Alverca,,Complexo Desportivo FC Alverca,,Portugal,,Césped natural,,https://www.transfermarkt.es/fc-alverca/stadion/verein/2521/saison_id/2025,,,105,68,,,False,False,
3268,casa-pia-ac,2025,Estádio Municipal de Rio Maior,7000,7000,,,2,,,2003,,Câmara Municipal de Rio Maior,,Estádio Municipal de Rio Maior,,Portugal,,Césped natural,,https://www.transfermarkt.es/casa-pia-ac/stadion/verein/3268/saison_id/2025,,,105,68,,,False,True,
3329,fc-famalicao,2025,Estádio Municipal de Famalicão,5186,5186,,,,,,1952,,Câmara Municipal de Famalicão,,Estádio Municipal de Famalicão,,Portugal,,Césped natural,,https://www.transfermarkt.es/fc-famalicao/stadion/verein/3329/saison_id/2025,Estádio Municipal 22 de Junho.,,105,68,,,False,False,
7179,cd-tondela,2025,Estádio João Cardoso,5000,5000,,,1,,,1990,,CD Tondela,,Estádio João Cardoso,,Portugal,,Césped natural,,https://www.transfermarkt.es/cd-tondela/stadion/verein/7179/saison_id/2025,Inferno das Beiras,,105,68,,,False,False,
8024,fc-arouca,2025,Estádio Municipal de Arouca,5000,5000,,,,,,2006,,Câmara Municipal de Arouca,,Estádio Municipal de Arouca,,Portugal,,Césped natural,,https://www.transfermarkt.es/fc-arouca/stadion/verein/8024/saison_id/2025,,,105,68,,,False,False,
110302,avs-futebol-sad,2025,Estádio do Clube Desportivo das Aves,6230,6230,,,,,,1981,,CD Aves,,Estádio do Clube Desportivo das Aves,,Portugal,,Césped natural,,https://www.transfermarkt.es/avs-futebol-sad/stadion/verein/110302/saison_id/2025,,,105,67,,,False,False,
