whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1915599,Estádio Municipal de Rio Maior,João Jorge Gândara Mendes Pereira,Rui Manuel Gomes Borges,0 : 1,0 : 2,6981,3107,Gustavo Correia,2025-08-08T21:15:00
1915600,Estádio Municipal de Braga,Carlos Vicens,Ivo Vieira,2 : 0,3 : 0,17174,2414,Cláudio Filipe Ruivo Pereira,2025-08-10T21:30:00
1915601,Estádio da Luz,José Mário dos Santos Mourinho Félix,Sotiris Silaidopoulos,0 : 0,1 : 1,57059,3140,Sérgio Guelho,2025-09-23T21:15:00
1915602,Estádio Municipal de Arouca,Vasco César Freire de Seabra,José Albano Ferreira da Mota,1 : 0,3 : 1,2003,3140,Sérgio Guelho,2025-08-09T21:30:00
1915603,Estádio António Coimbra da Mota,Ian Cathro,José Augusto Gonçalves Pinto de Almeida Faria,1 : 0,1 : 1,2781,2342,Anzhony Francisco Gonçalves Rodrigues,2025-08-11T19:45:00
1915604,Estádio Comendador Joaquim de Almeida Freitas,Vasco Maria de Albuquerque Botelho da Costa,Custódio Miguel Dias de Castro,1 : 1,2 : 1,2550,2427,Hélder Malheiro,2025-08-10T21:30:00
1915605,Estádio da Madeira,Tiago Miguel Carvalho Margarido,Paulo César da Silva Peixoto,0 : 2,0 : 2,1663,3368,David Rafael Oliveira da Silva,2025-08-09T16:30:00
1915606,Estádio Municipal 22 de Junho,Hugo Filipe Carvalho Oliveira,Vasco Miguel Lopes de Matos,2 : 0,3 : 0,4300,2380,Luís Miguel Branco Godinho,2025-08-10T18:00:00
1915607,Estádio do Dragão,Francesco Farioli,Luis Miguel Correia Pinto,2 : 0,3 : 0,48534,2353,António Nobre,2025-08-11T21:45:00
1915608,Estádio do Clube Desportivo das Aves,José Albano Ferreira da Mota,João Jorge Gândara Mendes Pereira,0 : 1,0 : 2,1225,2903,Pedro Ramalho,2025-08-15T16:45:00
1915609,Complexo Desportivo FC Alverca,Custódio Miguel Dias de Castro,Carlos Vicens,0 : 3,0 : 3,2776,3110,Miguel Bértolo Nogueira,2025-08-17T19:00:00
1915610,Estádio Cidade de Barcelos,Paulo César da Silva Peixoto,Francesco Farioli,0 : 1,0 : 2,11066,2722,Ricardo Jorge Antunes Roque Baixinho,2025-08-18T21:15:00
1915611,Estádio de São Miguel,Vasco Miguel Lopes de Matos,Vasco Maria de Albuquerque Botelho da Costa,0 : 1,0 : 1,1695,3368,David Rafael Oliveira da Silva,2025-08-17T19:00:00
