whoscored_match_id,match_date,season,competition,attendance,data_source
1915599,2025-08-08,2025/26,Primeira Liga,6981,whoscored
1915600,2025-08-10,2025/26,Primeira Liga,17174,whoscored
1915601,2025-09-23,2025/26,Primeira Liga,57059,whoscored
1915602,2025-08-09,2025/26,Primeira Liga,2003,whoscored
1915603,2025-08-11,2025/26,Primeira Liga,2781,whoscored
1915604,2025-08-10,2025/26,Primeira Liga,2550,whoscored
1915605,2025-08-09,2025/26,Primeira Liga,1663,whoscored
1915606,2025-08-10,2025/26,Primeira Liga,4300,whoscored
1915607,2025-08-11,2025/26,Primeira Liga,48534,whoscored
1915608,2025-08-15,2025/26,Primeira Liga,1225,whoscored
1915609,2025-08-17,2025/26,Primeira Liga,2776,whoscored
1915610,2025-08-18,2025/26,Primeira Liga,11066,whoscored
1915611,2025-08-17,2025/26,Primeira Liga,1695,whoscored
1915612,2025-08-17,2025/26,Primeira Liga,2452,whoscored
1915613,2025-08-16,2025/26,Primeira Liga,18926,whoscored
1915614,2025-08-17,2025/26,Primeira Liga,41986,whoscored
1915615,2025-08-16,2025/26,Primeira Liga,532,whoscored
1915616,2025-08-16,2025/26,Primeira Liga,6249,whoscored
1915617,2025-08-23,2025/26,Primeira Liga,4394,whoscored
1915618,2025-08-23,2025/26,Primeira Liga,1733,whoscored
1915619,2025-08-24,2025/26,Primeira Liga,4571,whoscored
1915620,2025-08-23,2025/26,Primeira Liga,61229,whoscored
1915621,2025-08-24,2025/26,Primeira Liga,15078,whoscored
1915622,2025-08-24,2025/26,Primeira Liga,49045,whoscored
1915623,2025-08-25,2025/26,Primeira Liga,3411,whoscored
1915624,2025-09-06,2025/26,Primeira Liga,1852,whoscored
1915625,2025-08-23,2025/26,Primeira Liga,4210,whoscored
1915626,2025-08-30,2025/26,Primeira Liga,1633,whoscored
1915627,2025-08-30,2025/26,Primeira Liga,1351,whoscored
1915628,2025-08-31,2025/26,Primeira Liga,6532,whoscored
1915629,2025-08-29,2025/26,Primeira Liga,5693,whoscored
1915630,2025-08-31,2025/26,Primeira Liga,1938,whoscored
1915631,2025-08-31,2025/26,Primeira Liga,2226,whoscored
1915632,2025-08-30,2025/26,Primeira Liga,14128,whoscored
1915633,2025-08-30,2025/26,Primeira Liga,50946,whoscored
1915634,2025-08-31,2025/26,Primeira Liga,3250,whoscored
1915635,2025-09-14,2025/26,Primeira Liga,3044,whoscored
1915636,2025-09-12,2025/26,Primeira Liga,2037,whoscored
1915637,2025-09-14,2025/26,Primeira Liga,1358,whoscored
1915638,2025-09-13,2025/26,Primeira Liga,4887,whoscored
1915639,2025-09-13,2025/26,Primeira Liga,1683,whoscored
1915640,2025-09-14,2025/26,Primeira Liga,14118,whoscored
1915641,2025-09-12,2025/26,Primeira Liga,59507,whoscored
1915642,2025-09-13,2025/26,Primeira Liga,1752,whoscored
1915643,2025-09-13,2025/26,Primeira Liga,47285,whoscored
1915644,2025-09-20,2025/26,Primeira Liga,5416,whoscored
1915645,2025-09-21,2025/26,Primeira Liga,1011,whoscored
1915646,2025-09-21,2025/26,Primeira Liga,7259,whoscored
1915647,2025-09-21,2025/26,Primeira Liga,1897,whoscored
1915648,2025-09-20,2025/26,Primeira Liga,1684,whoscored
1915649,2025-09-20,2025/26,Primeira Liga,1529,whoscored
1915650,2025-09-19,2025/26,Primeira Liga,4624,whoscored
1915651,2025-09-22,2025/26,Primeira Liga,41710,whoscored
1915652,2025-09-20,2025/26,Primeira Liga,25114,whoscored
1915653,2025-09-27,2025/26,Primeira Liga,4882,whoscored
1915654,2025-09-28,2025/26,Primeira Liga,2877,whoscored
1915655,2025-09-29,2025/26,Primeira Liga,4192,whoscored
1915656,2025-09-28,2025/26,Primeira Liga,3865,whoscored
1915657,2025-09-27,2025/26,Primeira Liga,1808,whoscored
1915658,2025-09-28,2025/26,Primeira Liga,13502,whoscored
1915659,2025-09-26,2025/26,Primeira Liga,57358,whoscored
1915660,2025-09-27,2025/26,Primeira Liga,1712,whoscored
