whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1915599,411677,9509,Patrick Sequeira,home,True,GK,1,27,190,84,False,,,7.92,30.0,20.0,,100.0,,,,,,,,,,,2.0,2.0,2.0,,,,50.0,,,,,,8.0,1.0,2.0,,4.0,1.0,whoscored
1915599,381509,9509,Gaizka Larrazabal,home,True,DR,72,28,181,73,False,,84.0,5.68,18.0,12.0,1.0,0.0,,,,,,,,,,,1.0,2.0,,1.0,,1.0,34.0,,,,4.0,2.0,,,,,,1.0,whoscored
1915599,355639,9509,Duplexe Tchamba,home,True,DC,2,27,191,78,False,,,7.73,39.0,30.0,,100.0,1.0,,1.0,,,,,2.0,1.0,3.0,8.0,4.0,2.0,,1.0,,66.0,,2.0,,1.0,1.0,,,,,,1.0,whoscored
1915599,19859,9509,José Fonte,home,True,DC,6,42,187,81,False,,,6.65,19.0,17.0,1.0,100.0,,,,,,,,1.0,1.0,1.0,4.0,4.0,2.0,1.0,,,28.0,,,,,,,,,,,1.0,whoscored
1915599,425322,9509,João Goulart,home,True,DC,4,26,191,88,False,,59.0,6.17,12.0,12.0,,100.0,,,,,,,,1.0,1.0,2.0,1.0,,,1.0,,,18.0,,,,,,,,,,,1.0,whoscored
1915599,515494,9509,Fahem Benaïssa-Yahia,home,True,DL,12,24,188,80,False,,84.0,6.37,17.0,15.0,,100.0,,,,,2.0,1.0,1.0,5.0,4.0,,5.0,,,2.0,1.0,1.0,36.0,,,1.0,4.0,2.0,,,,,,1.0,whoscored
1915599,300490,9509,Jérémy Livolant,home,True,MR,29,28,175,70,False,,,6.16,19.0,12.0,1.0,0.0,1.0,,,1.0,2.0,1.0,1.0,2.0,,,1.0,1.0,1.0,,2.0,,34.0,,,,1.0,1.0,,,,,,1.0,whoscored
1915599,389411,9509,Yassin Oukili,home,True,MC,20,25,195,88,False,,,6.29,28.0,24.0,,100.0,1.0,,,1.0,2.0,1.0,1.0,6.0,3.0,1.0,1.0,,,3.0,3.0,1.0,41.0,,,,,,,,,,,1.0,whoscored
1915599,433586,9509,Rafael Brito,home,True,MC,8,24,183,74,False,,59.0,6.05,14.0,12.0,,100.0,,,,,,,,2.0,1.0,,2.0,,,1.0,1.0,,23.0,,,,,,,,,,,1.0,whoscored
1915599,444286,9509,Kelian Nsona,home,True,ML,7,24,189,74,False,,73.0,5.81,12.0,7.0,,100.0,,,,,1.0,1.0,,1.0,,,,2.0,2.0,1.0,1.0,2.0,25.0,1.0,,,,,,,,,,1.0,whoscored
1915599,119543,9509,Cassiano,home,True,FW,90,36,184,87,False,,,6.16,14.0,10.0,1.0,100.0,,,,,2.0,1.0,1.0,,,,1.0,4.0,2.0,2.0,,,26.0,,,,,,,,,,,1.0,whoscored
1915599,558471,9509,Renato Nhaga,home,False,Sub,74,19,176,66,False,59.0,,5.81,22.0,16.0,,50.0,1.0,,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,28.0,,,,,,,,,,,2.0,whoscored
1915599,142237,9509,André Geraldes,home,False,Sub,18,35,180,70,False,59.0,,6.01,6.0,6.0,,100.0,,,,,,,,,,,1.0,1.0,,,,,8.0,,,,,,,,,,,1.0,whoscored
1915599,430400,9509,Miguel Sousa,home,False,Sub,14,27,176,69,False,84.0,,6.15,6.0,6.0,,100.0,,,,,,,,1.0,1.0,,,,,,,,8.0,,,,,,,,,,,2.0,whoscored
1915599,444230,9509,Max Svensson,home,False,Sub,9,24,182,75,False,84.0,,6.32,4.0,3.0,1.0,0.0,3.0,2.0,1.0,,1.0,,1.0,,,,,,,,,,10.0,,,,,,,,,,,1.0,whoscored
1915599,551921,9509,Korede Osundina,home,False,Sub,13,22,183,75,False,73.0,,6.34,8.0,6.0,1.0,100.0,,,,,3.0,2.0,1.0,,,,1.0,,,1.0,,,20.0,,,,3.0,3.0,,,,,,2.0,whoscored
1915599,141833,296,Rui Silva,away,True,GK,1,32,190,91,False,,,6.81,18.0,14.0,,100.0,,,,,,,,,,,,,,,,,24.0,,,,,,2.0,,,1.0,1.0,1.0,whoscored
1915599,444257,296,Iván Fresneda,away,True,DR,22,21,183,74,False,,,7.53,49.0,46.0,1.0,100.0,,,,,1.0,1.0,,6.0,5.0,,4.0,3.0,1.0,1.0,1.0,1.0,82.0,,1.0,,10.0,10.0,,,,,,1.0,whoscored
1915599,395992,296,Gonçalo Inácio,away,True,DC,25,24,186,78,False,,,7.24,86.0,83.0,1.0,100.0,,,,,1.0,1.0,,1.0,1.0,,4.0,4.0,1.0,2.0,,,93.0,,,,,,,,,,,1.0,whoscored
1915599,443663,296,Ousmane Diomande,away,True,DC,26,22,190,96,False,,60.0,6.73,40.0,36.0,,0.0,1.0,,,1.0,,,,1.0,,1.0,3.0,3.0,2.0,1.0,1.0,,49.0,,1.0,,,,,,,,,1.0,whoscored
1915599,460758,296,Maxi Araújo,away,True,DL,20,26,179,76,False,,55.0,6.91,23.0,21.0,,100.0,2.0,,2.0,,,,,1.0,1.0,1.0,,2.0,2.0,,,,44.0,,1.0,,8.0,8.0,,,,,,1.0,whoscored
1915599,403647,296,Morten Hjulmand,away,True,DMC,42,26,185,77,False,,,8.07,81.0,74.0,1.0,100.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,1.0,1.0,2.0,,,92.0,,1.0,,,,,,,,,1.0,whoscored
1915599,409279,296,Hidemasa Morita,away,True,DMC,5,31,177,69,False,,87.0,6.67,41.0,34.0,1.0,100.0,1.0,,,1.0,1.0,,1.0,1.0,,,2.0,1.0,,,1.0,,50.0,,,,,,,,,,,2.0,whoscored
1915599,425093,296,Geny Catamo,away,True,AMR,10,25,173,69,False,,60.0,6.35,20.0,15.0,,100.0,1.0,,1.0,,4.0,2.0,2.0,1.0,,,,,,1.0,1.0,1.0,31.0,,1.0,,,,,,,,,1.0,whoscored
1915599,368409,296,Trincão,away,True,AMC,17,26,184,76,True,,,9.21,56.0,46.0,5.0,100.0,4.0,2.0,1.0,1.0,4.0,2.0,2.0,1.0,1.0,,,,,1.0,,1.0,73.0,,,4.0,,,,,,,,1.0,whoscored
1915599,344378,296,Pote,away,True,AML,8,27,173,70,False,,86.0,7.98,41.0,31.0,4.0,100.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,,,,,,,2.0,2.0,59.0,,1.0,2.0,,,,,,,,1.0,whoscored
