whoscored_player_id,player_name,whoscored_team_id,team_name,position,shirt_no,season,competition,data_source
411677,Patrick Sequeira,9509,Casa Pia AC,GK,1,2025/26,Primeira Liga,whoscored
381509,Gaizka Larrazabal,9509,Casa Pia AC,DR,72,2025/26,Primeira Liga,whoscored
355639,Duplexe Tchamba,9509,Casa Pia AC,DC,2,2025/26,Primeira Liga,whoscored
19859,José Fonte,9509,Casa Pia AC,DC,6,2025/26,Primeira Liga,whoscored
425322,João Goulart,9509,Casa Pia AC,DC,4,2025/26,Primeira Liga,whoscored
515494,Fahem Benaïssa-Yahia,9509,Casa Pia AC,DL,12,2025/26,Primeira Liga,whoscored
300490,Jérémy Livolant,9509,Casa Pia AC,MR,29,2025/26,Primeira Liga,whoscored
389411,Yassin Oukili,9509,Casa Pia AC,MC,20,2025/26,Primeira Liga,whoscored
433586,Rafael Brito,9509,Casa Pia AC,MC,8,2025/26,Primeira Liga,whoscored
444286,Kelian Nsona,9509,Casa Pia AC,ML,7,2025/26,Primeira Liga,whoscored
119543,Cassiano,9509,Casa Pia AC,FW,90,2025/26,Primeira Liga,whoscored
558471,Renato Nhaga,9509,Casa Pia AC,Sub,74,2025/26,Primeira Liga,whoscored
142237,André Geraldes,9509,Casa Pia AC,Sub,18,2025/26,Primeira Liga,whoscored
430400,Miguel Sousa,9509,Casa Pia AC,Sub,14,2025/26,Primeira Liga,whoscored
444230,Max Svensson,9509,Casa Pia AC,Sub,9,2025/26,Primeira Liga,whoscored
551921,Korede Osundina,9509,Casa Pia AC,Sub,13,2025/26,Primeira Liga,whoscored
431018,Iyad Mohamed,9509,Casa Pia AC,Sub,24,2025/26,Primeira Liga,whoscored
514699,Daniel Azevedo,9509,Casa Pia AC,Sub,22,2025/26,Primeira Liga,whoscored
551938,Khaly,9509,Casa Pia AC,Sub,3,2025/26,Primeira Liga,whoscored
366432,Kaique Rocha,9509,Casa Pia AC,Sub,27,2025/26,Primeira Liga,whoscored
141833,Rui Silva,296,Sporting,GK,1,2025/26,Primeira Liga,whoscored
444257,Iván Fresneda,296,Sporting,DR,22,2025/26,Primeira Liga,whoscored
395992,Gonçalo Inácio,296,Sporting,DC,25,2025/26,Primeira Liga,whoscored
443663,Ousmane Diomande,296,Sporting,DC,26,2025/26,Primeira Liga,whoscored
460758,Maxi Araújo,296,Sporting,DL,20,2025/26,Primeira Liga,whoscored
403647,Morten Hjulmand,296,Sporting,DMC,42,2025/26,Primeira Liga,whoscored
409279,Hidemasa Morita,296,Sporting,DMC,5,2025/26,Primeira Liga,whoscored
425093,Geny Catamo,296,Sporting,AMR,10,2025/26,Primeira Liga,whoscored
368409,Trincão,296,Sporting,AMC,17,2025/26,Primeira Liga,whoscored
344378,Pote,296,Sporting,AML,8,2025/26,Primeira Liga,whoscored
402887,Luis Suárez,296,Sporting,FW,97,2025/26,Primeira Liga,whoscored
410633,Zeno Debast,296,Sporting,Sub,6,2025/26,Primeira Liga,whoscored
538807,Conrad Harder,296,Sporting,Sub,9,2025/26,Primeira Liga,whoscored
395346,Giorgi Kochorashvili,296,Sporting,Sub,14,2025/26,Primeira Liga,whoscored
509068,Geovany Quenda,296,Sporting,Sub,7,2025/26,Primeira Liga,whoscored
389108,Ricardo Mangas,296,Sporting,Sub,91,2025/26,Primeira Liga,whoscored
557549,Alisson Santos,296,Sporting,Sub,27,2025/26,Primeira Liga,whoscored
439734,Georgios Vagiannidis,296,Sporting,Sub,13,2025/26,Primeira Liga,whoscored
362852,João Virgínia,296,Sporting,Sub,12,2025/26,Primeira Liga,whoscored
394932,Eduardo Quaresma,296,Sporting,Sub,72,2025/26,Primeira Liga,whoscored
415682,Lukás Hornícek,288,Braga,GK,1,2025/26,Primeira Liga,whoscored
331609,Vítor Carvalho,288,Braga,DR,6,2025/26,Primeira Liga,whoscored
397464,Bright Arrey-Mbi,288,Braga,DC,26,2025/26,Primeira Liga,whoscored
83475,Paulo Oliveira,288,Braga,DC,15,2025/26,Primeira Liga,whoscored
444766,Leonardo Lelo,288,Braga,DL,5,2025/26,Primeira Liga,whoscored
422007,Roger Fernandes,288,Braga,MR,7,2025/26,Primeira Liga,whoscored
423976,Jean-Baptiste Gorby,288,Braga,MC,29,2025/26,Primeira Liga,whoscored
549606,Diego Rodrigues,288,Braga,MC,50,2025/26,Primeira Liga,whoscored
