id_whoscored,canonical_name,data_source
3107,Gustavo Correia,whoscored
2414,Cláudio Filipe Ruivo Pereira,whoscored
3140,Sérgio Guelho,whoscored
2342,Anzhony Francisco Gonçalves Rodrigues,whoscored
2427,Hélder Malheiro,whoscored
3368,David Rafael Oliveira da Silva,whoscored
2380,Luís Miguel Branco Godinho,whoscored
2353,António Nobre,whoscored
2903,Pedro Ramalho,whoscored
3110,Miguel Bértolo Nogueira,whoscored
2722,Ricardo Jorge Antunes Roque Baixinho,whoscored
5900,José Armando Torres Bessa,whoscored
2343,Fábio José Costa Veríssimo,whoscored
3847,Hélder Filipe Cláudio Carvalho,whoscored
5155,Bruno José Ribeiro Pires Costa,whoscored
3486,João António Ferreira Gonçalves,whoscored
2356,João Pinheiro,whoscored
2349,Carlos André Fernandes Macedo,whoscored
5795,Luís Carlos Mateus Filipe,whoscored
3003,Márcio André Dias Torres,whoscored
5363,Diogo Miguel Mauzinho Rosa,whoscored
5449,Miguel André Monteiro Fonseca,whoscored
2672,André Filipe Domingues da Silva Narciso,whoscored
2390,Iancu Vasilica,whoscored
