whoscored_team_id,team_name,season,competition,data_source
9509,Casa Pia AC,2025/26,Primeira Liga,whoscored
296,Sporting,2025/26,Primeira Liga,whoscored
288,Braga,2025/26,Primeira Liga,whoscored
8071,Tondela,2025/26,Primeira Liga,whoscored
299,Benfica,2025/26,Primeira Liga,whoscored
121,Rio Ave,2025/26,Primeira Liga,whoscored
5948,Arouca,2025/26,Primeira Liga,whoscored
2343,AVS Futebol SAD,2025/26,Primeira Liga,whoscored
2188,Estoril,2025/26,Primeira Liga,whoscored
28635,Estrela da Amadora,2025/26,Primeira Liga,whoscored
108,Moreirense,2025/26,Primeira Liga,whoscored
291,Alverca,2025/26,Primeira Liga,whoscored
936,Nacional,2025/26,Primeira Liga,whoscored
290,Gil Vicente,2025/26,Primeira Liga,whoscored
935,Famalicao,2025/26,Primeira Liga,whoscored
251,Santa Clara,2025/26,Primeira Liga,whoscored
297,Porto,2025/26,Primeira Liga,whoscored
107,Vitoria de Guimaraes,2025/26,Primeira Liga,whoscored
