team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url
142,real-saragossa,2024,Real Zaragoza,20071,20071,,,,,,,,,,Ibercaja Estadio,,,,Césped natural,,https://www.transfermarkt.es/real-saragossa/stadion/verein/142/saison_id/2024
630,racing-santander,2024,Real Racing Club,22308,22308,,,,,,,,Ayuntamiento de Santander,,El Sardinero,,,"12,00 mill. €",Césped natural,,https://www.transfermarkt.es/racing-santander/stadion/verein/630/saison_id/2024
648,cd-teneriffa,2024,CD Tenerife,22824,22824,,,,,,,,Cabildo Teneriffa,,Heliodoro Rodríguez López,,,,Césped natural,,https://www.transfermarkt.es/cd-teneriffa/stadion/verein/648/saison_id/2024
897,deportivo-la-coruna,2024,RC Deportivo de La Coruña,32912,32912,,,40,,,,,Ayuntamiento La Coruña,,Abanca Riazor,,,,Césped natural,,https://www.transfermarkt.es/deportivo-la-coruna/stadion/verein/897/saison_id/2024
993,fc-cordoba,2024,Córdoba CF,21822,21822,,,,,,,,,,Bahrain Victorious Nuevo Arcángel,,,,Césped natural,,https://www.transfermarkt.es/fc-cordoba/stadion/verein/993/saison_id/2024
1084,fc-malaga,2024,Málaga CF,30044,30044,,,,,,,,Andalusien,,La Rosaleda,,,,Césped natural,,https://www.transfermarkt.es/fc-malaga/stadion/verein/1084/saison_id/2024
1176,racing-ferrol,2024,Racing Club de Ferrol,12043,12043,,,,,,,,Ayuntamiento de Ferrol,,A Malata,,,"10,20 mill. €",Césped natural,,https://www.transfermarkt.es/racing-ferrol/stadion/verein/1176/saison_id/2024
1531,fc-elche,2024,Elche CF,31388,31388,,,22,,,,,,,Manuel Martínez Valero,,,,Césped natural,,https://www.transfermarkt.es/fc-elche/stadion/verein/1531/saison_id/2024
1532,albacete-balompie,2024,Albacete Balompié,16998,17000,,,,,,,,Stadt Albacete,,Carlos Belmonte,,,,Césped natural,,https://www.transfermarkt.es/albacete-balompie/stadion/verein/1532/saison_id/2024
1533,sd-eibar,2024,SD Eibar,8164,8164,,,,,,,,Ayuntamiento de Éibar,,Ipurua,,,,Césped híbrido,,https://www.transfermarkt.es/sd-eibar/stadion/verein/1533/saison_id/2024
1536,burgos-cf,2024,Burgos CF,12194,12194,,,,,,,,Ayuntamiento de Burgos,,El Plantío,,,,Césped natural,,https://www.transfermarkt.es/burgos-cf/stadion/verein/1536/saison_id/2024
2448,sporting-gijon,2024,Real Sporting de Gijón,29371,29371,,,,,,,,Ayuntamiento de Gijón,,El Molinón - Enrique Castro 'Quini',,,,Césped natural,,https://www.transfermarkt.es/sporting-gijon/stadion/verein/2448/saison_id/2024
2497,real-oviedo,2024,Real Oviedo,30500,30500,,,22,,,,,Ayuntamiento de Oviedo,,Carlos Tartiere,,,"48,00 mill. €",Césped natural,,https://www.transfermarkt.es/real-oviedo/stadion/verein/2497/saison_id/2024
2502,cd-castellon,2024,CD Castellón,15500,15500,,,,,,,,Ayuntamiento de Castellón de la Plana,,SkyFi Castalia,,,,Césped natural,,https://www.transfermarkt.es/cd-castellon/stadion/verein/2502/saison_id/2024
2687,fc-cadiz,2024,Cádiz CF,21094,21094,,,,,,,,Ayuntamiento de Cádiz,,JP Financial,,,,Césped natural,,https://www.transfermarkt.es/fc-cadiz/stadion/verein/2687/saison_id/2024
3302,ud-almeria,2024,UD Almería,18331,18331,,,,,,,,Ayuntamiento Almería,,UD Almería Stadium,,,,Césped natural,,https://www.transfermarkt.es/ud-almeria/stadion/verein/3302/saison_id/2024
3368,ud-levante,2024,Levante UD,26354,26354,,,16,,,,,"Levante Unión Deportiva, S.A.D.",,Ciutat de València,,,,Césped natural,,https://www.transfermarkt.es/ud-levante/stadion/verein/3368/saison_id/2024
5358,sd-huesca,2024,SD Huesca,9128,9128,,,,,,,,,,El Alcoraz,,,,Césped natural,,https://www.transfermarkt.es/sd-huesca/stadion/verein/5358/saison_id/2024
7077,fc-cartagena,2024,FC Cartagena,15105,15105,,,,,,,,Ayuntamiento de Cartagena,,Cartagonova,,,,Césped natural,,https://www.transfermarkt.es/fc-cartagena/stadion/verein/7077/saison_id/2024
12567,cd-eldense,2024,CD Eldense,5776,5776,,,,,,,,Ayuntamiento de Elda,,Nuevo Pepico Amat,,,,Césped natural,,https://www.transfermarkt.es/cd-eldense/stadion/verein/12567/saison_id/2024
13222,cd-mirandes,2024,CD Mirandés,5759,5759,,,,,,,,,,Anduva,,,693 mil €,Césped natural,,https://www.transfermarkt.es/cd-mirandes/stadion/verein/13222/saison_id/2024
16795,fc-granada,2024,Granada CF,19336,19336,,,,,,,,Ayuntamiento de Granada,,Nuevo Los Cármenes,,,,Césped natural,,https://www.transfermarkt.es/fc-granada/stadion/verein/16795/saison_id/2024
