team_id_tm,team_slug,season,stadium_name,capacity,seats_total,seats_covered,seats_vip,vip_boxes,seats_standing,inaugurated_year,built_year,refurbished_year,owner,operator,address,city,country,construction_cost,surface,architect,tm_url,previous_names_raw,id_transfermarkt_stadium,pitch_length_m,pitch_width_m,naming_rights,naming_rights_until,has_pitch_heating,has_athletics_track,capacity_intl
5,ac-mailand,2023,Giuseppe Meazza,75923,75923,,,304,,,1926,,Comune di Milano,,Giuseppe Meazza,,,"250,00 mill. €",Césped híbrido,,https://www.transfermarkt.es/ac-mailand/stadion/verein/5/saison_id/2023,San Siro,,105,68,,,True,False,
12,as-rom,2023,Olimpico di Roma,70634,70634,,,17,,,1937,,CONI,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/as-rom/stadion/verein/12/saison_id/2023,Stadio dei Cipressi,,105,66,,,True,True,
46,inter-mailand,2023,Giuseppe Meazza,75923,75923,,,304,,,1926,,Comune di Milano,,Giuseppe Meazza,,,,Césped híbrido,,https://www.transfermarkt.es/inter-mailand/stadion/verein/46/saison_id/2023,San Siro,,105,68,,,True,False,
252,genua-cfc,2023,Luigi Ferraris,34901,34901,,,,,,1911,,Comune di Genova,,Luigi Ferraris,,,,Césped natural,,https://www.transfermarkt.es/genua-cfc/stadion/verein/252/saison_id/2023,Campo di Via del Piano,,105,68,,,False,False,
276,hellas-verona,2023,Marcantonio Bentegodi,39211,39211,,,,,,1963,,Comune di Verona,,Marcantonio Bentegodi,,,,Césped natural,,https://www.transfermarkt.es/hellas-verona/stadion/verein/276/saison_id/2023,,,105,68,,,False,True,
380,us-salernitana-1919,2023,Arechi,29739,31300,,,,,,1990,,Comune di Salerno,,Arechi,,,,Césped natural,,https://www.transfermarkt.es/us-salernitana-1919/stadion/verein/380/saison_id/2023,,,105,68,,,False,False,
398,lazio-rom,2023,Olimpico di Roma,70634,70634,,,,,,1937,,Città di Roma,,Olimpico di Roma,,,,Césped natural,,https://www.transfermarkt.es/lazio-rom/stadion/verein/398/saison_id/2023,,,105,66,,,True,True,
410,udinese-calcio,2023,Bluenergy Stadium,25144,25144,,,,,,1976,,Udinese Calcio,,Bluenergy Stadium,,,,Césped natural,,https://www.transfermarkt.es/udinese-calcio/stadion/verein/410/saison_id/2023,"Stadio Friuli, Dacia Arena",,105,67,Dacia,,True,False,
416,fc-turin,2023,Olimpico Grande Torino,28177,28177,,,,,,1933,,Comune di Torino,,Olimpico Grande Torino,,,"30,00 mill. €",Césped natural,,https://www.transfermarkt.es/fc-turin/stadion/verein/416/saison_id/2023,,,105,68,,,False,False,
430,ac-florenz,2023,Artemio Franchi,43147,43147,,,,,,1930,,Comune di Firenze,,Artemio Franchi,,,,Césped natural,,https://www.transfermarkt.es/ac-florenz/stadion/verein/430/saison_id/2023,"Stadio Giovanni Berta
Stadio Comunale",,105,68,,,True,False,
506,juventus-turin,2023,Allianz Stadium,41507,41507,,,64,,,2011,,Juventus,,Allianz Stadium,,,"125,00 mill. €",Césped natural,,https://www.transfermarkt.es/juventus-turin/stadion/verein/506/saison_id/2023,Juventus Stadium,,105,68,Sportfive,,True,False,
749,fc-empoli,2023,Carlo Castellani,19847,16284,,,,,,1965,,Comune di Empoli,,Carlo Castellani,,,,Césped natural,,https://www.transfermarkt.es/fc-empoli/stadion/verein/749/saison_id/2023,,,105,67,,,False,True,
800,atalanta-bergamo,2023,New Balance Arena - Bergamo,24950,24950,,,,,,1928,,Atalanta BC,,New Balance Arena - Bergamo,,,,Césped natural,,https://www.transfermarkt.es/atalanta-bergamo/stadion/verein/800/saison_id/2023,"Stadio Mario Brumana, Stadio Comunale, Stadio Atleti Azzurri d'Italia, Gewiss Stadium",,105,68,,,True,False,
1005,us-lecce,2023,Ettore Giardiniero,31559,31559,,,94,,,1966,,Comune di Lecce,,Ettore Giardiniero,,,,Césped natural,,https://www.transfermarkt.es/us-lecce/stadion/verein/1005/saison_id/2023,Via del Mare,,105,68,,,False,True,
1025,fc-bologna,2023,Stadio Renato Dall’Ara,36462,36462,,,38,,,1927,,Comune di Bologna,,Stadio Renato Dall’Ara,,,,Césped natural,,https://www.transfermarkt.es/fc-bologna/stadion/verein/1025/saison_id/2023,"Stadio Littoriale, Stadio Comunale",,105,68,,,False,False,
1390,cagliari-calcio,2023,Unipol Domus,16416,16416,,,,,,2017,,Comune di Cagliari,,Unipol Domus,,,,Césped natural,,https://www.transfermarkt.es/cagliari-calcio/stadion/verein/1390/saison_id/2023,Sardegna Arena (2017-2021),,105,65,,,False,False,
