match_id_ss,player_id_ss,player_name,team_id_ss,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
13980073,,,,period,90,,,,,,,sofascore
13980073,1030829.0,Gvidas Gineitis,,card,90,,,,,,yellow,sofascore
13980073,,,,injuryTime,90,,,,,,,sofascore
13980073,941179.0,Niels Nkounkou,,card,89,,,,,,yellow,sofascore
13980073,,,,substitution,86,,,,,,regular,sofascore
13980073,924973.0,Kristian Thorstvedt,,card,86,,,,,,yellow,sofascore
13980073,,,,substitution,84,,,,,,regular,sofascore
13980073,,,,substitution,76,,,,,,regular,sofascore
13980073,,,,substitution,75,,,,,,regular,sofascore
13980073,934409.0,Marcus Pedersen,,goal,70,,,,,,regular,sofascore
13980073,,,,substitution,67,,,,,,regular,sofascore
13980073,341143.0,Giovanni Simeone,,goal,66,,,,,,regular,sofascore
13980073,1111640.0,Matteo Prati,,card,63,,,,,,yellow,sofascore
13980073,,,,substitution,63,,,,,,regular,sofascore
13980073,,,,substitution,59,,,,,,regular,sofascore
13980073,924973.0,Kristian Thorstvedt,,goal,51,,,,,,regular,sofascore
13980073,1165371.0,Luca Marianucci,,card,51,,,,,,yellow,sofascore
13980073,,,,period,45,,,,,,,sofascore
13980073,,,,injuryTime,45,,,,,,,sofascore
13980073,1154898.0,Luca Lipani,,card,38,,,,,,yellow,sofascore
13980088,,,,period,90,,,,,,,sofascore
13980088,1536811.0,Idrissa Gueye,,goal,90,,,,,,regular,sofascore
13980088,,,,injuryTime,90,,,,,,,sofascore
13980088,,,,substitution,88,,,,,,regular,sofascore
13980088,,,,substitution,78,,,,,,regular,sofascore
13980088,,,,substitution,73,,,,,,regular,sofascore
13980088,,,,substitution,65,,,,,,regular,sofascore
13980088,,,,substitution,62,,,,,,regular,sofascore
13980088,1138856.0,Adam Buksa,,goal,56,,,,,,regular,sofascore
13980088,,,,substitution,54,,,,,,regular,sofascore
13980088,945448.0,Zé Pedro,,card,53,,,,,,yellow,sofascore
13980088,,,,period,45,,,,,,,sofascore
13980088,,,,injuryTime,45,,,,,,,sofascore
13980088,609206.0,Kingsley Ehizibue,,card,44,,,,,,yellow,sofascore
13980088,928777.0,Michel Adopo,,varDecision,34,,,,,,penaltyAwarded,sofascore
13980090,,,,period,90,,,,,,,sofascore
13980090,,,,injuryTime,90,,,,,,,sofascore
13980090,37151.0,Henrikh Mkhitaryan,,card,85,,,,,,yellow,sofascore
13980090,,,,substitution,80,,,,,,regular,sofascore
13980090,,,,substitution,77,,,,,,regular,sofascore
13980090,37151.0,Henrikh Mkhitaryan,,goal,76,,,,,,regular,sofascore
13980090,1069244.0,Tijjani Noslin,,card,74,,,,,,yellow,sofascore
13980090,,,,substitution,63,,,,,,regular,sofascore
13980090,,,,substitution,62,,,,,,regular,sofascore
13980090,227864.0,Alessio Romagnoli,,card,59,,,,,,red,sofascore
13980090,227864.0,Alessio Romagnoli,,varDecision,58,,,,,,cardUpgrade,sofascore
13980090,,,,substitution,56,,,,,,regular,sofascore
13980090,826186.0,Luca Pellegrini,,card,48,,,,,,yellow,sofascore
13980090,,,,substitution,46,,,,,,regular,sofascore
13980090,,,,period,45,,,,,,,sofascore
13980090,1091303.0,Petar Sučić,,goal,39,,,,,,regular,sofascore
13980090,823984.0,Lautaro Martínez,,goal,6,,,,,,regular,sofascore
13980092,,,,period,90,,,,,,,sofascore
13980092,,,,injuryTime,90,,,,,,,sofascore
13980092,,,,substitution,86,,,,,,regular,sofascore
13980092,,,,substitution,83,,,,,,regular,sofascore
13980092,1392819.0,Gaby Jean,,card,82,,,,,,yellow,sofascore
13980092,979222.0,Francisco Conceição,,card,80,,,,,,yellow,sofascore
13980092,,,,substitution,77,,,,,,regular,sofascore
13980092,,,,substitution,76,,,,,,regular,sofascore
13980092,,,,substitution,75,,,,,,regular,sofascore
13980092,,,,substitution,70,,,,,,regular,sofascore
13980092,,,,substitution,62,,,,,,regular,sofascore
13980092,965330.0,Pierre Kalulu,,varDecision,61,,,,,,goalAwarded,sofascore
13980092,832208.0,Dušan Vlahović,,varDecision,49,,,,,,goalAwarded,sofascore
13980092,,,,period,45,,,,,,,sofascore
13980092,,,,injuryTime,45,,,,,,,sofascore
13980092,832208.0,Dušan Vlahović,,goal,1,,,,,,regular,sofascore
13980059,,,,period,90,,,,,,,sofascore
13980059,,,,injuryTime,90,,,,,,,sofascore
13980059,874812.0,Martin Frese,,card,89,,,,,,yellow,sofascore
13980059,,,,substitution,81,,,,,,regular,sofascore
13980059,,,,substitution,80,,,,,,regular,sofascore
