id_sofascore,canonical_name,team_id_ss,team_name,competition,season,source
3041.0,Raúl Albiol,,,Serie A,2025_2026,sofascore
14718.0,Lorenzo De Silvestri,,,Serie A,2025_2026,sofascore
14990.0,Edin Džeko,,,Serie A,2025_2026,sofascore
15466.0,Luka Modrić,,,Serie A,2025_2026,sofascore
35428.0,Pedro,,,Serie A,2025_2026,sofascore
37151.0,Henrikh Mkhitaryan,,,Serie A,2025_2026,sofascore
38162.0,Duván Zapata,,,Serie A,2025_2026,sofascore
44241.0,Nemanja Matić,,,Serie A,2025_2026,sofascore
44906.0,Łukasz Skorupski,,,Serie A,2025_2026,sofascore
45923.0,Ciro Immobile,,,Serie A,2025_2026,sofascore
45925.0,Stephan El Shaarawy,,,Serie A,2025_2026,sofascore
47743.0,Juan Cuadrado,,,Serie A,2025_2026,sofascore
58351.0,Christian Kabasele,,,Serie A,2025_2026,sofascore
70996.0,Kevin De Bruyne,,,Serie A,2025_2026,sofascore
76132.0,Milan Đurić,,,Serie A,2025_2026,sofascore
78893.0,Romelu Lukaku,,,Serie A,2025_2026,sofascore
91046.0,Stefan de Vrij,,,Serie A,2025_2026,sofascore
98059.0,Nicola Leali,,,Serie A,2025_2026,sofascore
98212.0,Charalampos Lykogiannis,,,Serie A,2025_2026,sofascore
100389.0,Marten de Roon,,,Serie A,2025_2026,sofascore
105905.0,Sulemana,,,Serie A,2025_2026,sofascore
108484.0,Juan Jesus,,,Serie A,2025_2026,sofascore
108673.0,Nicolae Stanciu,,,Serie A,2025_2026,sofascore
115516.0,Remo Freuler,,,Serie A,2025_2026,sofascore
116666.0,Antonio Caracciolo,,,Serie A,2025_2026,sofascore
123976.0,Sergi Roberto,,,Serie A,2025_2026,sofascore
125407.0,Álvaro Morata,,,Serie A,2025_2026,sofascore
126588.0,Filip Kostić,,,Serie A,2025_2026,sofascore
126816.0,Francesco Acerbi,,,Serie A,2025_2026,sofascore
132318.0,Davide Zappacosta,,,Serie A,2025_2026,sofascore
132645.0,Niclas Füllkrug,,,Serie A,2025_2026,sofascore
132704.0,Leonardo Pavoletti,,,Serie A,2025_2026,sofascore
135700.0,Hakan Çalhanoğlu,,,Serie A,2025_2026,sofascore
138605.0,Piotr Zieliński,,,Serie A,2025_2026,sofascore
139235.0,Adrien Tameze,,,Serie A,2025_2026,sofascore
139273.0,Daniele Rugani,,,Serie A,2025_2026,sofascore
