match_id_ss,player_id_ss,player_name,team_id_ss,minute,x,y,xg,result,shot_type,situation,data_source
13980073,941179,Niels Nkounkou,2696.0,90,11.0,34.6,0.0882,save,left-foot,fast-break,sofascore
13980073,1823916,Darryl Bakola,2793.0,89,12.5,34.8,0.0386,save,right-foot,regular,sofascore
13980073,1142612,Emirhan İlkhan,2696.0,82,3.3,47.1,0.8341,miss,head,fast-break,sofascore
13980073,38162,Duván Zapata,2696.0,82,10.5,67.0,0.065,miss,right-foot,fast-break,sofascore
13980073,932643,Armand Laurienté,2793.0,78,5.8,28.9,0.0219,save,left-foot,assisted,sofascore
13980073,934409,Marcus Pedersen,2696.0,70,3.7,55.5,0.5806,goal,head,regular,sofascore
13980073,341143,Giovanni Simeone,2696.0,69,18.1,30.3,0.0492,block,right-foot,fast-break,sofascore
13980073,341143,Giovanni Simeone,2696.0,66,8.2,52.4,0.2131,goal,head,assisted,sofascore
13980073,38162,Duván Zapata,2696.0,64,14.4,45.7,0.0239,miss,head,assisted,sofascore
13980073,341143,Giovanni Simeone,2696.0,62,8.9,45.0,0.342,post,head,assisted,sofascore
13980073,934409,Marcus Pedersen,2696.0,60,20.5,72.1,0.0221,block,left-foot,assisted,sofascore
13980073,826198,Andrea Pinamonti,2793.0,58,7.3,38.7,0.2193,miss,right-foot,assisted,sofascore
13980073,1030829,Gvidas Gineitis,2696.0,53,13.8,26.8,0.0368,miss,left-foot,regular,sofascore
13980073,924973,Kristian Thorstvedt,2793.0,51,6.4,46.2,0.8569,goal,left-foot,throw-in-set-piece,sofascore
13980073,44241,Nemanja Matić,2793.0,51,16.4,67.2,0.0389,block,left-foot,throw-in-set-piece,sofascore
13980073,1111640,Matteo Prati,2696.0,46,13.5,64.6,0.075,block,right-foot,assisted,sofascore
13980073,1111640,Matteo Prati,2696.0,41,10.5,46.2,0.0284,miss,head,corner,sofascore
13980073,341143,Giovanni Simeone,2696.0,39,9.0,58.6,0.0468,miss,head,assisted,sofascore
13980073,357596,Nikola Vlašić,2696.0,34,18.1,50.5,0.0449,block,left-foot,assisted,sofascore
13980073,1165371,Luca Marianucci,2696.0,33,24.3,71.1,0.0091,miss,right-foot,regular,sofascore
13980073,1154898,Luca Lipani,2793.0,28,21.6,61.2,0.047,block,right-foot,assisted,sofascore
13980073,1155625,Cristian Volpato,2793.0,25,15.7,47.1,0.1706,block,right-foot,fast-break,sofascore
13980073,932643,Armand Laurienté,2793.0,16,26.8,67.9,0.02,miss,right-foot,assisted,sofascore
13980073,826198,Andrea Pinamonti,2793.0,15,9.1,66.9,0.2348,miss,right-foot,regular,sofascore
13980073,1154898,Luca Lipani,2793.0,14,3.3,58.4,0.1336,save,right-foot,assisted,sofascore
