season,injury_type,date_from,date_until,days_absent,matches_missed,player_id,player_id_tm,player_name,club_name,club_id_tm,club_slug,squad_team_slug
22/23,Cirugía,2023-06-04,2023-07-09,36,2.0,303657,303657,Ionuț Radu,,,,
22/23,Distensión de muslo,2023-04-16,2023-04-23,8,2.0,303657,303657,Ionuț Radu,,,,
22/23,Lesión de codo,2022-10-14,2023-01-20,99,13.0,303657,303657,Ionuț Radu,,,,
20/21,Coronavirus,2020-10-09,2020-10-28,20,4.0,303657,303657,Ionuț Radu,,,,
18/19,Lesión desconocida,2019-03-08,2019-03-11,4,1.0,303657,303657,Ionuț Radu,,,,
16/17,Lesión de hombro,2016-09-01,2017-04-20,232,38.0,303657,303657,Ionuț Radu,,,,
22/23,Lesión muscular,2023-01-08,2023-02-03,27,5.0,28021,28021,Samir Handanovič,,,,
22/23,Lesión desconocida,2022-10-15,2022-10-20,6,,28021,28021,Samir Handanovič,,,,
21/22,Contractura,2022-04-26,2022-05-01,6,,28021,28021,Samir Handanovič,,,,
20/21,Coronavirus,2021-03-17,2021-03-29,13,,28021,28021,Samir Handanovič,,,,
19/20,Lesión en el dedo de la mano,2020-02-17,2020-03-01,14,2.0,28021,28021,Samir Handanovič,,,,
15/16,Gripe,2016-03-06,2016-03-09,4,1.0,28021,28021,Samir Handanovič,,,,
14/15,Hematoma en el pie,2015-02-23,2015-02-25,3,1.0,28021,28021,Samir Handanovič,,,,
12/13,Lesión meniscal,2012-08-17,2012-09-07,22,4.0,28021,28021,Samir Handanovič,,,,
24/25,Desgarro parcial del tendón rotuliano,2025-02-01,2025-04-22,81,10.0,552223,552223,Filip Stanković,,,,
22/23,Lesión de hombro,2023-02-15,2023-02-22,8,1.0,552223,552223,Filip Stanković,,,,
21/22,Traumatismo,2021-11-04,2021-11-18,15,1.0,552223,552223,Filip Stanković,,,,
21/22,Lesión de tobillo,2021-08-26,2021-09-30,36,5.0,552223,552223,Filip Stanković,,,,
25/26,Lesión de rodilla,2025-08-30,2025-09-26,28,4.0,27807,27807,Daniele Padelli,,,,
23/24,Problemas musculares,2023-08-19,2023-10-22,65,8.0,27807,27807,Daniele Padelli,,,,
21/22,Lesión desconocida,2022-01-18,2022-02-03,17,2.0,27807,27807,Daniele Padelli,,,,
20/21,Coronavirus,2020-11-07,2020-12-02,26,4.0,27807,27807,Daniele Padelli,,,,
25/26,Rotura de fibras en el aductor,2026-02-19,2026-04-02,43,4.0,204069,204069,Milan Škriniar,,,,
23/24,Lesión de tobillo,2024-01-04,2024-03-27,84,17.0,204069,204069,Milan Škriniar,,,,
22/23,Fractura de vértebra lumbar,2023-04-19,2023-05-31,43,11.0,204069,204069,Milan Škriniar,,,,
22/23,Problemas de espalda,2023-03-16,2023-04-19,35,9.0,204069,204069,Milan Škriniar,,,,
22/23,Lumbalgia,2023-02-24,2023-03-13,18,3.0,204069,204069,Milan Škriniar,,,,
21/22,Lesión muscular,2022-06-06,2022-07-11,36,2.0,204069,204069,Milan Škriniar,,,,
20/21,Cuarentena,2021-03-16,2021-03-22,7,,204069,204069,Milan Škriniar,,,,
20/21,Coronavirus,2020-10-07,2020-11-01,26,8.0,204069,204069,Milan Škriniar,,,,
25/26,Problemas de tobillo,2026-04-15,2026-04-24,10,2.0,315853,315853,Alessandro Bastoni,,,,
25/26,Moratón en la espinilla,2026-03-09,2026-03-25,17,1.0,315853,315853,Alessandro Bastoni,,,,
23/24,Cansancio muscular,2024-04-05,2024-04-09,5,1.0,315853,315853,Alessandro Bastoni,,,,
