id_transfermarkt,canonical_name,nationality,birth_date,position,competition,team_name,team_slug,team_id_tm,season,source
303657,Ionuț Radu,Rumania,1997-05-28,Portero,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
28021,Samir Handanovič,Eslovenia,1984-07-14,Portero,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
552223,Filip Stanković,Serbia,2002-02-25,Portero,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
27807,Daniele Padelli,Italia,1985-10-25,Portero,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
204069,Milan Škriniar,Eslovaquia,1995-02-11,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
315853,Alessandro Bastoni,Italia,1999-04-13,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
111196,Stefan de Vrij,Países Bajos,1992-02-05,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
55769,Danilo D'Ambrosio,Italia,1988-09-09,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
487834,Lorenzo Pirola,Italia,2002-02-20,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
44327,Andrea Ranocchia,Italia,1988-02-16,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
579299,Edoardo Sottini,Italia,2002-08-18,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
539632,Lorenzo Moretti,Italia,2002-02-26,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
614498,Fabio Cortinovis,Italia,2002-04-20,Defensa central,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
312862,Dalbert,Brasil,1993-09-08,Lateral izquierdo,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
46156,Aleksandar Kolarov,Serbia,1985-11-10,Lateral izquierdo,Serie A,inter-mailand,inter-mailand,,2020,transfermarkt
