whoscored_match_id,venue_name,manager_home,manager_away,ht_score,ft_score,attendance,referee_id_whoscored,referee_name,start_time
1901061,New Balance Arena,Ivan Juric,Alberto Gilardino,0 : 1,1 : 1,22235.0,6805,Alberto Arena,2025-08-24T20:45:00
1901062,Unipol Domus,Fabio Pisacane,Stefano Pioli,0 : 0,1 : 1,15723.0,3777,Simone Sozza,2025-08-24T18:30:00
1901063,Giuseppe Sinigaglia,Cesc Fàbregas,Maurizio Sarri,0 : 0,2 : 0,12055.0,1765,Gianluca Manganiello,2025-08-24T18:30:00
1901064,Luigi Ferraris,Patrick Vieira,Eusebio Di Francesco,0 : 0,0 : 0,32576.0,366,Davide Massa,2025-08-23T18:30:00
1901065,Stadio Giuseppe Meazza,Cristian Chivu,Marco Baroni,2 : 0,5 : 0,72332.0,400,Federico La Penna,2025-08-25T20:45:00
1901066,Allianz Stadium,Igor Tudor,Carlos Cuesta,0 : 0,2 : 0,41251.0,4923,Matteo Marcenaro,2025-08-24T19:45:00
1901067,Stadio Giuseppe Meazza,Massimiliano Allegri,Davide Nicola,1 : 1,1 : 2,75011.0,5888,Giuseppe Collu,2025-08-23T20:45:00
1901068,Stadio Olimpico,Gian Piero Gasperini,Vincenzo Italiano,0 : 0,1 : 0,63681.0,4910,Luca Zufferli,2025-08-23T20:45:00
1901069,MAPEI Stadium - Città del Tricolore,Fabio Grosso,Antonio Conte,0 : 1,0 : 2,19106.0,3921,Giovanni Ayroldi,2025-08-23T18:30:00
1901070,Bluenergy Stadium,Kosta Runjaic,Paolo Zanetti,0 : 0,1 : 1,20706.0,5861,Paride Tremolada,2025-08-25T18:30:00
1901071,Renato Dall'Ara,Vincenzo Italiano,Cesc Fàbregas,0 : 0,1 : 0,28369.0,360,Daniele Doveri,2025-08-30T18:30:00
1901072,Giovanni Zini,Davide Nicola,Fabio Grosso,2 : 0,3 : 2,10300.0,339,Marco Guida,2025-08-29T18:30:00
1901073,Luigi Ferraris,Patrick Vieira,Igor Tudor,0 : 0,0 : 1,33522.0,398,Daniele Chiffi,2025-08-31T18:30:00
1901074,Stadio Giuseppe Meazza,Cristian Chivu,Kosta Runjaic,1 : 2,1 : 2,70796.0,4416,Matteo Marchetti,2025-08-31T20:45:00
1901075,Stadio Olimpico,Maurizio Sarri,Paolo Zanetti,3 : 0,4 : 0,43603.0,6792,Valerio Crezzini,2025-08-31T20:45:00
1901076,Stadio Ettore Giardiniero - Via del Mare,Eusebio Di Francesco,Massimiliano Allegri,0 : 0,0 : 2,28227.0,2987,Livio Marinelli,2025-08-29T20:45:00
1901077,Diego Armando Maradona,Antonio Conte,Fabio Pisacane,0 : 0,1 : 0,50497.0,5893,Kevin Bonacina,2025-08-30T20:45:00
1901078,Ennio Tardini,Carlos Cuesta,Ivan Juric,0 : 0,1 : 1,17212.0,331,Maurizio Mariani,2025-08-30T18:30:00
1901079,Arena Garibaldi Romeo Anconetani,Alberto Gilardino,Gian Piero Gasperini,0 : 0,0 : 1,11554.0,5888,Giuseppe Collu,2025-08-30T20:45:00
1901080,Olimpico Grande Torino,Marco Baroni,Stefano Pioli,0 : 0,0 : 0,20127.0,383,Rosario Abisso,2025-08-31T18:30:00
1901081,New Balance Arena,Ivan Juric,Eusebio Di Francesco,1 : 0,4 : 1,21261.0,1765,Gianluca Manganiello,2025-09-14T15:00:00
1901082,Unipol Domus,Fabio Pisacane,Carlos Cuesta,1 : 0,2 : 0,16078.0,3007,Francesco Fourneau,2025-09-13T15:00:00
1901083,Giuseppe Sinigaglia,Cesc Fàbregas,Patrick Vieira,1 : 0,1 : 1,11858.0,2902,Marco Piccinini,2025-09-15T20:45:00
