whoscored_match_id,match_date,season,competition,attendance,data_source
1901061,2025-08-24,2025/26,Serie A,22235,whoscored
1901062,2025-08-24,2025/26,Serie A,15723,whoscored
1901063,2025-08-24,2025/26,Serie A,12055,whoscored
1901064,2025-08-23,2025/26,Serie A,32576,whoscored
1901065,2025-08-25,2025/26,Serie A,72332,whoscored
1901066,2025-08-24,2025/26,Serie A,41251,whoscored
1901067,2025-08-23,2025/26,Serie A,75011,whoscored
1901068,2025-08-23,2025/26,Serie A,63681,whoscored
1901069,2025-08-23,2025/26,Serie A,19106,whoscored
1901070,2025-08-25,2025/26,Serie A,20706,whoscored
1901071,2025-08-30,2025/26,Serie A,28369,whoscored
1901072,2025-08-29,2025/26,Serie A,10300,whoscored
1901073,2025-08-31,2025/26,Serie A,33522,whoscored
1901074,2025-08-31,2025/26,Serie A,70796,whoscored
1901075,2025-08-31,2025/26,Serie A,43603,whoscored
1901076,2025-08-29,2025/26,Serie A,28227,whoscored
1901077,2025-08-30,2025/26,Serie A,50497,whoscored
1901078,2025-08-30,2025/26,Serie A,17212,whoscored
1901079,2025-08-30,2025/26,Serie A,11554,whoscored
1901080,2025-08-31,2025/26,Serie A,20127,whoscored
1901081,2025-09-14,2025/26,Serie A,21261,whoscored
1901082,2025-09-13,2025/26,Serie A,16078,whoscored
1901083,2025-09-15,2025/26,Serie A,11858,whoscored
1901084,2025-09-13,2025/26,Serie A,21579,whoscored
1901085,2025-09-13,2025/26,Serie A,41664,whoscored
1901086,2025-09-14,2025/26,Serie A,69593,whoscored
1901087,2025-09-14,2025/26,Serie A,11126,whoscored
1901088,2025-09-14,2025/26,Serie A,62635,whoscored
1901089,2025-09-14,2025/26,Serie A,15016,whoscored
1901090,2025-09-15,2025/26,Serie A,21406,whoscored
1901091,2025-10-19,2025/26,Serie A,12039,whoscored
1901092,2025-09-21,2025/26,Serie A,18259,whoscored
1901093,2025-10-20,2025/26,Serie A,10860,whoscored
1901094,2025-10-19,2025/26,Serie A,30636,whoscored
1901095,2025-09-20,2025/26,Serie A,24201,whoscored
1901096,2025-10-18,2025/26,Serie A,25307,whoscored
1901097,2025-10-19,2025/26,Serie A,71475,whoscored
1901098,2025-09-20,2025/26,Serie A,27783,whoscored
1901099,2025-10-18,2025/26,Serie A,11557,whoscored
1901100,2025-09-20,2025/26,Serie A,27976,whoscored
1901101,2025-09-21,2025/26,Serie A,13548,whoscored
1901102,2025-10-18,2025/26,Serie A,65849,whoscored
1901103,2025-09-21,2025/26,Serie A,21158,whoscored
1901104,2025-09-21,2025/26,Serie A,68852,whoscored
1901106,2025-09-21,2025/26,Serie A,61000,whoscored
1901108,2025-09-19,2025/26,Serie A,26219,whoscored
1901110,2025-09-22,2025/26,Serie A,50312,whoscored
1901112,2025-09-27,2025/26,Serie A,16282,whoscored
1901114,2025-09-27,2025/26,Serie A,10534,whoscored
1901116,2025-09-29,2025/26,Serie A,30824,whoscored
1901118,2025-09-27,2025/26,Serie A,40893,whoscored
1901121,2025-09-28,2025/26,Serie A,24548,whoscored
1901123,2025-09-28,2025/26,Serie A,73754,whoscored
1901125,2025-09-29,2025/26,Serie A,17006,whoscored
1901127,2025-09-28,2025/26,Serie A,11210,whoscored
1901129,2025-09-28,2025/26,Serie A,62334,whoscored
1901131,2025-09-28,2025/26,Serie A,11160,whoscored
1901133,2025-10-04,2025/26,Serie A,23042,whoscored
1901135,2025-10-05,2025/26,Serie A,27972,whoscored
1901137,2025-10-05,2025/26,Serie A,20548,whoscored
1901139,2025-10-04,2025/26,Serie A,70750,whoscored
1901141,2025-10-05,2025/26,Serie A,41328,whoscored
1901143,2025-10-04,2025/26,Serie A,36000,whoscored
1901145,2025-10-05,2025/26,Serie A,50000,whoscored
1901147,2025-10-04,2025/26,Serie A,19580,whoscored
1901149,2025-10-05,2025/26,Serie A,18159,whoscored
1901151,2025-10-03,2025/26,Serie A,21963,whoscored
1901153,2025-10-19,2025/26,Serie A,22342,whoscored
1901155,2025-10-19,2025/26,Serie A,16168,whoscored
1901161,2025-10-18,2025/26,Serie A,26802,whoscored
1901163,2025-10-25,2025/26,Serie A,21441,whoscored
1901166,2025-10-26,2025/26,Serie A,24344,whoscored
1901168,2025-10-25,2025/26,Serie A,11052,whoscored
1901170,2025-10-26,2025/26,Serie A,19445,whoscored
1901172,2025-10-26,2025/26,Serie A,54000,whoscored
1901174,2025-10-24,2025/26,Serie A,72615,whoscored
1901176,2025-10-25,2025/26,Serie A,54200,whoscored
1901178,2025-10-25,2025/26,Serie A,18116,whoscored
1901180,2025-10-26,2025/26,Serie A,19674,whoscored
1901182,2025-10-26,2025/26,Serie A,23365,whoscored
1901184,2025-10-28,2025/26,Serie A,23157,whoscored
1901186,2025-10-29,2025/26,Serie A,25691,whoscored
1901188,2025-10-30,2025/26,Serie A,15563,whoscored
1901190,2025-10-29,2025/26,Serie A,10167,whoscored
1901192,2025-10-29,2025/26,Serie A,30083,whoscored
1901194,2025-10-29,2025/26,Serie A,71096,whoscored
1901196,2025-10-29,2025/26,Serie A,40034,whoscored
1901198,2025-10-28,2025/26,Serie A,25569,whoscored
1901200,2025-10-30,2025/26,Serie A,10101,whoscored
1901202,2025-10-29,2025/26,Serie A,61043,whoscored
