whoscored_match_id,whoscored_player_id,whoscored_team_id,player_name,side,is_starter,position,shirt_no,age,height_cm,weight_kg,is_man_of_the_match,subbed_in_minute,subbed_out_minute,rating,passes_total,passes_accurate,passes_key,pass_success_pct,shots_total,shots_on_target,shots_off_target,shots_blocked,dribbles_attempted,dribbles_won,dribbles_lost,tackles_total,tackles_successful,interceptions,clearances,aerials_total,aerials_won,fouls_committed,was_dribbled_past,dispossessed,touches,offsides_caught,corners_total,corners_accurate,throw_ins_total,throw_ins_accurate,saves_total,saves_parried_safe,saves_parried_danger,claims_high,collected,possession_pct,data_source
1901061,383278,300,Marco Carnesecchi,home,True,GK,29,25,191,83,False,,,6.67,28.0,21.0,,0.0,,,,,,,,,,,2.0,1.0,1.0,,,,38.0,,,,,,2.0,1.0,,1.0,1.0,1.0,whoscored
1901061,100962,300,Berat Djimsiti,home,True,DC,19,33,190,83,False,,,6.71,82.0,72.0,,0.0,1.0,,1.0,,1.0,1.0,,3.0,2.0,1.0,4.0,15.0,3.0,1.0,1.0,,99.0,,,,3.0,3.0,,,,,,1.0,whoscored
1901061,405133,300,Giorgio Scalvini,home,True,DC,42,22,194,76,False,,89.0,6.11,59.0,52.0,,100.0,1.0,,1.0,,2.0,1.0,1.0,1.0,1.0,,,3.0,1.0,3.0,,,71.0,,,,4.0,4.0,,,,,,1.0,whoscored
1901061,454908,300,Isak Hien,home,True,DC,4,27,191,83,False,,,6.89,50.0,46.0,,100.0,,,,,,,,3.0,3.0,2.0,6.0,9.0,3.0,1.0,,,71.0,,,,,,,,,,,1.0,whoscored
1901061,349184,300,Raoul Bellanova,home,True,DMR,16,26,188,82,False,,,7.07,34.0,29.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,,1.0,2.0,2.0,,,3.0,2.0,,,,62.0,,2.0,2.0,5.0,5.0,,,,,,1.0,whoscored
1901061,403913,300,Nicola Zalewski,home,True,DML,59,24,175,68,False,,,7.5,36.0,25.0,3.0,100.0,1.0,,1.0,,6.0,3.0,3.0,1.0,1.0,1.0,2.0,3.0,,,,1.0,73.0,,,,8.0,8.0,,,,,,1.0,whoscored
1901061,129903,300,Mario Pasalic,home,True,MC,8,31,188,77,False,,72.0,7.07,50.0,48.0,3.0,100.0,,,,,1.0,,1.0,2.0,1.0,,3.0,4.0,1.0,,1.0,,58.0,,,,,,,,,,,1.0,whoscored
1901061,85070,300,Marten de Roon,home,True,MC,15,35,186,76,False,,,6.66,79.0,70.0,1.0,100.0,2.0,,1.0,1.0,1.0,,1.0,,,1.0,5.0,3.0,1.0,1.0,,,91.0,,,,1.0,1.0,,,,,,3.0,whoscored
1901061,386390,300,Charles De Ketelaere,home,True,AMC,17,25,192,74,False,,85.0,6.39,41.0,37.0,1.0,100.0,3.0,,2.0,1.0,5.0,2.0,3.0,,,,,1.0,,,,3.0,61.0,,4.0,,1.0,,,,,,,1.0,whoscored
1901061,388493,300,Daniel Maldini,home,True,AMC,70,24,188,83,False,,72.0,6.54,19.0,15.0,2.0,100.0,3.0,1.0,2.0,,4.0,3.0,1.0,,,,,,,1.0,,2.0,39.0,,2.0,,,,,,,,,1.0,whoscored
1901061,302650,300,Gianluca Scamacca,home,True,FW,9,27,196,85,True,,73.0,8.76,20.0,14.0,1.0,0.0,7.0,4.0,3.0,,6.0,4.0,2.0,1.0,1.0,,,5.0,4.0,,,2.0,44.0,,1.0,,,,,,,,,1.0,whoscored
1901061,362556,300,Éderson,home,False,Sub,13,26,183,83,False,72.0,,6.24,20.0,17.0,,50.0,,,,,1.0,1.0,,1.0,,,1.0,,,1.0,1.0,,24.0,,1.0,,,,,,,,,2.0,whoscored
1901061,422135,300,Kamaldeen Sulemana,home,False,Sub,7,24,175,70,False,72.0,,6.85,14.0,13.0,,100.0,,,,,3.0,3.0,,1.0,1.0,,,2.0,1.0,1.0,,,21.0,,,,,,,,,,,1.0,whoscored
1901061,404252,300,Nikola Krstovic,home,False,Sub,90,26,185,83,False,73.0,,5.93,11.0,9.0,,100.0,,,,,,,,,,,,1.0,,,,,13.0,,,,,,,,,,,1.0,whoscored
1901061,393039,300,Lazar Samardzic,home,False,Sub,10,24,184,70,False,85.0,,5.96,7.0,7.0,,100.0,,,,,,,,1.0,,,,1.0,,,1.0,1.0,8.0,,,,,,,,,,,2.0,whoscored
1901061,384516,300,Odilon Kossounou,home,False,Sub,3,25,191,79,False,89.0,,6.0,2.0,2.0,,100.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,whoscored
1901061,326640,777,Adrian Semper,away,True,GK,1,28,194,89,False,,,7.46,41.0,27.0,,100.0,,,,,,,,,,,,1.0,1.0,,,,50.0,,,,,,5.0,2.0,,1.0,1.0,1.0,whoscored
1901061,423449,777,Simone Canestrelli,away,True,DC,5,25,192,85,False,,,6.84,35.0,27.0,,0.0,,,,,,,,3.0,2.0,1.0,6.0,2.0,2.0,,1.0,,50.0,,,,,,,,,,,1.0,whoscored
