whoscored_team_id,team_name,season,competition,data_source
300,Atalanta,2025/26,Serie A,whoscored
777,Pisa,2025/26,Serie A,whoscored
78,Cagliari,2025/26,Serie A,whoscored
73,Fiorentina,2025/26,Serie A,whoscored
1290,Como,2025/26,Serie A,whoscored
77,Lazio,2025/26,Serie A,whoscored
278,Genoa,2025/26,Serie A,whoscored
79,Lecce,2025/26,Serie A,whoscored
75,Inter,2025/26,Serie A,whoscored
72,Torino,2025/26,Serie A,whoscored
87,Juventus,2025/26,Serie A,whoscored
24341,Parma Calcio 1913,2025/26,Serie A,whoscored
80,AC Milan,2025/26,Serie A,whoscored
2731,Cremonese,2025/26,Serie A,whoscored
84,Roma,2025/26,Serie A,whoscored
71,Bologna,2025/26,Serie A,whoscored
2889,Sassuolo,2025/26,Serie A,whoscored
276,Napoli,2025/26,Serie A,whoscored
86,Udinese,2025/26,Serie A,whoscored
76,Verona,2025/26,Serie A,whoscored
