id_sofascore,id_understat,id_whoscored,attendance,temperature_c,humidity_pct,precipitation_mm,wind_speed_kmh,weather_code
8840527,,,,22.7,62,0.0,10.6,0
8840332,,,,15.1,93,1.1,3.1,61
8840337,,,,20.3,91,14.7,10.2,63
8848807,,,,21.5,69,0.0,1.9,51
8840331,,,,19.1,80,1.2,12.9,61
8840525,,,,13.9,98,5.0,4.5,63
8840330,,,,23.1,43,0.0,9.7,0
8840529,,,,18.0,67,0.0,5.3,0
8738502,13978,1463921,,18.2,76,0.0,9.0,2
8738497,13985,,,22.5,38,0.0,18.0,0
8738499,13982,1463925,,24.5,81,0.8,2.9,53
8738501,13980,1463923,,17.7,81,0.0,18.2,51
8738503,13984,1463927,,24.5,81,0.8,2.9,53
8840329,,,,24.3,80,42.5,5.7,63
8896747,,,,13.1,82,0.1,3.7,51
8896749,,,,18.1,71,0.0,10.0,0
8840335,,,,15.9,82,0.0,25.6,51
8896746,,,,22.5,62,0.0,5.3,0
8908893,,,,15.6,62,0.0,6.4,0
8896748,,,,21.6,72,0.0,19.3,0
8896743,,,,15.7,87,1.6,13.9,61
8840209,,,,24.2,82,0.0,5.7,2
8840198,,,,18.3,55,0.0,7.3,0
8840228,,,,15.2,85,11.6,7.3,63
8840203,,,,21.5,85,0.0,13.9,2
8840201,,,,9.1,83,1.9,12.0,61
8840226,,,,25.1,45,0.0,15.0,0
8738542,13990,1463933,,14.7,89,4.3,12.3,63
8738531,13996,1463939,,14.1,87,0.3,7.1,53
8738535,13994,1463937,,11.7,79,0.0,12.9,2
8738538,13995,1463938,,12.6,70,0.1,7.8,51
8738539,13988,,,13.0,82,0.0,9.1,51
8738541,13987,1463930,,14.3,81,0.1,11.9,51
8738528,13993,1463936,,14.5,91,2.8,21.6,61
8738537,13991,1463934,,14.1,80,2.0,9.8,61
8738543,13992,1463935,,14.0,82,0.0,12.3,51
8966136,,,,26.9,88,0.1,10.8,51
8909435,13989,1463932,,14.1,83,0.0,9.9,2
8802797,,1469910,,14.8,84,0.0,10.5,2
8966251,14136,,,16.5,85,0.0,7.2,2
8738557,14192,1463946,,23.5,57,0.0,7.9,0
8966258,14138,1492312,,24.4,61,0.0,26.2,0
8896967,14086,1485518,,14.1,85,0.0,10.9,2
8896805,,,,12.0,92,21.0,7.7,63
8802793,,,,14.4,91,0.0,6.5,3
8802798,,1469759,,13.8,87,0.0,5.1,51
8802791,,1469957,,14.1,90,0.0,6.2,51
8896988,14087,1485534,,14.1,85,0.0,10.9,2
8966329,14137,,,24.1,41,0.0,8.4,0
8896944,14090,1485188,,13.8,86,0.0,27.6,51
8896804,,,,12.4,85,0.2,25.9,51
8738555,14193,1463949,,17.8,51,0.0,10.2,0
8896949,14091,1485191,,14.1,85,0.0,10.9,2
8896992,14093,1485524,,14.4,87,0.0,11.3,2
8802796,,1469902,,16.2,81,0.0,6.7,2
8738558,14197,1463940,,18.6,53,0.0,13.5,0
8802792,,1469924,,19.9,55,0.0,3.1,0
8966256,,,,21.9,40,0.0,10.9,0
8738560,14199,1463945,,25.2,71,0.0,7.8,0
8802794,,1469944,,15.3,93,0.0,8.9,3
8802790,,1469897,,15.3,93,0.0,8.9,3
8896963,14092,1485190,,14.1,94,0.0,11.4,3
8738563,14196,,,18.1,68,0.0,9.7,0
8966252,14139,,,22.8,52,0.0,16.8,0
8738552,14195,1463944,,21.4,59,0.0,9.3,0
8738536,14200,1463948,,17.6,56,0.0,11.0,0
8802795,,1469925,,18.4,77,0.0,6.2,2
8966360,14144,,,22.0,62,0.0,6.2,0
8966253,,,,21.8,71,0.0,3.5,0
8738553,14198,1463947,,22.3,67,0.0,7.0,0
8896986,14094,1485536,,14.2,81,0.0,11.2,2
8896998,14095,1485522,,17.7,82,0.0,13.6,2
8957116,,,,20.0,87,0.0,9.5,2
8957120,,,,24.5,45,0.0,4.2,0
8856073,14201,1463926,,21.0,81,0.3,8.4,53
8957279,,,,17.5,64,0.0,10.9,0
8957106,,,,22.2,60,0.0,7.1,0
8850701,14202,1463929,,21.6,68,0.0,20.4,0
8957105,,,,28.9,58,0.0,17.9,0
8957311,,,,15.9,85,0.0,8.9,2
8957274,,,,23.4,64,0.0,15.0,0
8957107,,,,11.4,83,2.9,20.5,61
8966085,,,,19.0,75,0.8,5.2,53
8966115,,,,23.4,60,0.1,12.6,51
8858170,14203,1463924,,21.6,68,0.4,5.7,53
8981490,,,,13.2,53,0.0,16.7,0
8992318,,,,25.8,88,0.1,8.5,51
8966086,,,,8.6,85,21.5,39.4,63
8738548,14204,1463952,,23.8,53,0.8,10.5,53
8953805,,,,15.5,97,32.8,2.6,63
8805140,,1469986,,14.4,53,0.0,16.0,0
8833391,14173,1480995,,10.4,91,0.0,8.9,3
8833394,14176,1481001,,15.6,46,0.0,12.3,0
8833389,14179,1480996,,13.8,49,0.0,14.4,0
8953848,,,,19.3,92,1.5,17.4,61
8953863,,1490871,,18.6,97,33.0,10.6,63
8805155,,1469859,,13.5,70,0.0,19.3,0
8896928,14098,1485200,,10.1,98,0.2,18.2,51
8833405,14175,1481000,,13.7,55,0.0,10.0,0
8833400,14178,1481003,,14.8,66,0.0,11.3,0
8805145,,1469980,,14.2,76,0.0,23.3,2
8896947,14099,1485194,,15.5,81,0.0,20.8,2
8738572,14206,1463958,,18.0,84,0.1,8.4,51
8896970,14096,1485197,,11.5,92,0.0,18.8,3
8805174,,1469749,,18.7,42,0.0,12.5,0
8953991,,1490878,,23.1,66,0.1,5.9,51
8833396,14174,1480999,,16.1,47,0.0,10.8,0
8896915,14097,1485436,,10.3,99,0.9,20.3,53
8966272,14147,,,17.2,99,19.5,6.1,63
8738547,14205,1463951,,19.6,86,0.2,9.6,53
8805164,,1469805,,15.8,54,0.0,13.2,0
8833398,14177,1481002,,11.8,73,0.0,16.2,0
8805147,,1469967,,14.1,79,0.0,16.5,2
8953807,,1490868,,14.1,98,0.0,5.7,51
8896922,14101,1485201,,10.2,99,0.2,12.9,51
8966330,,,,21.0,59,0.0,14.7,0
8966259,14152,,,15.4,97,3.3,6.2,63
8953881,,1490875,,20.4,86,1.1,27.9,61
8738550,14211,,,15.9,94,0.1,12.4,51
8805144,,1469929,,14.9,86,0.0,20.9,2
8966273,14151,1492316,,18.9,65,0.0,9.9,0
8738549,14207,1463957,,22.3,85,4.0,5.4,63
8738575,14208,1463959,,15.0,64,0.0,10.2,0
8970313,14120,1495327,,20.9,62,0.3,1.3,53
8738551,14209,1463954,,16.3,48,0.0,10.8,0
8805150,,1469969,,13.6,91,0.0,20.2,3
8738546,14213,1463953,,18.7,84,0.5,6.2,53
8966262,,,,21.6,63,0.0,9.4,0
8953893,,1490873,,13.1,100,1.1,5.2,61
8805157,,1469807,,14.9,86,0.0,20.9,2
8738545,14212,1463956,,19.1,88,0.7,5.5,53
8970312,14121,1495317,,17.6,91,0.1,13.0,51
8966271,,,,14.0,84,1.0,7.5,53
8833393,14181,1480998,,13.7,66,0.0,13.0,0
8738574,14210,1463955,,20.4,79,0.0,9.1,51
8833390,14180,1480997,,14.3,66,0.0,14.2,0
8896919,14103,1485430,,11.6,98,0.1,13.9,51
8966517,14148,,,18.1,71,0.3,10.5,53
8897016,14102,1485439,,14.4,85,0.0,15.4,2
8896924,14100,1485472,,16.3,69,0.0,15.3,0
