team_id,team_slug,team_name
131,fc-barcelona,FC Barcelona
418,real-madrid,Real Madrid CF
13,atletico-madrid,Atlético de Madrid
368,fc-sevilla,Sevilla FC
681,real-sociedad-san-sebastian,Real Sociedad
1050,fc-villarreal,Villarreal CF
1049,fc-valencia,Valencia CF
150,real-betis-sevilla,Real Betis Balompié
621,athletic-bilbao,Athletic Club
3709,fc-getafe,Getafe CF
940,celta-vigo,RC Celta de Vigo
16795,fc-granada,Granada CF
3368,ud-levante,Levante UD
331,ca-osasuna,CA Osasuna
1533,sd-eibar,SD Eibar
1108,deportivo-alaves,Deportivo Alavés
5358,sd-huesca,SD Huesca
366,real-valladolid,Real Valladolid CF
2687,fc-cadiz,Cádiz CF
1531,fc-elche,Elche CF
714,espanyol-barcelona,RCD Espanyol
237,rcd-mallorca,RCD Mallorca
367,rayo-vallecano,Rayo Vallecano
12321,fc-girona,Girona FC
3302,ud-almeria,UD Almería
472,ud-las-palmas,UD Las Palmas
1244,cd-leganes,CD Leganés
