understat_match_id,understat_player_id,understat_team,player_name,minute,x,y,xg,result,shot_type,situation,side,last_action,player_assisted,season,source
29158,7350,Girona,Yangel Herrera,23,82.0,21.15,0.0187,Off T,Right Foot,Open Play,h,BallTouch,Viktor Tsygankov,2025,understat
29158,13005,Girona,Yáser Asprilla,27,79.17,24.07,0.0154,Blocked,Left Foot,Open Play,h,BallRecovery,,2025,understat
29158,10952,Girona,Joel Roca,56,95.76,39.37,0.518,Goal,Right Foot,Open Play,h,Pass,Viktor Tsygankov,2025,understat
29158,12721,Girona,Ladislav Krejcí,72,98.49,30.94,0.1215,Off T,Head,From Corner,h,Cross,Portu,2025,understat
29158,3425,Girona,Thomas Lemar,73,79.8,35.56,0.0263,Saved,Left Foot,Open Play,h,BallRecovery,,2025,understat
29158,6118,Girona,Portu,78,92.3,30.74,0.078,Blocked,Right Foot,Set Piece,h,Dispossessed,,2025,understat
29158,3425,Girona,Thomas Lemar,81,78.12,29.78,0.0174,Blocked,Left Foot,Open Play,h,Pass,Viktor Tsygankov,2025,understat
29158,5073,Rayo Vallecano,Florian Lejeune,10,93.66,32.44,0.0187,Off T,Head,From Corner,a,Aerial,Isi Palazón,2025,understat
29158,12863,Rayo Vallecano,Pedro Díaz,12,75.18,27.95,0.0141,Off T,Right Foot,Open Play,a,BallRecovery,Unai López,2025,understat
29158,8107,Rayo Vallecano,Jorge De Frutos,16,97.12,30.12,0.1367,Off T,Left Foot,Open Play,a,Pass,Andrei Ratiu,2025,understat
29158,8107,Rayo Vallecano,Jorge De Frutos,17,101.12,30.26,0.5869,Goal,Right Foot,Open Play,a,None,,2025,understat
29158,7071,Rayo Vallecano,Álvaro García,19,101.95,33.59,0.8397,Goal,Left Foot,Open Play,a,Pass,Jorge De Frutos,2025,understat
29158,9812,Rayo Vallecano,Isi Palazón,44,92.92,34.0,0.7433,Goal,Left Foot,Penalty,a,Standard,,2025,understat
29158,9815,Rayo Vallecano,Pathé Ciss,48,92.5,40.6,0.4513,Saved,Right Foot,Open Play,a,Throughball,Álvaro García,2025,understat
29158,9812,Rayo Vallecano,Isi Palazón,50,91.88,27.95,0.0136,Off T,Head,Open Play,a,Aerial,Pep Chavarría,2025,understat
29158,4091,Rayo Vallecano,Unai López,47,72.77,37.26,0.0179,Off T,Right Foot,Open Play,a,Pass,Pep Chavarría,2025,understat
29158,12863,Rayo Vallecano,Pedro Díaz,53,75.92,35.02,0.0149,Off T,Right Foot,From Corner,a,None,,2025,understat
29158,11087,Rayo Vallecano,Pep Chavarría,55,77.18,44.06,0.0228,Off T,Left Foot,Open Play,a,Pass,Isi Palazón,2025,understat
29158,12864,Rayo Vallecano,Pelayo Fernández,60,95.45,39.24,0.0571,Off T,Head,From Corner,a,Cross,Isi Palazón,2025,understat
29158,11087,Rayo Vallecano,Pep Chavarría,65,89.57,46.72,0.0626,Blocked,Left Foot,Open Play,a,Pass,Pedro Díaz,2025,understat
29158,9811,Rayo Vallecano,Óscar Valentín,88,90.72,22.85,0.1049,Off T,Right Foot,Open Play,a,Pass,Isi Palazón,2025,understat
29158,5073,Rayo Vallecano,Florian Lejeune,97,98.91,38.42,0.0906,Off T,Left Foot,Set Piece,a,Cross,Isi Palazón,2025,understat
29158,9815,Rayo Vallecano,Pathé Ciss,97,94.6,34.61,0.0784,Blocked,Right Foot,Set Piece,a,None,,2025,understat
29159,7070,Villarreal,Santiago Comesaña,2,98.91,31.82,0.5249,Off T,Right Foot,Open Play,h,Cross,Yeremi Pino,2025,understat
29159,11744,Villarreal,Sergi Cardona,4,95.02,41.0,0.0326,Off T,Head,From Corner,h,Cross,Yeremi Pino,2025,understat
29159,8696,Villarreal,Pape Alassane Gueye,8,78.12,25.64,0.017,Blocked,Right Foot,Open Play,h,Pass,Nicolas Pepe,2025,understat
29159,5656,Villarreal,Nicolas Pepe,9,93.24,20.74,0.0563,Saved,Left Foot,Open Play,h,BallTouch,Gerard Moreno,2025,understat
29159,2120,Villarreal,Gerard Moreno,10,85.68,36.31,0.0523,Saved,Right Foot,Open Play,h,Pass,Sergi Cardona,2025,understat
29159,11744,Villarreal,Sergi Cardona,19,94.08,47.46,0.0555,Off T,Left Foot,Open Play,h,HeadPass,Pape Alassane Gueye,2025,understat
29159,5656,Villarreal,Nicolas Pepe,21,95.13,25.77,0.3357,Saved,Left Foot,Open Play,h,Pass,Gerard Moreno,2025,understat
29159,7070,Villarreal,Santiago Comesaña,22,97.65,37.74,0.0491,Off T,Head,From Corner,h,Aerial,Yeremi Pino,2025,understat
29159,9024,Villarreal,Yeremi Pino,27,91.03,39.37,0.0777,Off T,Right Foot,Set Piece,h,Pass,Nicolas Pepe,2025,understat
29159,8696,Villarreal,Pape Alassane Gueye,27,102.06,41.21,0.0976,Saved,Left Foot,Set Piece,h,Rebound,Yeremi Pino,2025,understat
29159,10930,Villarreal,Etta Eyong,28,97.65,31.42,0.0631,Goal,Head,From Corner,h,None,,2025,understat
29159,10930,Villarreal,Etta Eyong,34,100.28,35.02,0.519,Off T,Right Foot,From Corner,h,HeadPass,Gerard Moreno,2025,understat
29159,8696,Villarreal,Pape Alassane Gueye,35,84.32,24.34,0.0424,Goal,Left Foot,Open Play,h,Pass,Nicolas Pepe,2025,understat
29159,5656,Villarreal,Nicolas Pepe,40,91.56,19.52,0.061,Saved,Left Foot,Open Play,h,Pass,Gerard Moreno,2025,understat
29159,2120,Villarreal,Gerard Moreno,44,86.2,31.96,0.0632,Blocked,Left Foot,Open Play,h,None,,2025,understat
29159,2120,Villarreal,Gerard Moreno,44,95.34,39.98,0.139,Saved,Left Foot,Open Play,h,Pass,Santiago Comesaña,2025,understat
29159,2120,Villarreal,Gerard Moreno,46,87.57,21.96,0.0488,Blocked,Left Foot,Open Play,h,Pass,Nicolas Pepe,2025,understat
29159,11744,Villarreal,Sergi Cardona,46,83.58,42.84,0.0229,Off T,Left Foot,Open Play,h,Rebound,,2025,understat
29159,13003,Villarreal,Santiago Mouriño,47,81.17,22.51,0.0244,Off T,Left Foot,Open Play,h,Pass,Gerard Moreno,2025,understat
29159,7070,Villarreal,Santiago Comesaña,47,95.76,34.2,0.0424,Off T,Head,From Corner,h,Aerial,Nicolas Pepe,2025,understat
29159,9024,Villarreal,Yeremi Pino,54,92.4,47.46,0.0474,Saved,Right Foot,Open Play,h,None,,2025,understat
29159,12322,Villarreal,Tajon Buchanan,58,97.23,29.65,0.1299,Off T,Right Foot,Open Play,h,Cross,Nicolas Pepe,2025,understat
29159,8696,Villarreal,Pape Alassane Gueye,60,76.33,25.64,0.0242,Off T,Left Foot,Open Play,h,Pass,Santiago Mouriño,2025,understat
29159,5656,Villarreal,Nicolas Pepe,79,76.23,23.73,0.0156,Saved,Left Foot,Open Play,h,Pass,Daniel Parejo,2025,understat
29159,2521,Villarreal,Alfonso,91,89.25,44.0,0.0743,Blocked,Right Foot,Open Play,h,Pass,Yeremi Pino,2025,understat
29159,813,Real Oviedo,Salomón Rondón,13,92.92,34.0,0.7433,Saved,Right Foot,Penalty,a,Standard,,2025,understat
29159,813,Real Oviedo,Salomón Rondón,18,99.96,39.51,0.044,Off T,Head,From Corner,a,Aerial,Alberto Reina,2025,understat
29159,13701,Real Oviedo,Ilyas Chaira,24,78.75,44.88,0.0165,Saved,Left Foot,Open Play,a,BallRecovery,Kwasi Sibo,2025,understat
29159,13701,Real Oviedo,Ilyas Chaira,53,82.74,44.27,0.0197,Saved,Right Foot,Open Play,a,None,,2025,understat
29159,13705,Real Oviedo,Federico Viñas,94,96.18,49.98,0.0323,Saved,Left Foot,Open Play,a,None,,2025,understat
29160,9002,Mallorca,Vedat Muriqi,20,93.98,30.33,0.4558,Saved,Left Foot,Open Play,h,Pass,Mateu Morey,2025,understat
29160,9970,Mallorca,Antonio Sánchez,49,91.14,37.67,0.0372,Off T,Head,From Corner,h,None,,2025,understat
29160,2584,Mallorca,Raíllo,56,91.03,36.72,0.0128,Off T,Head,Set Piece,h,Aerial,Sergi Darder,2025,understat
29160,7841,Mallorca,Dani Rodríguez,81,79.59,37.67,0.0235,Blocked,Right Foot,Open Play,h,Pass,Omar Mascarell,2025,understat
29160,8026,Barcelona,Raphinha,6,99.65,36.86,0.5028,Goal,Head,Open Play,a,Cross,Lamine Yamal,2025,understat
29160,11527,Barcelona,Lamine Yamal,22,81.69,22.85,0.0291,Blocked,Left Foot,Open Play,a,Pass,Pedri,2025,understat
