event_id,match_id,player_id,team_id,event_type,minute,second,x,y,end_x,end_y,outcome,data_source
9311,1536,442,10,goal,80,,,,,,regular,sofascore
9312,1536,62,10,varDecision,58,,,,,,penaltyAwarded,sofascore
9313,1537,106,6,card,90,,,,,,yellow,sofascore
9314,1537,605,6,card,71,,,,,,yellow,sofascore
9315,1537,98,6,card,63,,,,,,yellow,sofascore
9316,1537,611,6,goal,44,,,,,,regular,sofascore
9317,1538,38,11,card,90,,,,,,yellow,sofascore
9318,1538,374,11,card,90,,,,,,yellow,sofascore
9319,1538,41,11,card,90,,,,,,yellow,sofascore
9320,1538,40,11,card,87,,,,,,yellow,sofascore
9321,1538,20,11,card,83,,,,,,yellow,sofascore
9322,1538,370,11,card,56,,,,,,yellow,sofascore
9323,1538,386,11,card,55,,,,,,yellow,sofascore
9324,1538,6,11,card,24,,,,,,yellow,sofascore
9325,1538,373,11,card,7,,,,,,yellow,sofascore
9326,1539,328,17,card,90,,,,,,yellow,sofascore
9327,1539,574,17,card,90,,,,,,yellow,sofascore
9328,1539,564,17,card,90,,,,,,yellow,sofascore
9329,1539,574,17,varDecision,90,,,,,,mistakenIdentity,sofascore
9330,1539,574,17,goal,79,,,,,,penalty,sofascore
9331,1539,564,17,varDecision,76,,,,,,penaltyAwarded,sofascore
9332,1539,313,17,card,75,,,,,,yellow,sofascore
9333,1539,558,17,card,69,,,,,,yellow,sofascore
9334,1539,351,17,card,41,,,,,,yellow,sofascore
9335,1540,307,3,goal,45,,,,,,regular,sofascore
9336,1540,639,3,card,35,,,,,,yellow,sofascore
9337,1540,309,3,goal,31,,,,,,regular,sofascore
9338,1540,309,3,goal,23,,,,,,regular,sofascore
9339,1541,134,9,goal,90,,,,,,regular,sofascore
9340,1541,224,9,card,82,,,,,,yellow,sofascore
9341,1541,163,9,goal,68,,,,,,regular,sofascore
9342,1541,230,9,card,39,,,,,,yellow,sofascore
9343,1541,216,9,goal,11,,,,,,regular,sofascore
9344,1542,187,22,card,88,,,,,,yellow,sofascore
9345,1542,195,22,goal,61,,,,,,penalty,sofascore
9346,1542,172,22,card,53,,,,,,yellow,sofascore
9347,1542,208,22,goal,51,,,,,,regular,sofascore
9348,1542,250,22,goal,45,,,,,,regular,sofascore
9349,1542,175,22,card,45,,,,,,yellow,sofascore
9350,1542,270,22,goal,37,,,,,,regular,sofascore
