understat_shot_id,understat_match_id,understat_player_id,player_name,minute,x,y,xg,result,shot_type,situation,side,season
637534,29158,7350,Yangel Herrera,23,0.7809999847412109,0.3110000038146973,0.018670575693249702,MissedShots,RightFoot,OpenPlay,h,2025
637535,29158,13005,Yáser Asprilla,27,0.754000015258789,0.35400001525878905,0.015352313406765461,BlockedShot,LeftFoot,OpenPlay,h,2025
637542,29158,10952,Joel Roca,56,0.9119999694824219,0.5790000152587891,0.5180198550224304,Goal,RightFoot,OpenPlay,h,2025
637545,29158,12721,Ladislav Krejcí,72,0.9380000305175781,0.455,0.12153472751379013,MissedShots,Head,FromCorner,h,2025
637546,29158,3425,Thomas Lemar,73,0.76,0.5229999923706055,0.026325639337301254,SavedShot,LeftFoot,OpenPlay,h,2025
637547,29158,6118,Portu,78,0.879000015258789,0.4520000076293945,0.07796908915042877,BlockedShot,RightFoot,SetPiece,h,2025
637548,29158,3425,Thomas Lemar,81,0.7440000152587891,0.4379999923706055,0.017431804910302162,BlockedShot,LeftFoot,OpenPlay,h,2025
637529,29158,5073,Florian Lejeune,10,0.8919999694824219,0.47700000762939454,0.018711484968662262,MissedShots,Head,FromCorner,a,2025
637530,29158,12863,Pedro Díaz,12,0.715999984741211,0.4109999847412109,0.014120400883257389,MissedShots,RightFoot,OpenPlay,a,2025
637531,29158,8107,Jorge De Frutos,16,0.925,0.44299999237060544,0.13669876754283905,MissedShots,LeftFoot,OpenPlay,a,2025
637532,29158,8107,Jorge De Frutos,17,0.9630000305175781,0.445,0.5869128704071045,Goal,RightFoot,OpenPlay,a,2025
637533,29158,7071,Álvaro García,19,0.970999984741211,0.49400001525878906,0.8397001028060913,Goal,LeftFoot,OpenPlay,a,2025
637536,29158,9812,Isi Palazón,44,0.885,0.5,0.7432776093482971,Goal,LeftFoot,Penalty,a,2025
637537,29158,9815,Pathé Ciss,48,0.8809999847412109,0.5970000076293945,0.4513319134712219,SavedShot,RightFoot,OpenPlay,a,2025
637538,29158,9812,Isi Palazón,50,0.875,0.4109999847412109,0.01360898744314909,MissedShots,Head,OpenPlay,a,2025
637539,29158,4091,Unai López,47,0.6930000305175781,0.5479999923706055,0.017879988998174667,MissedShots,RightFoot,OpenPlay,a,2025
637540,29158,12863,Pedro Díaz,53,0.7230000305175781,0.515,0.014949648641049862,MissedShots,RightFoot,FromCorner,a,2025
637541,29158,11087,Pep Chavarría,55,0.735,0.6480000305175782,0.02281750738620758,MissedShots,LeftFoot,OpenPlay,a,2025
637543,29158,12864,Pelayo Fernández,60,0.909000015258789,0.5770000076293945,0.05708131566643715,MissedShots,Head,FromCorner,a,2025
637544,29158,11087,Pep Chavarría,65,0.8530000305175781,0.6869999694824219,0.06257011741399765,BlockedShot,LeftFoot,OpenPlay,a,2025
637549,29158,9811,Óscar Valentín,88,0.8640000152587891,0.33599998474121096,0.1048586294054985,MissedShots,RightFoot,OpenPlay,a,2025
637550,29158,5073,Florian Lejeune,97,0.9419999694824219,0.565,0.09062767028808594,MissedShots,LeftFoot,SetPiece,a,2025
637551,29158,9815,Pathé Ciss,97,0.9009999847412109,0.509000015258789,0.07840021699666977,BlockedShot,RightFoot,SetPiece,a,2025
637552,29159,7070,Santiago Comesaña,2,0.9419999694824219,0.46799999237060547,0.5248637199401855,MissedShots,RightFoot,OpenPlay,h,2025
637553,29159,11744,Sergi Cardona,4,0.905,0.6029999923706054,0.03263436257839203,MissedShots,Head,FromCorner,h,2025
637554,29159,8696,Pape Alassane Gueye,8,0.7440000152587891,0.3770000076293945,0.01704014465212822,BlockedShot,RightFoot,OpenPlay,h,2025
637555,29159,5656,Nicolas Pepe,9,0.8880000305175781,0.305,0.056252218782901764,SavedShot,LeftFoot,OpenPlay,h,2025
637556,29159,2120,Gerard Moreno,10,0.8159999847412109,0.534000015258789,0.05229215323925018,SavedShot,RightFoot,OpenPlay,h,2025
637559,29159,11744,Sergi Cardona,19,0.8959999847412109,0.6980000305175781,0.05546760559082031,MissedShots,LeftFoot,OpenPlay,h,2025
637560,29159,5656,Nicolas Pepe,21,0.9059999847412109,0.37900001525878907,0.3357270061969757,SavedShot,LeftFoot,OpenPlay,h,2025
637561,29159,7070,Santiago Comesaña,22,0.93,0.555,0.049053631722927094,MissedShots,Head,FromCorner,h,2025
637563,29159,9024,Yeremi Pino,27,0.8669999694824219,0.5790000152587891,0.07771889120340347,MissedShots,RightFoot,SetPiece,h,2025
637564,29159,8696,Pape Alassane Gueye,27,0.9719999694824218,0.605999984741211,0.09761541336774826,SavedShot,LeftFoot,SetPiece,h,2025
637565,29159,10930,Etta Eyong,28,0.93,0.4620000076293945,0.0631013885140419,Goal,Head,FromCorner,h,2025
637566,29159,10930,Etta Eyong,34,0.955,0.515,0.5190448760986328,MissedShots,RightFoot,FromCorner,h,2025
637567,29159,8696,Pape Alassane Gueye,35,0.8030000305175782,0.3579999923706055,0.04240387678146362,Goal,LeftFoot,OpenPlay,h,2025
637568,29159,5656,Nicolas Pepe,40,0.8719999694824219,0.28700000762939454,0.0610237792134285,SavedShot,LeftFoot,OpenPlay,h,2025
637569,29159,2120,Gerard Moreno,44,0.8209999847412109,0.47,0.06315585225820541,BlockedShot,LeftFoot,OpenPlay,h,2025
637570,29159,2120,Gerard Moreno,44,0.9080000305175782,0.5879999923706055,0.13901132345199585,SavedShot,LeftFoot,OpenPlay,h,2025
637571,29159,2120,Gerard Moreno,46,0.8340000152587891,0.32299999237060545,0.04882168024778366,BlockedShot,LeftFoot,OpenPlay,h,2025
637572,29159,11744,Sergi Cardona,46,0.7959999847412109,0.63,0.022853752598166466,MissedShots,LeftFoot,OpenPlay,h,2025
637573,29159,13003,Santiago Mouriño,47,0.7730000305175782,0.33099998474121095,0.024388747289776802,MissedShots,LeftFoot,OpenPlay,h,2025
637574,29159,7070,Santiago Comesaña,47,0.9119999694824219,0.5029999923706054,0.04237977787852287,MissedShots,Head,FromCorner,h,2025
637576,29159,9024,Yeremi Pino,54,0.88,0.6980000305175781,0.0473523810505867,SavedShot,RightFoot,OpenPlay,h,2025
