understat_match_id,season,datetime,home_team,away_team,home_team_id,away_team_id,home_goals,away_goals,home_xg,away_xg
29538,2025,2025-08-15 18:45:00,Rennes,Marseille,163,164,1,0,1.31418,2.07298
29539,2025,2025-08-16 15:00:00,Lens,Lyon,210,178,0,1,1.87447,1.615
29540,2025,2025-08-16 17:00:00,Monaco,Le Havre,171,282,3,1,1.88048,0.427494
29541,2025,2025-08-16 19:05:00,Nice,Toulouse,170,174,0,1,0.95554,0.56945
29542,2025,2025-08-17 13:00:00,Brest,Lille,241,160,3,3,1.49573,1.84218
29543,2025,2025-08-17 15:15:00,Auxerre,Lorient,275,179,1,0,1.4925,1.84516
29544,2025,2025-08-17 15:15:00,Angers,Paris FC,167,290,1,0,0.82142,0.71125
29545,2025,2025-08-17 15:15:00,Metz,Strasbourg,180,225,0,1,0.184483,0.731013
29546,2025,2025-08-17 18:45:00,Nantes,Paris Saint Germain,168,161,0,1,0.124428,1.35682
29547,2025,2025-08-22 18:45:00,Paris Saint Germain,Angers,161,167,1,0,2.0878,0.176876
29548,2025,2025-08-23 15:00:00,Marseille,Paris FC,164,290,5,2,3.337,1.05457
29549,2025,2025-08-23 17:00:00,Nice,Auxerre,170,275,3,1,2.66284,2.24407
29550,2025,2025-08-23 19:05:00,Lyon,Metz,178,180,3,0,2.35479,0.504863
29551,2025,2025-08-24 13:00:00,Lorient,Rennes,179,163,4,0,3.4466,0.0728372
29552,2025,2025-08-24 15:15:00,Strasbourg,Nantes,225,168,1,0,1.81743,0.425423
29553,2025,2025-08-24 15:15:00,Le Havre,Lens,282,210,1,2,2.0398,1.29098
29554,2025,2025-08-24 15:15:00,Toulouse,Brest,174,241,2,0,1.32432,0.750148
29555,2025,2025-08-24 18:45:00,Lille,Monaco,160,171,1,0,2.41091,1.52213
29556,2025,2025-08-29 18:45:00,Lens,Brest,210,241,3,1,4.42054,0.963409
29557,2025,2025-08-30 15:00:00,Lorient,Lille,179,160,1,7,1.1603,3.70255
29558,2025,2025-08-30 17:00:00,Nantes,Auxerre,168,275,1,0,0.418091,1.10996
29559,2025,2025-08-30 19:05:00,Toulouse,Paris Saint Germain,174,161,3,6,2.33006,2.49609
29560,2025,2025-08-31 13:00:00,Angers,Rennes,167,163,1,1,1.58619,1.73758
29561,2025,2025-08-31 15:15:00,Le Havre,Nice,282,170,3,1,1.75553,0.715595
29562,2025,2025-08-31 15:15:00,Paris FC,Metz,290,180,3,2,3.39898,1.6248
29563,2025,2025-08-31 15:15:00,Monaco,Strasbourg,171,225,3,2,2.35547,1.7732
29564,2025,2025-08-31 18:45:00,Lyon,Marseille,178,164,1,0,3.15727,0.896862
29568,2025,2025-09-12 18:45:00,Marseille,Lorient,164,179,4,0,2.83367,0.187377
29570,2025,2025-09-13 15:00:00,Nice,Nantes,170,168,1,0,2.34645,0.775945
29565,2025,2025-09-13 19:05:00,Auxerre,Monaco,275,171,1,2,0.904229,1.62646
29567,2025,2025-09-14 13:00:00,Lille,Toulouse,160,174,2,1,2.42116,1.15678
29566,2025,2025-09-14 15:15:00,Brest,Paris FC,241,290,1,2,2.60519,1.85008
29569,2025,2025-09-14 15:15:00,Metz,Angers,180,167,1,1,1.76271,1.98184
29571,2025,2025-09-14 15:15:00,Paris Saint Germain,Lens,161,210,2,0,1.05815,1.2242
29573,2025,2025-09-14 15:15:00,Strasbourg,Le Havre,225,282,1,0,1.43354,0.524832
29572,2025,2025-09-14 18:45:00,Rennes,Lyon,163,178,3,1,2.20918,1.7381
29578,2025,2025-09-19 18:45:00,Lyon,Angers,178,167,1,0,2.20483,0.677354
29581,2025,2025-09-20 15:00:00,Nantes,Rennes,168,163,2,2,2.65629,1.44041
29575,2025,2025-09-20 17:00:00,Brest,Nice,241,170,4,1,2.07376,2.26393
29577,2025,2025-09-20 19:05:00,Lens,Lille,210,160,3,0,3.8174,1.89889
29582,2025,2025-09-21 13:00:00,Paris FC,Strasbourg,290,225,2,3,1.9014,2.46459
29574,2025,2025-09-21 15:15:00,Auxerre,Toulouse,275,174,1,0,0.883373,1.50957
29576,2025,2025-09-21 15:15:00,Le Havre,Lorient,282,179,1,1,2.23396,1.26993
29580,2025,2025-09-21 15:15:00,Monaco,Metz,171,180,5,2,3.497,1.91296
29579,2025,2025-09-22 18:45:00,Marseille,Paris Saint Germain,164,161,1,0,1.77744,0.919565
29590,2025,2025-09-26 18:45:00,Strasbourg,Marseille,225,164,1,2,1.0976,2.00258
29585,2025,2025-09-27 15:00:00,Lorient,Monaco,179,171,3,1,2.09364,0.894035
29591,2025,2025-09-27 17:00:00,Toulouse,Nantes,174,168,2,2,1.98573,1.8303
29588,2025,2025-09-27 19:05:00,Paris Saint Germain,Auxerre,161,275,2,0,2.11672,0.73132
29587,2025,2025-09-28 13:00:00,Nice,Paris FC,170,290,1,1,1.36997,1.49444
29583,2025,2025-09-28 15:15:00,Angers,Brest,167,241,0,2,0.501827,1.34192
29584,2025,2025-09-28 15:15:00,Lille,Lyon,160,178,0,1,1.65271,0.642572
29586,2025,2025-09-28 15:15:00,Metz,Le Havre,180,282,0,0,0.39939,0.395921
29589,2025,2025-09-28 18:45:00,Rennes,Lens,163,210,0,0,1.57438,1.51932
29599,2025,2025-10-03 18:45:00,Paris FC,Lorient,290,179,2,0,1.83687,0.855852
29597,2025,2025-10-04 15:00:00,Metz,Marseille,180,164,0,3,0.1529,2.67719
29593,2025,2025-10-04 17:00:00,Brest,Nantes,241,168,0,0,1.44552,0.489862
29592,2025,2025-10-04 19:05:00,Auxerre,Lens,275,210,1,2,1.27422,0.471027
29596,2025,2025-10-05 13:00:00,Lyon,Toulouse,178,174,1,2,1.42206,1.36525
29594,2025,2025-10-05 15:15:00,Le Havre,Rennes,282,163,2,2,1.98097,1.21285
29598,2025,2025-10-05 15:15:00,Monaco,Nice,171,170,2,2,2.4556,1.13121
29600,2025,2025-10-05 15:15:00,Strasbourg,Angers,225,167,5,0,4.2783,0.294622
29595,2025,2025-10-05 18:45:00,Lille,Paris Saint Germain,160,161,1,1,0.647492,1.71207
29608,2025,2025-10-17 18:45:00,Paris Saint Germain,Strasbourg,161,225,3,3,2.85659,1.92082
29606,2025,2025-10-18 15:00:00,Nice,Lyon,170,178,3,2,1.16366,2.89867
29601,2025,2025-10-18 17:00:00,Angers,Monaco,167,171,1,1,1.58102,1.65166
29604,2025,2025-10-18 19:05:00,Marseille,Le Havre,164,282,6,2,4.20445,0.352985
29602,2025,2025-10-19 13:00:00,Lens,Paris FC,210,290,2,1,1.98018,0.583966
29603,2025,2025-10-19 15:15:00,Lorient,Brest,179,241,3,3,1.5878,1.56803
29607,2025,2025-10-19 15:15:00,Toulouse,Metz,174,180,4,0,2.73037,0.119104
29609,2025,2025-10-19 15:15:00,Rennes,Auxerre,163,275,2,2,1.93587,1.66634
29605,2025,2025-10-19 18:45:00,Nantes,Lille,168,160,0,2,0.772603,2.7603
29614,2025,2025-10-24 18:45:00,Paris FC,Nantes,290,168,1,2,0.951277,0.916827
29613,2025,2025-10-25 15:00:00,Brest,Paris Saint Germain,241,161,0,3,1.89257,2.92453
29615,2025,2025-10-25 17:00:00,Monaco,Toulouse,171,174,1,0,3.37276,0.584122
29612,2025,2025-10-25 19:05:00,Lens,Marseille,210,164,2,1,1.87596,0.765479
29617,2025,2025-10-26 13:00:00,Lille,Metz,160,180,6,1,3.85054,1.01476
29610,2025,2025-10-26 15:15:00,Angers,Lorient,167,179,2,0,1.30397,2.00206
29611,2025,2025-10-26 15:15:00,Auxerre,Le Havre,275,282,0,1,0.563862,1.52215
29618,2025,2025-10-26 15:15:00,Rennes,Nice,163,170,1,2,1.54435,0.88734
29616,2025,2025-10-26 18:45:00,Lyon,Strasbourg,178,225,2,1,1.14566,0.798152
29619,2025,2025-10-29 17:00:00,Le Havre,Brest,282,241,1,0,0.556063,0.370311
29621,2025,2025-10-29 17:00:00,Lorient,Paris Saint Germain,179,161,1,1,0.192946,1.28813
29623,2025,2025-10-29 17:00:00,Nice,Lille,170,160,2,0,1.74459,0.661109
29625,2025,2025-10-29 17:00:00,Metz,Lens,180,210,2,0,3.11925,1.23771
